prompts,responses
Apa itu STNK?,STNK adalah Surat Tanda Kehadiran Kendaraan.
Gimana caranya perpanjang STNK?,Anda dapat menghubungi kantor Samsat terdekat dan mengisi formulir permohonan perpanjangan STNK.
Tutorial perpanjang STNK?,Silakan datang ke Samsat setempat.
Di mana perpanjang STNK?,Stasiun Bandar Udara Internasional Soekarno-Hatta
Cara mengurus STNK yang sudah tidak berlaku?,"Mengirim Surat Permohonan Penghapusan STNK, melalui Kantor Pos."
Cara mengurus KTP hilang?,"Untuk mengurus KTP hilang, maka perlu melakukan permohonan secara resmi kepada pemerintah pusat dan daerah melalui kantor perwakilan."
KTP gue ilang coy?,"Bukan hanya kamu, siapa pun yang memegang KTP juga dapat membatalkan tanda tangan mereka."
Kapan harus bayar pajak?,Wajib bayar pajak paling lambat H-2 sebelum tanggal 15 (dua belas) bulan berikutnya.
Gimana cara ngurus NPWP?,Klik di sini
Cara pembuatan NPWP?,Cara pembuatan NPWP yaitu dengan cara mengirimkan surat permohonan pembuatan NPWP ke kantor pajak.
Apa itu BPJS?,"BPJS adalah singkatan dari Badan Penyelenggara Jaminan Sosial, yang merupakan badan penyelenggara jaminan sosial di Indonesia yang dikelola oleh Pemerintah."
Gimana caranya daftar BPJS?,"Mulai Januari 2022, pendaftaran BPJS secara online melalui aplikasi Mobile JKN dapat diakses melalui link https://mobile.bkllinks.com/bpjs. Anda harus mendaftarkan diri Anda ke kantor BPJS Kesehatan di kota tempat tinggal Anda dengan membawa beberapa dokumen pendukung."
Bagaimana prosedur daftar BPJS Ketenagakerjaan?,"Persyaratan-persyaratan pendaftaran BPJS Ketenagakerjaan di antaranya:

• WNI berusia 18 tahun keatas
• Pensiunan/pemakaian PNS
• Pegawai swasta yang telah menjadi anggota BPJS Ketenagakerjaan dalam jangka waktu 2 (dua) tahun terakhir
• Pekerja mandiri dan pekerja informal yang telah menjadi anggota BPJS Ketenagakerjaan dalam jangka waktu 2 (dua) tahun terakhir

Pendaftaran dapat dilakukan secara online di website dan melalui cabang-cabang kantor pusat BPJS Ketenagakerjaan di daerah masing-masing. Pendaftaran online dapat diakses melalui link: https://pajak.kpdn.go.id/pajak_peminjaman_uang_dan_uang_pemberian_khusus/pemeriksaan_pensiun_khusus."
5 tips lolos tes CPNS:?,"1. Siapkan diri Anda untuk menghadapi berbagai macam pertanyaan yang bisa membuat Anda bingung
2. Kuasai materi-materi yang akan diujikan
3. Tetap berpikir jernih dan tenang dalam menjawab soal-soal
4. Pahami dan pahami, jangan baca tetapi paham
5. Tentukan jawaban-jawaban pilihan D (tidak ada jawabannya yang benar), F (tidak ada jawaban yang salah), dan T (tentang materi yang dibahas)"
Trik diterima tes masuk PNS?,"Pertama, persiapkan diri anda secara psikis dan fisik. Kedua, pelajari segala hal tentang dunia kerja yang bisa mempengaruhi kompetensi anda di depan pegawai yang mengawasi anda tes masuk PNS. Ketiga, selalu berdoa dan minta restu kepada Tuhan agar semua berjalan lancar."
Bagaimana supaya bisa masuk PNS?,"Mempunyai intelejensi dan keterampilan yang baik, bekerja sama dengan sesama, tidak mementingkan ego, tidak sombong dan sombong, dan disiplin dalam menjalani rutinitas kerja dan selalu berusaha mencari solusi bila menemui masalah dalam tugas, dan memiliki kepercayaan diri yang tinggi, juga pantang menyerah."
Tips dan trik masuk kuliah di UI?,"Anda bisa memanfaatkan layanan bantuan dari fakultas. Selain itu, Anda juga dapat mengambil kelas persiapan masuk di fakultas Anda yang diikuti oleh mahasiswa dari fakultas lain di UI."
Cara ampuh diterima kuliah di ITB?,"Jawaban:
1. Kandidat harus memiliki IPK minimal 3.0 dari nilai-nilai ujian masuk
2. Kandidat juga harus memiliki prestasi akademis yang diakui secara resmi
3. Kandidat harus memenuhi syarat-syarat tambahan
4. Kandidat harus menunjukkan motivasi yang kuat dan komitmen untuk belajar"
Bagaimana caranya lolos SIMAK UI?,"Untuk bisa lulus di SIMAK UI, kalian harus mengikuti tes masuk dengan baik, lulus dengan nilai yang baik, serta melakukan pendaftaran ulang sesuai dengan periode yang telah ditentukan."
Bagaimana cara lolos SNMBTN?,Dengan mendapatkan nilai tinggi di ujian seleksi.
Gimana caranya bisa masuk Binus?,"Masuk Binus tidak hanya berarti bisa masuk ke kampus tersebut. Ada beberapa kriteria yang harus dipenuhi, mulai dari nilai rapor, kualitas sekolah, dan prestasi di tingkat nasional. Selain itu, Binus juga membuka beasiswa bagi siswa-siswa yang berprestasi."
Tips masuk UGM dong?,"Coba cek informasi seputar UGM di website resminya: 

www.ugm.ac.id"
Siapa Jokowi?,Jokowi adalah Presiden Republik Indonesia.
Siapa Anies?,Anies merupakan calon anggota DPR periode 2019-2024 dari Partai Gerindra dan menjabat sebagai Wali Kota Jakarta dari 2012-2017.
Siapa Ridwan Kamil?,Ridwan Kamil adalah Gubernur DKI Jakarta pertama yang merupakan putra orang Indonesia dari keturunan Singapura dan India.
Siapa Aldi Taher?,Aldi Taher adalah penyanyi dan aktor Indonesia berkebangsaan India.
Siapa Megawati?,Kader Partai Golkar ini pernah menjabat sebagai Gubernur Daerah Istimewa Yogyakarta dan Gubernur Provinsi Papua.
Siapa Nadiem Makarim?,"Nadiem Makarim adalah pengacara, aktivis sosial, pendiri Gojek, dan mantan Menteri Pendidikan dan Kebudayaan Republik Indonesia."
Siapa Prabowo Subianto?,Prabowo Subianto adalah salah seorang perwira di Angkatan Darat Indonesia.
Siapa Syahrini?,Syahrini
Siapa Sherina?,"Jefri Agus, seorang bintang sinetron, penyanyi dan presenter berkebangsaan Indonesia."
5 destinasi wisata favorit di Bali?,"1. Tanah Lot;
2. Pura Besakih;
3. Tanjung Benoa;
4. Ubud;
5. Taman Garuda Wisnu Kencana"
Buat travel plan healing ke Jogja?,Travel plan healing ke Jogja bisa menggunakan transportasi umum dan penginapan murah yang bisa ditemukan di kota Jogja.
"Kalau lagi di Jakarta, bagusnya main ke mana aja?","Ada banyak tempat di Jakarta, tapi paling seru kalau ke Museum Satria Mandala. Ada banyak sekali pameran dan koleksi pesawat yang keren."
Apa tempat wisata paling bagus di Medan?,Taman Bunga Tanjung Pandan
Bagaimana caranya jadi mitra GoJek?,Daftar sebagai mitra GoJek melalui laman resmi Gojek.
Akun GoPay saya terblokir?,"Tidak, akun GoPay Anda tidak diblokir."
Gimana caranya top-up OVO?,"Pilih dari 1: Pilih OVO pada ATM, 2: Pilih ATM pada OVO, 3: Pilih OVO pada OVO Cash, 4: Pilih ATM pada OVO Cash, 5: Pilih OVO pada m-Banking, 6: Pilih m-Banking pada OVO."
Pesen cendol gimana?,"Cendol adalah sebuah minuman yang terbuat dari santan, gula merah dan santan, yang dipadatkan dan dibuat dengan adonan dari tepung beras. Cendol kemudian disiram dengan air beras dan gula merah dan ditambahkan perasan air jeruk nipis, serta potongan-potongan kacang tanah, pisang dan kacang, kemudian disiram kembali dengan air beras dan gula merah, dan diperas. Air cendol dicampur menjadi satu dan disajikan dengan serempak daun pandan."
Pesen gojek gimana?,Katakan kepada penjaga bahwa Anda ingin mengambil tas dari gudang.
Belanja di tokped caranya gimana?,"Belanja di tokped caranya mudah. Kamu hanya perlu mengunduh aplikasi dan membuat akun. Setelah itu, kamu bisa berbelanja di tokped hanya dengan memilih barang yang kamu mau."
Cara sukses jualan di Shopee?,"Sering update foto jualan, deskripsi produk, dan harga."
Tips healing ampuh dong?,Saya pikir ada satu resep yang bisa menyembuhkan: cinta.
Tips anti galau ala anak jaksel?,Sudah ada di internet. Contohnya:
Pesen grab gimana?,Grabbike yang disokong oleh Grab Indonesia adalah GrabTaxi.
Pesen taksi gimana?,Sudahlah ya!
Tips sukses jualan di Tiktok?,"Anda bisa melakukan promosi di berbagai platform media sosial, mempromosikan video di tiktok, atau memanfaatkan platform seperti instagram dan youtube untuk mempromosikan produk."
Tips sukses dalam semalam?,"""Janganlah takut untuk bermimpi. Mimpi adalah suatu sumber untuk memulai sesuatu."" — Bill Gates"
Tips sukses cpns?,"1. Bersyukur atas keberhasilan yang sudah dicapai.
2. Bersabar menghadapi berbagai rintangan.
3. Menjaga kesehatan tubuh dengan mengonsumsi makanan bergizi dan olahraga secara rutin.
4. Membiasakan diri bersyukur dengan apa yang sudah didapatkan.
5. Bersabar menunggu peluang."
Tips sukses sistem kebut semalam?,"Mulai dari pagi, kita harus menyempatkan diri untuk berolahraga. Agar ketika malam tiba kita sudah dalam kondisi fisik yang siap. Kemudian kita harus memiliki waktu tidur yang cukup untuk menstabilkan tubuh kita. Dan yang terakhir, kita harus makan sesuai porsi untuk menambah energi dan stamina tubuh."
"Mau jalan-jalan di Pluit, kemana ya?","Jalan-jalan ke Pluit bisa ke Pluit Town Square (PTS), Pasar Pluit, Pasar Karet, dan Jembatan Pluit."
"Mau jalan-jalan di Jaksel, kemana ya?","Mau jalan-jalan di Jaksel, kemana ya?"
"Mau jalan-jalan di PIM, kemana ya?","Maju ke arah utara, atau sebaliknya."
"Mau jalan-jalan di GI, kemana ya?",Mau ke Pantai Jogan.
"Kalau mau kuliah, bagusnya kuliah kemana ya?",Mungkin sebaiknya kamu tanya langsung ke dosen di jurusanmu.
"Kalau mau kuliah, apa cuma kuliah negeri aja yang bagus?","Kalau mau kuliah, ada banyak pilihannya. Kamu bisa kuliah negeri atau kuliah swasta. Semuanya bagus dan semuanya akan memberikanmu ilmu dan pengalaman."
"Kalau mau kuliah, apa cuma kuliah swasta aja yang bagus?","Udah, cuma mau kuliah di luar negeri."
Siapa anaknya Jokowi?,"Anak Joko Widodo (Jokowi) adalah Kaesang Pangarep, yang lahir di Yogyakarta pada 11 Juni 2005."
Siapa anaknya Soekarno?,Ayu Soekarno.
Siapa presiden Indonesia yang pertama?,Mantan presiden Indonesia pertama adalah Soeharto.
Siapa presiden Indonesia yang kedua?,Presiden Indonesia yang kedua adalah G. Soekarno.
Apa artinya sebelum negara api menyerang?,"Sebelum negara api menyerang, negara adikuasa memiliki kekuatan nuklir untuk menghancurkan musuh-musuhnya."
Jual mobil perlu BPKB ngga?,"Kalau kita jual mobil tanpa BPKB, kemungkinan besar tidak bisa. Kita bisa jual mobil tersebut dengan cara kredit, jadi ada yang bantu kita ngasih uang muka, misalnya Rp 10 juta. Kemudian kita juga butuh bukti kepemilikan mobil, misalnya BPKB, jadi ada BPKB itu yang dititipkan kepada bank. Setelah semuanya sudah dititipkan ke bank, mobil tersebut akan jadi milik orang lain."
Jual mobil tanpa BPKB?,"Bisa, dengan syarat mobil tersebut hanya punya nama pemilik saja, tidak ada nama pada BPKB."
Mendingan gw mampir pegadaian ngga ya?,"Tidak, tidak perlu mampir."
Cicil rumah bisa via KPR?,"Maksudnya, kamu bisa cicil rumah secara kredit."
Gimana caranya KPR murah?,KPR yang murah biasanya adalah KPR bersubsidi.
Tips sukses KPR?,Mengelola keuangan dengan baik. Menjaga kepercayaan klien.
Kredit bunga rendah?,"Anda bisa memilih satu dari: Tidak, Tidak, Ya, dan Tidak ada yang bisa dipilih untuk jawaban ini."
Kredit motor dong?,"Tentu tidak, karena kredit motor dong tidak pernah dilakukan dan tidak pernah direkomendasikan."
Gimana cara manfaatin KTP ganda?,"KTP ganda adalah KTP yang terdiri atas 2 nomor dengan tanggal lahir yang berbeda (jika lahir dari 2 keluarga berbeda, satu di daerah dan satu di pinggiran kota, misalnya)."
Tips sukses jualan di Tokped?,"Jangan mudah menyerah, selalu mencari tahu dan mengembangkan apa yang kita jual, selalu memberikan pelayanan yang terbaik kepada konsumen."
Tips sukses jualan di Tokopedia?,"1. Tidak ada rumus atau tips-tips yang pasti dalam menjalankan bisnis, namun yang paling penting adalah sikap dan mental yang kuat. 
2. Tidak sedikit yang menyerah di tengah jalan, jadi jangan menyerah dan terus berusaha."
Gimana cara beli ketoprak?,"Cukup beli daging ketoprak yang masih segar, lalu daging yang sudah digiling itu dituangkan ke dalam panci yang berisi air. Setelah itu dihidangkan dan disajikan dengan telur puyuh dan tempe goreng."
