prompts,responses
Apa itu STNK?,"<s> Apa itu STNK? Itu adalah kependekan dari ""Surat Tanda Nomor Kendaraan"".</s>"
Gimana caranya perpanjang STNK?,"<s> Gimana caranya perpanjang STNK? Kita perlu mengunjungi cabang BRI yang berada di lingkungan atau dekat dengan tempat tinggal kita, dan membawa: KTP, STNK, Kartu Kredit (jika ada), Tagihan, Kontrak Perjanjian yang terakhir, dan Nomor Pokok Wajib Pajak (NPWP).</s>"
Tutorial perpanjang STNK?,<s> Tutorial perpanjang STNK?</s>
Di mana perpanjang STNK?,"<s> Di mana perpanjang STNK? Pada saat ini, perpanjang STNK adalah 6 bulan, Anda dapat mengajukan perpanjangan satu kali yang akan didiskon.</s>"
Cara mengurus STNK yang sudah tidak berlaku?,<s> Cara mengurus STNK yang sudah tidak berlaku?STNK yang sudah tidak berlaku dapat diurus dengan cara sebagimana berikut: 1. Mengajukan permohonan pembatalan STNK paling lambat 30 hari sebelum tanggal kedaluwarsanya ke kantor polisi 2. Mengajukan permohonan pembatalan STNK secara online melalui e-BPN (Elektronik Badan Pengelolaan Nama Kendaraan Bermotor) 3. Membawa STNK kendaraan yang sudah dibatalkan ke kantor polisi untuk pencabutan STNK Kendaraan</s>
Cara mengurus KTP hilang?,"<s> Cara mengurus KTP hilang?

Cara mengurus KTP hilang begini nih:
1. Melaporkan Kehilangan KTP
Beri tahu pihak kelurahan tempat tinggal Anda bahwa Anda kehilangan KTP. Kunjungi kantor KPK atau polisi terdekat. Isilah Laporan Pelaporan Kehilangan Dokumen (LPKD). Berikan semua dokumen yang berhubungan dengan KTP. Izinkan KPK atau pihak berwenang untuk menyelidiki kasus kehilangan KTP Anda.

2. Mengajukan Surat Pengganti KTP
Ketahui dokumen yang diperlukan. Kunjungi kantor kelurahan atau kantor desa Anda. Isi formulir Permohonan Surat Pengganti KTP. Kenakan pakaian yang sopan. Bawalah foto Anda. Bawalah fotocopy dokumen yang dibutuhkan. Bawalah fotocopy Kartu Tanda Penduduk (KTP) Anda yang masih berlaku. Bawalah fotocopy paspor Anda. Bawalah fotocopy akta kelahiran Anda. Bawalah fotocopy kartu keluarga. Bawalah fotocopy surat nikah. Bawalah fotocopy Kartu Tanda Penduduk (KTP) Anda yang masih berlaku.

</s>"
KTP gue ilang coy?,<s> KTP gue ilang coy? -Adrienne -Madeleine -Layla -Athina -Elly -Nina -Rina -Kasih -Riri -Lisa</s>
Kapan harus bayar pajak?,"<s> Kapan harus bayar pajak?
Setiap tahun pada tanggal 15 Juni</s>"
Gimana cara ngurus NPWP?,"<s> Gimana cara ngurus NPWP?
1. Menentukan Kewajiban NPWP Anda
Ketahui apa yang diwajibkan bagi Anda. Pelajari NPWP yang diwajibkan bagi Anda.

2. Mendaftarkan Diri
Dapatkan formulir pendaftaran. Isi formulir pendaftaran. Datangi tanggal pengambilan NPWP.

3. Persiapan
Tentukan apakah NPWP bagi Anda yang tepat. Pastikan Anda memberikan informasi yang benar. Siapkan foto kartu identitas. Bawa berkas yang diperlukan. Siapkan fotokopi kartu kredit.

</s>"
Cara pembuatan NPWP?,"<s> Cara pembuatan NPWP?

NPWP dibuat dengan cara mengisi formulir. Formulirnya ada dua, yaitu NPWP Pengguna dan NPWP Tahunan. Pengisian ini bisa dilakukan secara online dengan menunjukkan KTP (Kartu Tanda Penduduk) masing-masing.</s>"
Apa itu BPJS?,"<s> Apa itu BPJS? BPJS adalah singkatan dari Badan Penyelenggara Jaminan Sosial, adalah lembaga yang mengelola program jaminan sosial di Indonesia.</s>"
Gimana caranya daftar BPJS?,"<s> Gimana caranya daftar BPJS?

Tapi sayangnya, setelah melakukan verifikasi terhadap akun yang saya buat, ternyata akun yang saya buat dinyatakan belum aktif, dan akun BPJS baru dapat diakses setelah dokumen selesai diverifikasi. Dokumen yang saya maksud adalah KTP saya beserta keluarga. Jadi setelah saya mendapatkan nomor Induk KTP saya, saya akan melakukan verifikasi KTP dengan mengisi formulir di situs web BPJS. Sesudah mengisi formulir, saya akan mendapatkan nomor polisi, dan nomor polisi tersebut akan diinput saat mengisi formulir verifikasi KTP di situs web BPJS. Sesudah mengisi formulir KTP, saya akan mendapatkan nomor induk KTP dan nomor induk SKTP. Keduanya harus dicetak ulang, karena tidak dapat dicetak di kantor BPJS. Sesudah itu, saya akan mengisi formulir dokumen, dan mencetaknya di kantor BPJS terdekat. Sesudah itu, saya akan mendapatkan nomor induk BPJS, dan nomor induk BPJS tersebut akan diketik di formulir dokumen. Sesudah itu, saya akan mendapatkan nomor polisi BPJS, dan nomor polisi BPJS tersebut akan diketik di formulir dokumen. Sesudah itu, saya akan mendapatkan KTP, dan nomor induk KTP akan diketik di formulir dokumen. Sesudah itu, saya akan mendapatkan SKTP, dan nomor induk SKTP akan diketik di formulir dokumen. Sesudah itu, saya akan mendapatkan Kartu Pelindung Sosial, dan nomor induk"
Bagaimana prosedur daftar BPJS Ketenagakerjaan?,"<s> Bagaimana prosedur daftar BPJS Ketenagakerjaan?

Prosedur untuk mendaftar BPJS Ketenagakerjaan adalah sebagai berikut:
1. Menghubungi dan Menyelesaikan Persyaratan
Hubungi BPJS Ketenagakerjaan. Lakukan pemeriksaan kesehatan. Selesaikan pembayaran asuransi. Tunggu kartu BPJS tiba.

2. Memilih Rencana Asuransi yang Tepat
Pilih rencana asuransi. Pertimbangkan jenis pekerjaan Anda. Pilih jumlah anggota keluarga. Pilih rencana asuransi yang tepat.

3. Memahami Persyaratan
Pahami persyaratan umum. Pahami tingkatan premi. Pelajari pembayaran premi. Pertimbangkan membawa data gaji. Pertimbangkan membawa data tunjangan.

</s>"
5 tips lolos tes CPNS:?,"<s> 5 tips lolos tes CPNS:?Baca, 5 tips lolos tes CPNS: mulai dari pendaftaran, persiapan tes, tes online, tes tulis dan rekam jika... 1. Berakhir masa pendafta... https://bit.ly/1DxTcge</s>"
