index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,flores200-sun_Latn-ind_Latn,19.052799791592946,19.22420335449947,46.572336611232565,47.97885957681108,24.345603212702283,45.07311475141062,45.072380021340805,19.04285482205585,19.244101128036903,46.57099163676573,47.850404637818976,24.358914507419836,45.03388940615842,44.97777156940835,0
1,flores200-sun_Latn-ind_Latn,19.20141822861127,19.346364869502583,46.53601085944716,47.92043870340114,24.498149704180506,45.00589400540933,44.982761499207115,19.190750257192093,19.3716191241384,46.53448991358146,47.83781075823092,24.34910445832699,44.9383109852698,44.91626328610835,1
2,flores200-sun_Latn-ind_Latn,15.008577414359566,15.149778398073382,40.86247510800946,41.110779177673805,19.569649148886022,38.0508064629979,38.055081879188556,15.013446033519484,15.175821985042962,40.866756709685674,40.99862932943314,19.473313321434464,37.99272592856269,38.00519155561811,2
3,flores200-sun_Latn-ind_Latn,18.579734547069734,18.79837081227053,45.9108864265458,47.06484274473628,24.088251801890404,44.323664356980274,44.35223390952295,18.575297830028198,18.80755920822075,45.915462285279176,47.022184038658146,23.95153835108142,44.24826591603314,44.24474501795944,3
4,flores200-sun_Latn-ind_Latn,17.779007844246127,17.92200798202116,44.39932656144714,45.18364222233798,22.523872210427122,42.05750188817293,41.965757227877056,17.763429223949878,17.936227464501524,44.402495869928444,45.112022208680756,22.395560499606525,41.89603552840345,41.924931916352946,4
5,flores200-jav_Latn-ind_Latn,18.067309439955842,18.2486183345159,45.41692590707187,46.462958550160025,22.507992576589515,43.65786059865714,43.68336206095257,18.0163986925889,18.259167923553022,45.40501715201356,46.388552707186406,22.429412040906875,43.545602560939976,43.58408573912507,0
6,flores200-jav_Latn-ind_Latn,18.391657867628084,18.60499645859605,45.51313706963428,46.5019907399962,23.01223717800738,43.491041987007165,43.503054699240494,18.366995587007786,18.62083394783849,45.50687365436868,46.38463349635808,22.839966606489593,43.38499116754905,43.36924853594585,1
7,flores200-jav_Latn-ind_Latn,14.433011218685966,14.552256440648936,39.35500379889519,39.51708701931088,18.542843991239383,36.346336952386004,36.310126495596926,14.406309489127144,14.567410941435975,39.351413515809035,39.42048917822301,18.460964086414577,36.28337316275149,36.28952466072222,2
8,flores200-jav_Latn-ind_Latn,16.89484870302603,17.043662902824703,44.03817380415182,45.03196174614842,21.243263375860494,41.946192621715404,41.96086472440804,16.854348465545115,17.038753767001197,44.034433593814775,44.92840043141746,21.071601073030227,41.78599565928859,41.78500545020643,3
9,flores200-jav_Latn-ind_Latn,16.47315812416225,16.634457581937447,43.07581234351779,42.960097614813556,20.853614074901756,39.75574461101598,39.79758944078092,16.473014774805268,16.658610702116462,43.07916908501854,42.86453708085461,20.74452976383788,39.609296726341,39.60528050951996,4
10,flores200-bug_Latn-ind_Latn,6.704892042891005,6.826262470871801,30.709101104346942,24.12936894283745,7.8825976029157045,21.487812931154043,21.487182185073454,6.703658201795321,6.8300260797851235,30.71378685329172,24.08076753873985,7.791515381135859,21.379964547429896,21.368091092508173,0
11,flores200-bug_Latn-ind_Latn,6.629593321659548,6.809966659336657,30.573512854947378,23.844364762345776,7.952381164448556,21.00744302328705,20.97106974306748,6.634804901257821,6.815595153891423,30.575335383829294,23.768305035625524,7.90795616765851,20.933955518178134,20.90546279038482,1
12,flores200-bug_Latn-ind_Latn,5.3827490275488605,5.519240992274314,27.81400395938948,21.249985150897093,6.833673684988806,18.526070376944933,18.544641784860637,5.3837522915371245,5.52136906159547,27.815301575133077,21.20899137029111,6.751925606259844,18.468552961567262,18.5143027442513,2
13,flores200-bug_Latn-ind_Latn,6.280961109225582,6.420769453379316,30.299471661886518,23.76366443611809,7.48411622512916,20.83833786255927,20.86398219902208,6.28722670748392,6.432249640753364,30.303359812501178,23.658168120044387,7.35777056197701,20.766717913684612,20.756615165209674,3
14,flores200-bug_Latn-ind_Latn,6.017053012926224,6.157414170270575,30.008259711683127,22.652047613944447,6.98982734764858,19.650112193478975,19.654703086753113,6.017532262162879,6.17296702628483,30.010860300263175,22.541254352296942,6.9143844441089115,19.608058070389475,19.596386404702017,4
15,flores200-ace_Latn-ind_Latn,10.14921676394027,10.34436321953075,34.82329075107086,31.12415651791315,11.965240949497893,28.42539198796976,28.412694804078452,10.151050661205412,10.346647335182563,34.827922240072226,31.0444075071885,11.87487840148621,28.31380225692022,28.30396467159605,0
16,flores200-ace_Latn-ind_Latn,10.497677584734454,10.6370305214483,35.411335385892585,31.31238320194514,12.280935298693011,28.641352112238653,28.601110718259783,10.483641268631203,10.634069649401159,35.41312516186524,31.259138571880708,12.224219990861517,28.51917907019089,28.58145159247708,1
17,flores200-ace_Latn-ind_Latn,8.191274086199487,8.312049825019031,31.542621514937707,26.9692289647282,10.107464769834163,24.407013837225257,24.337168474068765,8.198968839149213,8.317283810560754,31.546385335008704,26.900195306751108,10.095230390391484,24.264816341768398,24.32104238252576,2
18,flores200-ace_Latn-ind_Latn,9.656598765061467,9.844561312249935,34.1704692863526,29.88762673643159,11.18693408429766,27.07524010892419,27.101521691683562,9.621552344452965,9.843516724969485,34.163293676968664,29.768230015987303,11.08662553390593,26.969878772783808,26.998899196524306,3
19,flores200-ace_Latn-ind_Latn,8.836745651045387,8.992897123066262,33.531695645007815,28.687093963695688,10.673886978741919,25.73607233540755,25.753879121715773,8.843612331399285,8.994489786403522,33.534458743030925,28.60838565009355,10.538993790874251,25.625535411485945,25.62792703598039,4
20,flores200-bjn_Latn-ind_Latn,13.105503569545329,13.308998282296095,39.154678626526795,37.299771366868896,16.149170694769854,34.41999523090975,34.40649578137979,13.110648124951751,13.334044146721821,39.1598604329916,37.16621789690554,16.010538604274753,34.32689110082576,34.29644736362617,0
21,flores200-bjn_Latn-ind_Latn,13.296530937482121,13.50787778828504,39.18689131866466,37.33379042521712,16.373607015039955,34.208340535058156,34.15486044117735,13.303935878577859,13.53353990066815,39.192105081639525,37.21724783915249,16.290397184447542,34.11618300722514,34.08722644041471,1
22,flores200-bjn_Latn-ind_Latn,9.474582557044506,9.655479506108778,33.73041774372459,30.548369313263613,12.533890643473805,27.628556437113794,27.58472396107468,9.495900961094712,9.668108455273654,33.745035510680424,30.47694482142593,12.419904478432557,27.517114509881157,27.485993386902873,2
23,flores200-bjn_Latn-ind_Latn,12.829559280896191,13.036558039885497,38.73777156495714,36.579206034999004,15.568425487957443,33.66678641361578,33.67054361230984,12.831118186519625,13.040319133290973,38.735659589389755,36.49820208843187,15.447780786972768,33.560113881544616,33.57562393131285,3
24,flores200-bjn_Latn-ind_Latn,11.303383826564737,11.441546679841746,36.66316157920358,33.84168827947009,14.490498525956259,30.55165766322808,30.494063421632816,11.27394188053376,11.429454908920329,36.655745889223326,33.79752246319849,14.400753222023566,30.469031647167327,30.447150862108575,4
25,flores200-ban_Latn-ind_Latn,14.460323989712997,14.650276851142412,41.52136596709747,40.342305956266046,18.165420451610466,37.540169356845645,37.519177579610954,14.454379495772123,14.660922357720596,41.52344766689021,40.251083014635405,18.08303780745489,37.397802719335346,37.4449452505225,0
26,flores200-ban_Latn-ind_Latn,14.74610394935148,14.866967590828944,41.86046220716528,41.00621949610998,18.84554810946041,37.98482213504929,38.0358110724669,14.752237400920428,14.89272993127037,41.86271574808385,40.92725390097435,18.756476814370412,37.95788131841251,37.89397527893382,1
27,flores200-ban_Latn-ind_Latn,11.299598489047114,11.391162562221593,36.42003544675081,34.22472513414882,14.515797743283738,31.192939190224056,31.192965342434626,11.330316135760956,11.450189815654653,36.42731045285819,34.15249696138423,14.450449815065955,31.13456152593449,31.16343323998215,2
28,flores200-ban_Latn-ind_Latn,14.105437349333961,14.285717256237898,40.923032725617055,39.518354911546076,17.601714488578548,36.48266299098141,36.49444649456366,14.125785700007684,14.320446123942562,40.929066478346165,39.43370593818224,17.496350570111883,36.464294460729754,36.44536673578197,3
29,flores200-ban_Latn-ind_Latn,13.421757106991514,13.62529687560895,39.19300300050696,36.71501612615238,16.300472671701304,33.62025806289054,33.594713498913734,13.378602029521439,13.61023970436075,39.1796795357413,36.61582908610615,16.16570227630963,33.50977996262575,33.52014901248674,4
30,flores200-min_Latn-ind_Latn,11.342177408268467,11.499144048712234,37.10515746720868,33.890568477150374,13.566786861354393,31.125408962697175,31.15409663702684,11.363928494772583,11.539223980950053,37.114835129334,33.78407267393372,13.460723391149203,31.029452721055822,31.063887743085267,0
31,flores200-min_Latn-ind_Latn,11.100580639973806,11.24813153794352,36.98623372105988,33.60293060747214,13.415323152506753,30.478496706516324,30.46691829099363,11.103348686827816,11.260432937335093,36.985413614646035,33.484188366999476,13.304989830065928,30.337815843191656,30.345772218965863,1
32,flores200-min_Latn-ind_Latn,8.924367553682016,9.095490912197649,32.80339742106129,28.873924031975346,11.116782588775177,25.936194767485798,25.9364062559246,8.933963727318426,9.116017811277612,32.812241085514025,28.85582156664814,11.064778215821319,25.808585464919698,25.810565638492356,2
33,flores200-min_Latn-ind_Latn,10.814092575735575,10.998906880454236,36.44750186940417,32.917112898129126,12.951042703024635,30.110894791095,30.047382538148927,10.815887108384429,11.008927114462661,36.451964550100726,32.75501509329106,12.845453147368946,29.925544721707226,29.973598939073494,3
34,flores200-min_Latn-ind_Latn,9.63696141061064,9.787145004237773,34.84066346533316,29.897274775567283,11.68906867200251,27.027173433250656,27.00645499183646,9.6330026146009,9.822584695162915,34.84323527890354,29.777060339110605,11.573452352693769,26.907814542210996,26.9299653736293,4
35,flores200-ind_Latn-sun_Latn,5.133303317983425,5.204623720894113,31.424649130703138,19.265613578964462,5.173630666196519,18.65594797248052,18.65163106686081,5.132251050267541,5.210289326494646,31.43635516152225,19.13919411303157,5.072636047894476,18.511247352599845,18.511905552283736,0
36,flores200-ind_Latn-sun_Latn,3.3313621536579587,3.4403848937568533,24.28731079173073,12.637193499463596,3.2027686469916965,12.09270352604693,12.101150017464013,3.322869746964291,3.4374559992652634,24.30277549719034,12.536973038756466,3.1038968239860125,12.016384669976016,12.02244879728059,1
37,flores200-ind_Latn-sun_Latn,3.7035498096212836,3.791445088027866,25.559616728789674,14.270774329212072,3.6712778209057073,13.645382559555319,13.63986337040766,3.6992409567281186,3.807086267886729,25.58441214031844,14.189613980042997,3.5622716872844116,13.584993540213125,13.586110593473894,2
38,flores200-ind_Latn-sun_Latn,5.120741931428217,5.1805946108766125,32.6684074962622,20.51501936652435,5.498495022615346,19.839777668095458,19.856418193756863,5.09619536311342,5.1682396136718465,32.669047123501734,20.40177461425308,5.389868134379995,19.75787009587316,19.742035455393815,3
39,flores200-ind_Latn-sun_Latn,3.8777036727807355,3.966114633626723,25.20331415676271,13.641851019236494,3.7865976522604012,12.997201979632726,12.978318999296903,3.8807049125111246,3.9709147186436784,25.23693934471752,13.541073400626658,3.7602325936032486,12.925687072448714,12.931627828629422,4
40,flores200-ind_Latn-jav_Latn,4.291589047005231,4.474128912208277,32.261487694571,19.52719250866896,4.7551398606446655,19.128169550687492,19.118703018757166,4.2601312428637605,4.4571564806694814,32.25699437494608,19.38950334769412,4.614480710534324,19.01554354303302,19.013440347877587,0
41,flores200-ind_Latn-jav_Latn,4.137686348891732,4.303217800470873,31.084706968321363,18.624662646757873,4.379199703747524,18.189126788612363,18.148346970131062,4.105915661391882,4.29918083623329,31.081569945174962,18.49855828164668,4.2525165114186585,18.076101148759733,18.081962512606772,1
42,flores200-ind_Latn-jav_Latn,3.726830265314423,3.8949812562344706,29.239855214423343,17.079546306173526,4.062646096223701,16.539281579628728,16.55406001132472,3.7139288726439306,3.893218031183508,29.23329047672657,16.964270500915216,3.961742326411846,16.45477293296282,16.45067056219765,2
43,flores200-ind_Latn-jav_Latn,4.473842776628146,4.67417917482999,32.47648904963014,19.490716982082507,4.813777148734568,19.024631624418035,19.027831825501774,4.445256139955557,4.660343949689622,32.46824094768158,19.337328544568344,4.678415732046169,18.878378717321965,18.87502712704498,3
44,flores200-ind_Latn-jav_Latn,4.021368128932399,4.174066958005628,30.529436091063307,17.58475021210244,4.275183438348585,17.002417334713897,16.99727412742693,4.008426749413566,4.17317202944274,30.52656287735888,17.461476413653003,4.191884628236829,16.929765834222017,16.934519832287446,4
45,flores200-ind_Latn-bug_Latn,2.521319206858186,2.8497705910783635,20.700970867481853,11.50936720014947,2.5629875704786134,10.757818636447588,10.757446500805083,2.534503622439035,2.8613711089114173,21.579369424527933,11.282132355018971,2.5804384445980855,10.684455762033629,10.67343877257882,0
46,flores200-ind_Latn-bug_Latn,1.6895576087561235,1.896848577799092,15.28456033869389,8.31517826340122,1.3630443247993795,7.548997182955669,7.563163949840979,1.7308162851056468,1.9544878061308626,16.741943769523086,8.036581166636452,1.5205851460685438,7.5201751418639775,7.532926006719978,1
47,flores200-ind_Latn-bug_Latn,1.4951125395015004,1.7750547483574939,14.023164438607164,8.31245411429211,1.3808020064598274,7.571806545911974,7.57958279422095,1.5126299584116472,1.7912854643537268,15.499486730849545,7.964196427265377,1.4967224351739266,7.467696489503014,7.452610281514126,2
48,flores200-ind_Latn-bug_Latn,2.8273089938591336,3.343131880356352,24.42665052244484,13.156923371868757,3.2080623085003728,12.592646943139258,12.570666570472817,2.85482852076533,3.3842513358237927,24.792400488160638,12.946176493768732,3.195437200590255,12.397019014845409,12.4201851968959,3
49,flores200-ind_Latn-bug_Latn,1.567454441838011,1.7851736148911101,15.34979850209146,8.402721855880516,1.5131107565895003,7.790222843612973,7.773831829548644,1.582742629015814,1.813232500785331,16.78361288546594,8.207816431615594,1.6062592524279904,7.766064156625806,7.7706759673421635,4
50,flores200-ind_Latn-ace_Latn,4.032380599287478,4.160239481118717,29.37996573043392,16.055317260476578,4.158567165485875,15.705374342913558,15.729269310031041,4.030887226911144,4.164119679390449,29.38161952095776,15.974395448228329,4.0222634327425135,15.627155312631352,15.631280478068083,0
