index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,stif_indonesia_nusantara_t2t,19.42582977857713,19.4389167007699,50.6150634187633,45.064413889149385,26.05321821978771,43.561561420754494,43.66140920762736,19.142106995503543,19.155335764516803,50.54944602958958,45.13363245311696,25.94374897002558,43.570450269136806,43.66018058099135,0
1,stif_indonesia_nusantara_t2t,7.496668983560793,7.499537315297481,35.386789047412506,25.52369099186645,13.062421733925088,24.049018217777242,24.045988375930293,7.438153652842261,7.441080766278698,35.37420104644646,25.42246440111778,13.014617713230459,24.048429190907562,24.039418265459283,1
2,stif_indonesia_nusantara_t2t,9.915511566982973,9.945164896966562,34.616957722401246,25.083054112292274,14.843751651979009,24.349901152518427,24.368002706340043,9.756105725979115,9.785046813393272,34.580552198508215,24.96076955003565,14.848738728920758,24.366467170129823,24.221562046565708,2
3,stif_indonesia_nusantara_t2t,30.98477852564721,30.984778525647226,68.41439996159858,60.33440270778849,40.42698013027778,60.35538837657799,60.432777199105004,30.681218958418206,30.681218958418214,68.34655539142953,60.46259899565462,40.19572016247363,60.433065735625945,60.312160725795636,3
4,stif_indonesia_nusantara_t2t,6.551608709610514,6.787048849483262,24.39123971797068,14.16957699426426,8.26956002891038,13.915237336743392,13.778293452056273,6.309203273238998,6.528063613461376,24.3409531830996,14.268841436274887,8.299309790138242,13.921751706462251,13.88022204271761,4
5,tydiqa_id_nusantara_qa,29.582217974542118,29.608247984049218,65.30190941947056,58.19968323286425,40.41982113229798,57.8499937791074,57.87060651182099,29.028091071496142,29.172064335972966,64.97287145971391,57.22810524662587,39.28152753724363,57.01964345015933,56.93124797851026,0
6,tydiqa_id_nusantara_qa,26.787636061141175,26.751724352731145,56.71815436318005,52.54661702580678,34.7124726404344,52.236410192392334,52.25836001704059,26.336788814184153,26.46501599650126,56.4711262047484,51.68798221752493,33.48570192514938,51.38130487201362,51.27750775572103,1
7,tydiqa_id_nusantara_qa,41.41036206089599,41.386765149862434,60.47361350540198,65.26938298773209,44.33578846011691,65.01715915950564,64.92937030633784,40.50357655909869,40.63936196570621,60.1442047275992,64.00055472037339,42.30007748922869,63.80091590889207,63.66787303614697,2
8,tydiqa_id_nusantara_qa,25.594842628038215,25.678870046103224,62.50363896772442,54.90171769495403,37.70365364252267,54.71119730292058,54.814934567510676,25.257958846382948,25.366274651173377,62.22483222768203,54.0917986992931,36.60493134891032,53.89519285095514,53.97388242105983,3
9,tydiqa_id_nusantara_qa,28.019729743430865,28.099590112908015,62.63183373002714,60.32226012734989,41.32651147158669,60.00334900121827,60.0293038537119,27.352347782657482,27.584660610466898,62.282634203078025,59.06932784886387,39.7218102286178,58.85554445845015,58.90478538918054,4
10,xl_sum_nusantara_t2t,2.6791021521651985,2.66346928113621,33.874421691821645,20.531747981566433,5.741101095152345,15.379749720752972,15.383994186775308,2.6738952363787027,2.659644594037781,33.87223005624158,20.518444345875015,5.742435399640245,15.38375983730237,15.37706483948974,0
11,xl_sum_nusantara_t2t,2.6548973228915735,2.644820437507661,32.84788845531949,20.538571704453627,5.698437024318695,15.668532234482575,15.673938977529117,2.6564674845822296,2.645886406381814,32.848311987341184,20.538291058087868,5.688257398905373,15.660082738352626,15.664491359154088,1
12,xl_sum_nusantara_t2t,2.802689296237006,2.7792971503406108,30.244604031268352,19.452947336538923,5.52564945734981,15.125078127062435,15.121476803791934,2.801395319307562,2.7786598906202147,30.24414252393704,19.455645429921763,5.5308400232710495,15.11835880410034,15.12449854496108,2
13,xl_sum_nusantara_t2t,2.747620166104816,2.744716433690457,33.9741619989572,20.751248982889894,5.876037925760665,15.435966993274677,15.420483288490047,2.7471224539607952,2.7439436556972425,33.97428369483916,20.742572749473894,5.872019962073473,15.426264058228245,15.422188402070889,3
14,xl_sum_nusantara_t2t,2.8852209531109727,2.888705931584248,24.821601350600094,20.920325633369533,6.353414733483379,17.264132082336488,17.257464524479126,2.87812941952406,2.885778354152834,24.8212694268133,20.916175601970043,6.358808242804566,17.269115518387895,17.26098902679429,4
