index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,stif_indonesia_nusantara_t2t,25.401129634920714,25.50758104637263,62.32531748070763,53.72037958494693,32.886469903145795,53.32258037873385,53.213485702017984,25.196407150469824,25.305257399359654,62.28009942956274,53.649434743704205,32.62536411019279,53.24238948572895,53.17424632049057,0
1,stif_indonesia_nusantara_t2t,8.493009360773218,8.565683567216158,39.065042287365806,31.471642791978272,16.33553813648603,30.006682582578815,30.053076130155006,8.35672274238624,8.428039680899253,39.028553979382885,31.363079350367663,16.24645395689982,29.871344024550883,29.987318946982853,1
2,stif_indonesia_nusantara_t2t,11.821422186639744,12.009251267650857,42.75147621549984,32.5255381050385,19.150947298078076,32.062458946290114,31.875581766466592,11.566561217003644,11.755707669211349,42.673482260359194,32.38624147799906,19.047126970685152,31.85566905087972,31.879468895621144,2
3,stif_indonesia_nusantara_t2t,25.39363699122386,25.487832603664533,63.544924271785774,54.90295578215931,34.68814700495185,54.641079122323944,54.68337784988129,25.150375496342896,25.244482849298333,63.47968679004127,54.96772209128964,34.59915205145015,54.595461910870036,54.5853898191269,3
4,stif_indonesia_nusantara_t2t,6.436937974880314,6.462176650513384,31.950957031145933,23.911562874672605,12.823465737736456,22.931765861003647,22.98974180356663,6.265674056228715,6.2796421467884835,31.89716295843292,23.812154496689065,12.732036038350254,22.915392869093115,23.056439405621276,4
5,tydiqa_id_nusantara_qa,59.41957810559513,59.33218429978592,69.45804878033583,74.71448044003517,51.26102593808978,74.29367804802554,74.31839897868822,58.55929603057748,58.536422714644075,69.1737368758361,73.53481107826701,49.50667859311429,73.2022799133727,73.15771923859045,0
6,tydiqa_id_nusantara_qa,21.386327729653644,21.549463702952497,54.68053734822269,53.156248560704924,34.69773511226906,52.46863808489701,52.496817882240876,21.156877253088698,21.34829296654085,54.52279310317885,52.55336573395566,33.60322388694036,51.846319300699285,51.815917445335636,1
7,tydiqa_id_nusantara_qa,24.35342030756751,24.553094677665932,47.197665218256205,57.837504608591736,35.83282941723059,57.35142085231697,57.435413648046854,23.854158299213548,24.244533504627814,46.94985308731756,56.78179380579276,34.01855414190806,56.334838533416075,56.343521678040354,2
8,tydiqa_id_nusantara_qa,36.98949896015486,37.138584696133954,62.77858717164606,64.94663285558518,43.58833392272721,64.38391097635856,64.43233813934619,36.47255367477057,36.832121510889344,62.540776424742226,63.86743185730649,41.84558113507424,63.16662679742533,63.229746126218785,3
9,tydiqa_id_nusantara_qa,45.123198399412416,45.10174884046394,64.69031232998496,69.30103967783639,46.99008531033636,68.79715583239732,68.93222943131101,44.08967295154543,44.3569246146985,64.34150544631218,68.0178101841651,45.28051854187367,67.72483872961463,67.74121211202304,4
10,xl_sum_nusantara_t2t,2.6864258186949272,2.6751466043914696,33.632969659622255,20.626197423981626,5.790244552150909,15.448673783788925,15.44790317531674,2.6833762310413145,2.6734071556240817,33.63152860469648,20.630873831630662,5.787907590636188,15.452880214339448,15.450512074731154,0
11,xl_sum_nusantara_t2t,2.4322156788281726,2.4341264471919235,33.350079579640365,19.805641641329444,5.368230196897991,14.94997971474088,14.950017233871504,2.4287338465713724,2.4308831986837522,33.34824144932025,19.802697517896068,5.369250898379012,14.94996123241842,14.949188889229204,1
12,xl_sum_nusantara_t2t,2.4660240026116376,2.4543412510197387,29.2095731051469,17.812510696234437,4.838814400621626,13.64480045913656,13.680704419025409,2.4650041818369086,2.4539151336486804,29.21080301498694,17.82099014801443,4.842260747733155,13.63630111428486,13.684681961580766,2
13,xl_sum_nusantara_t2t,2.655832240693546,2.6460797095958077,33.383659254784924,20.15844851848646,5.684556447899476,14.993006699338823,14.988238911002618,2.6539098038686793,2.6452007465561933,33.381975283548456,20.154625043839264,5.680545626407934,14.984149282523559,14.981087529788306,3
14,xl_sum_nusantara_t2t,2.1620985046258876,2.146286185386108,22.753605822460354,13.925831447391573,4.2020766666387015,11.460601428086001,11.46139010783357,2.1626007639024927,2.1469125993215017,22.75581912542784,13.942848698252073,4.210657365371903,11.459420992058366,11.473184315236598,4
15,xpersona_id_nusantara_t2t,0.48983918277077587,0.5923675495198576,18.113052235096234,10.498158040247588,1.3957645548055957,9.60544777977681,9.612844719275754,0.48952534539982623,0.5910152148557729,18.115444175976652,10.507056772321741,1.3917749474391619,9.621200769025094,9.622017886318021,0
