index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,stif_indonesia_nusantara_t2t,1.9398134381532472,2.1337078014401505,24.188459097265238,12.626710026975957,5.135727030871501,11.740318078503423,11.724965602695328,1.9398134381532472,2.1310556852497076,24.188149006314376,12.629702877938643,5.129851557151201,11.71175381413005,11.675629443060792,0
1,stif_indonesia_nusantara_t2t,2.2088558219275054,2.4104508739474495,26.617033280336695,14.833531282865186,6.701494743073626,14.074261909544521,14.014651715263007,2.2088558219275054,2.4072534196830895,26.617033280336695,14.843979784421373,6.792251692478166,14.038681876413028,14.071054010239076,1
2,stif_indonesia_nusantara_t2t,1.9624099684109373,2.1540137207358363,20.605664367696843,9.252710785310239,3.7192073493716546,8.937859363808878,9.016269055881132,1.9621626613988554,2.144307564756039,20.60507061569942,9.235702946175362,3.747017425486464,9.000388726894961,8.948630120655624,2
3,stif_indonesia_nusantara_t2t,3.8252242545632447,4.16310291044927,30.629680900935462,20.711325474711188,10.072601809337343,20.036516214543187,20.033572171514532,3.7727861990297673,4.109016194136769,30.615048840963194,20.75839050598519,10.015070072368085,19.999244238000685,19.9900894035052,3
4,stif_indonesia_nusantara_t2t,4.751213421420522,5.196535113449035,32.27563597826843,20.40312520032046,11.003967206117826,19.8365833248831,19.673782116871358,4.7516736541796325,5.191058608954457,32.27541981487362,20.3679530459437,11.060287774359749,19.799885210450196,19.798328412331198,4
5,tydiqa_id_nusantara_qa,18.198068601288355,18.397239987334753,53.08955104964108,46.09573456263363,33.230777245781326,45.82042078861721,45.838727038287985,18.029685994318495,18.19293207614905,52.93227542347141,45.78284796495481,32.82570231237475,45.62134304933741,45.57597455208383,0
6,tydiqa_id_nusantara_qa,11.616107225459798,11.717157714862076,44.55633833033668,36.29718079846074,23.96903840215094,35.96488921512809,35.83786918478619,11.506179767525197,11.621607278394874,44.45806734305157,36.22475304010246,23.823836790539154,35.75555591782743,35.72025856641694,1
7,tydiqa_id_nusantara_qa,19.669781962845764,19.822975390451855,54.63541012455539,47.79844918367056,34.744613677733966,47.45891276559736,47.37861463862837,19.462920160055997,19.631783120239323,54.427070906386,47.318735024276414,34.14169430482755,47.00618312976851,47.02173674105995,2
8,tydiqa_id_nusantara_qa,17.15817076526191,17.237213260102994,51.86383935124892,44.80368541976581,31.444290994357228,44.36475605591163,44.363479625753065,16.89484335962518,17.0349086204425,51.67161073957606,44.34694300949549,30.81658657598392,43.8911880803917,43.974914358139216,3
9,tydiqa_id_nusantara_qa,20.687274431691424,20.783548479067456,56.35943825238731,49.362617509276554,35.0950790727835,49.137185345318414,49.100725446742956,20.480905497743347,20.56291518311303,56.2074809942157,49.218504324180266,34.80265375672192,48.716517809653894,48.754642773664735,4
10,xl_sum_nusantara_t2t,1.4766699521070337,1.4673675775248403,24.677268776163046,13.742273307216305,2.9971530196915612,10.900118746065251,10.914481530017465,1.4749254227742692,1.4663829891104765,24.67840444561798,13.738359396222519,3.0007273439196807,10.909817569333953,10.911100434446809,0
11,xl_sum_nusantara_t2t,1.5358868022650622,1.5283058240624505,28.07781054336782,14.96617672074619,3.376838587798488,11.408717503643633,11.410228337749192,1.5361872842289286,1.5275441165164154,28.078010076555632,14.970999773607199,3.367715938645445,11.411762317792281,11.40664006612126,1
12,xl_sum_nusantara_t2t,1.3607619187542963,1.3442006767862673,26.064492513918193,13.834989932621298,2.9091113148017254,10.761151987350443,10.764122945650566,1.3613216263775574,1.3446764721184417,26.065278391891027,13.844183782760746,2.910754013505025,10.76550722069665,10.761836805012402,2
13,xl_sum_nusantara_t2t,1.5983613174679734,1.5917396112983206,25.450360663523096,14.469809290370847,3.2783312145145653,11.43601133845811,11.428226578821345,1.5920858948344476,1.5887741563484925,25.450048934953966,14.466779239790636,3.27279250811839,11.43357506010869,11.422166375820233,3
14,xl_sum_nusantara_t2t,1.5203172061896137,1.499762541696084,27.956145585357074,14.751646580439617,3.300987414576305,11.259819415380084,11.263306686564315,1.5169161621911293,1.497631071457513,27.95825627694771,14.752048104209514,3.305531864136857,11.267717548244576,11.260937015193942,4
15,xpersona_id_nusantara_t2t,0.12363876432017516,0.16282069870409416,16.28803750802325,5.617238076886036,0.5430052050632522,4.984708708671186,4.97887347425303,0.12364216120946271,0.1628067054700413,16.29002075780366,5.613919339733334,0.5388454208543518,4.983399583244943,4.985952888003952,0
16,xpersona_id_nusantara_t2t,0.1068824185268232,0.1301009677769906,15.52688709069145,4.931928595330315,0.4928631588007668,4.431639587714327,4.441147516474575,0.1068824185268232,0.13005309802799447,15.527838991440266,4.93513133482727,0.49413681400778725,4.4374289335951715,4.443889995555372,1
17,xpersona_id_nusantara_t2t,0.15297167020730362,0.17277781719023053,16.74450767501277,5.76977478761606,0.55187910423229,5.143600069505057,5.142570816694374,0.15297506874933506,0.17272209263752897,16.745202065835606,5.768165527049983,0.5470407985992031,5.1337643484444735,5.1357921337925045,2
18,xpersona_id_nusantara_t2t,0.1751195674413421,0.1966161484255543,16.85120690302104,6.088822133749602,0.6160758745406679,5.423086479177878,5.431054648498472,0.17506220397169425,0.19651060112047342,16.85219141701356,6.096001579284851,0.6139830888623138,5.435094513663186,5.432587094095809,3
19,xpersona_id_nusantara_t2t,0.13967229859354924,0.16793688195181303,16.867753675048007,5.838923276193373,0.6171631336028339,5.211427170511299,5.21363985555955,0.1396861844762195,0.16787512767108156,16.867944423672203,5.843822406640761,0.6243800154172142,5.210431005984891,5.217422234580881,4
