index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,stif_indonesia_nusantara_t2t,3.8675317151725195,4.278602408183833,28.20563351818914,18.595818518619893,9.895020396167084,18.041373946670454,18.09326050665697,3.8675317151725195,4.276303680105325,28.205061254299128,18.534777594963163,9.865089013262269,18.091283360146626,18.06755126734128,0
1,stif_indonesia_nusantara_t2t,3.3880975594114107,3.895440362775159,24.778629766651893,15.797379976720638,7.788959383629701,15.068711148667441,14.990488481076062,3.388925236903074,3.893341032067197,24.77868071660068,15.818178573810272,7.772166331889557,15.045843367822254,15.11287612194597,1
2,stif_indonesia_nusantara_t2t,3.813684142864368,3.977126212185308,17.357329591271682,11.270604647389737,5.87857943616036,10.905932591177809,11.033049798444395,3.813684142864368,3.9776097663410765,17.357329591271682,11.328453540721654,5.90510571138277,11.01367235721818,10.982069501297225,2
3,stif_indonesia_nusantara_t2t,4.739324118677564,5.265746932256268,30.39913489924317,22.07074087583834,11.703545010163532,21.11643681719464,21.089800585911505,4.670210043604752,5.196886503383497,30.38075020828415,22.081594226222347,11.573302918739728,21.188606475129653,21.16819154239887,3
4,stif_indonesia_nusantara_t2t,5.592893738330844,6.228454859823246,26.205523283935,18.17214577385327,10.175102232944724,17.53816246254453,17.57422805602703,5.592893738330844,6.22447934166338,26.204921376271056,18.053407777226738,10.246566823319291,17.552502117789004,17.547410312534478,4
5,tydiqa_id_nusantara_qa,19.21051912844861,19.356936007620522,56.15377342308805,61.70083261191175,41.30839120508967,61.21247545487136,61.101300368229936,18.974600543476573,19.19036066049922,55.95020761896253,61.215039068597555,40.874219879879504,60.84860618872536,60.82634025801228,0
6,tydiqa_id_nusantara_qa,23.146912025434858,23.185237696482506,60.85524772297066,64.21469632961028,44.8440236133609,63.906726229381164,63.804289984033005,22.94913070667987,23.056066125885188,60.70502559423818,63.75341008828597,44.22291821570674,63.455491306803104,63.42374702658651,1
7,tydiqa_id_nusantara_qa,30.53948363281811,30.704824151234476,63.753223485305455,68.49228876724082,46.95740955334553,68.23936533413185,68.15401947366725,30.060934345340996,30.375444984694717,63.52181702943746,68.0427400745432,46.27406183525919,67.69795609667004,67.81048891942447,2
8,tydiqa_id_nusantara_qa,24.801686857722927,24.881352384395278,62.28959709023321,64.61555314312946,45.961828864797816,64.31650974623501,64.31169498043619,24.400750885717983,24.564444797012985,62.004889665575114,64.24301552253306,45.44857965907829,63.94639995751889,63.87180106923576,3
9,tydiqa_id_nusantara_qa,34.3785977653644,34.491415659728176,68.1128752728687,70.1243437815892,49.003772393212486,69.88600543463102,69.84302211391525,33.86671167827405,34.01018734270921,67.81845524448488,69.61838715460317,48.46702398048005,69.45178653739428,69.50605600697848,4
10,xl_sum_nusantara_t2t,1.5244110786287983,1.5085686301655645,28.877348211997962,16.141422694189266,3.636331452521857,12.216774461776064,12.213574797463053,1.5270520206135114,1.5125857207038869,28.879634491174716,16.146002057862606,3.637186926038388,12.218434414291345,12.221486342039322,0
11,xl_sum_nusantara_t2t,1.67703934330799,1.6649701926249807,30.484981653474545,16.948023535441035,4.054970708178226,12.701232137311703,12.697088003544629,1.6731266717844873,1.6626753449780127,30.48441971421368,16.936118127709822,4.0518822636982135,12.691641750893123,12.686422451665214,1
12,xl_sum_nusantara_t2t,1.6307419477281755,1.620332643058634,26.65978521059158,15.055209273818559,3.4569824560241784,11.60016537900583,11.597050838300973,1.6345974389567006,1.6270140232334336,26.662032595630215,15.064281480549132,3.4522131380276724,11.588292730296642,11.59322442182841,2
13,xl_sum_nusantara_t2t,1.5449837756230071,1.5293998260897557,28.7552384280962,15.944592472617206,3.4951157307448493,12.123996274740161,12.121820750733654,1.5438430560828105,1.5297618728982092,28.755252349017766,15.947625273903915,3.4945116089198924,12.126204963565936,12.116816106817419,3
14,xl_sum_nusantara_t2t,1.6823594301017937,1.6767744410029943,29.88205487677667,16.600187535045784,3.9021581539932,12.504986190050104,12.497078787267558,1.685802420762185,1.6809370127264593,29.883497728877572,16.596275669131703,3.906257359596542,12.50977960118082,12.508074617856046,4
15,xpersona_id_nusantara_t2t,0.2559610362482192,0.2919432099192363,18.352408153535908,7.966142782496311,0.8181891078650478,7.109593501249447,7.104808869568241,0.2559610362482192,0.29193096003422947,18.35247638032681,7.955307927995755,0.8164146051938443,7.106181528248048,7.107624529201112,0
16,xpersona_id_nusantara_t2t,0.30436298494287606,0.3465978829331629,19.390128374134708,8.90985933974357,1.01896419469292,7.806524704191056,7.814012234435067,0.30436298494287606,0.34659222185309124,19.390191867755394,8.905499349550764,1.0217275558891254,7.804550642911112,7.811429146531948,1
17,xpersona_id_nusantara_t2t,0.20149921884957553,0.2502809495183103,18.857551323024992,8.132524482879358,0.8548276048441054,7.162579459796452,7.169780365238183,0.20149921884957553,0.25027343382526296,18.857551323024992,8.137510341129408,0.8542094014280469,7.163741124946181,7.157232042415481,2
18,xpersona_id_nusantara_t2t,0.28759089664334936,0.3224158227568327,17.436904928774453,7.3756114687280325,0.7102588358862458,6.5501468030680465,6.548863062733129,0.28759089664334936,0.3224121664969352,17.436904928774453,7.369630247116129,0.7128113741292622,6.549618198257229,6.547840648906636,3
19,xpersona_id_nusantara_t2t,0.2410274121822257,0.2708894358446797,18.800391071633058,8.104407572815129,0.8229795485150494,7.101285258475218,7.106683760735753,0.24103155200008042,0.2708640215274214,18.800707219795235,8.112149425413484,0.8267250179952186,7.101807018356891,7.102879396406553,4
