index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,stif_indonesia_nusantara_t2t,6.582830100177245,6.325152702557682,40.863210614359645,22.923802722254287,14.077052160163795,22.454232230091684,22.512060880223743,6.520748093672545,6.263222514388857,40.82517075050891,22.940810662332012,14.014304340861733,22.48238886691113,22.46237162158023,0
1,stif_indonesia_nusantara_t2t,3.8635089441642725,3.751715350534703,31.353251197989017,14.772728325781614,7.976618969258745,14.018967518473268,14.192664332306967,3.848790343720325,3.72512242478918,31.34179877003206,14.742621039738706,7.942062405274627,14.00872656754768,14.2237108802067,1
2,stif_indonesia_nusantara_t2t,5.9959456244776135,5.652404676593843,40.886896169716415,23.188117437670297,13.97069315000016,22.587538146281688,22.716084037135747,5.960287779772417,5.617375251411867,40.875797288494084,23.22951646317358,13.993496081334078,22.652115390419674,22.767700781223347,2
3,stif_indonesia_nusantara_t2t,5.774104491875546,5.450053661955648,39.99967965252743,21.7760889476563,12.662297029599035,21.24423603620927,21.39617548035571,5.745975119958061,5.420046455643521,40.0028028832071,21.85217531205409,12.656682074138226,21.31183748821884,21.46357723923878,3
4,stif_indonesia_nusantara_t2t,4.801973619884562,4.543832088792495,36.57152482955858,19.58366388181882,11.06338251296209,18.819775116256057,19.020588918655946,4.816613908237252,4.554755481712189,36.59243401760486,19.6140624357624,11.174439970495328,18.90044813365663,19.113049259334915,4
5,tydiqa_id_nusantara_qa,5.455531030851971,5.225521473253003,30.9056473570553,13.979501256521115,9.807811285789962,13.534103174615591,13.611458324820603,5.3240093529063675,5.142058027394187,30.74658085184754,13.770694320872757,9.570491007225101,13.328114735354319,13.373731463468419,0
6,tydiqa_id_nusantara_qa,3.5650108975148482,3.477330314068393,24.46295581996499,10.279593762074649,6.691224063683521,9.705887049984405,9.846627732273905,3.4929231360500808,3.432935615336682,24.367223313387022,10.145310871366037,6.553181245486867,9.627227902637001,9.77926591754732,1
7,tydiqa_id_nusantara_qa,4.623706237947637,4.504792045356009,28.112418248779452,12.559476191084867,8.81529598889692,12.07762749456814,12.201249132391872,4.4930637936162015,4.416696282595798,27.960415291590845,12.3463559392291,8.64312451993308,11.914310714026621,11.986517384475079,2
8,tydiqa_id_nusantara_qa,5.4542594488482585,5.211723550280626,31.234530235522513,14.2976468378025,10.059004274301572,13.735559470870406,13.868450033909985,5.361143063688172,5.152559111804367,31.10000413337942,14.092588510906634,9.828985540866727,13.539853446279821,13.699760998632794,3
9,tydiqa_id_nusantara_qa,5.307005057697927,5.073311345030389,31.02363720143274,14.054948014845658,9.875520956001381,13.581141488163192,13.690592589976239,5.187533243490973,4.992364278210336,30.86877882019328,13.792644268093355,9.670249728210853,13.383515659464493,13.486938552598943,4
10,xl_sum_nusantara_t2t,1.5724479210220785,1.5545453815255714,31.63264539767163,16.57751279150198,4.152309097785485,11.725115652262774,11.78991203762898,1.572577516829888,1.5543363396131116,31.633171853766594,16.58681678830178,4.153173135889584,11.7288757856519,11.794495284389987,0
11,xl_sum_nusantara_t2t,1.341157243382665,1.32853054475545,30.893656373276407,15.71748284204911,3.5969175495835315,11.152089733579004,11.291502556803481,1.3402957726623177,1.32916580929632,30.89396014544293,15.711645494214178,3.593176938142794,11.158827344444012,11.294851437750225,1
12,xl_sum_nusantara_t2t,1.4585317827843223,1.4463922143850456,31.53883728020432,16.43748594224742,3.970810266219012,11.552204342916594,11.651274386264474,1.4558330768917156,1.4450463125867476,31.537829502723007,16.437563684773064,3.9738362022190805,11.555386969322143,11.648567137007381,2
13,xl_sum_nusantara_t2t,1.61338683197895,1.6001454145102798,32.023746307619646,16.961460503259257,4.311528449486703,11.930951115850396,12.00990068963261,1.6137525143285618,1.5996156896247278,32.02430895934972,16.96911096796075,4.316838113436616,11.928714020644557,12.011970328488161,3
14,xl_sum_nusantara_t2t,1.1613175743628266,1.155124205595245,30.354658931787355,15.067045890764158,3.300371264428723,10.913093774714799,11.10631454799789,1.1624601543546327,1.155433123476149,30.35478309006669,15.069680304729127,3.30267817619755,10.916253731947723,11.115705217627129,4
15,xpersona_id_nusantara_t2t,0.19288126750287615,0.22520798758456545,17.684905787215392,7.204271865310302,0.8209412943589116,6.158191283629701,6.283007248189293,0.19303752956272602,0.22510146195698064,17.687615828476446,7.189321534446266,0.8186315847970185,6.14901778371063,6.275891584070424,0
16,xpersona_id_nusantara_t2t,0.17850012787028582,0.20264072850924908,17.505338508782145,6.220456539258587,0.6412861735322803,5.311011511126269,5.439074922710249,0.17855248804986204,0.2025027674609218,17.50668668180615,6.220501376391615,0.6391471472007104,5.307425361527543,5.439187270824695,1
17,xpersona_id_nusantara_t2t,0.3258800135724062,0.36933125541059675,19.016339999355413,8.125275762853382,1.0620606921383897,6.991153529784699,7.06348951935662,0.32591191040357914,0.3691676085038117,19.01783556166685,8.119232141285979,1.0593031706319034,6.990621328591767,7.057923021832541,2
18,xpersona_id_nusantara_t2t,0.2152706029058783,0.2606192008988176,17.69762127203474,6.902928626714225,0.7797888566089703,5.9855622779346165,6.139179368682753,0.21531227095438502,0.260533987563312,17.700393258677316,6.902746265410209,0.7787908840830913,5.98375470936028,6.130362726093152,3
19,xpersona_id_nusantara_t2t,0.309654492914383,0.3561621037401687,18.785532059164737,8.22914492860421,1.0812052934111849,7.087221998357595,7.184601976170407,0.3096828346080977,0.3561084025804457,18.78510422999668,8.23626590147638,1.0893608669795594,7.094698835329741,7.193844424949932,4
