index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,eng,0.27533265097236437,0.27533265097236437,0.27533265097236437,0.27533265097236437,0.37339926768244186,0.3996473287962818,0.27356402462635915,0.5646628912118616,0.27533265097236437,0.28518294109448983
1,code_mixed_jv_id_jv_nusantara_text,1,eng,0.2548618219037871,0.2548618219037871,0.2548618219037871,0.2548618219037871,0.413530541429646,0.40219606711104117,0.26885044779781625,0.5979239753486163,0.2548618219037871,0.256489768917717
2,code_mixed_jv_id_jv_nusantara_text,2,eng,0.21596724667349027,0.21596724667349027,0.21596724667349027,0.21596724667349027,0.41641450661920126,0.4064472203269243,0.23832183839066615,0.5650148458487817,0.21596724667349027,0.18234914119177
3,code_mixed_jv_id_jv_nusantara_text,3,eng,0.3029682702149437,0.3029682702149437,0.3029682702149437,0.3029682702149437,0.4009920128524085,0.395912571365256,0.3022298144847164,0.5940609804701619,0.3029682702149437,0.33404443009175383
4,code_mixed_jv_id_jv_nusantara_text,4,eng,0.16274309109518936,0.16274309109518936,0.16274309109518936,0.16274309109518936,0.5149652396633736,0.38576558372259834,0.16723499848360632,0.7921810870661886,0.16274309109518936,0.07374701223884869
5,id_google_play_review_nusantara_text,0,eng,0.5525042686397268,0.5525042686397268,0.5525042686397268,0.5525042686397268,0.3310266201641221,0.3862863345239199,0.3131452438466848,0.7148319840042969,0.5525042686397268,0.598796013133248
6,id_google_play_review_nusantara_text,1,eng,0.602589641434263,0.602589641434263,0.602589641434263,0.602589641434263,0.30505415391407753,0.3459274669857547,0.3045077317816368,0.6736351869049848,0.602589641434263,0.6241748285442502
7,id_google_play_review_nusantara_text,2,eng,0.6391576550939101,0.6391576550939101,0.6391576550939101,0.6391576550939101,0.3394067561911832,0.3788905659618031,0.33012638273217704,0.6981718028844083,0.6391576550939101,0.6552954128227374
8,id_google_play_review_nusantara_text,3,eng,0.7185543540125213,0.7185543540125213,0.7185543540125213,0.7185543540125213,0.34486666952389183,0.36516708281619986,0.3483617031198608,0.6964429086861426,0.7185543540125213,0.7050912442373243
9,id_google_play_review_nusantara_text,4,eng,0.40239043824701193,0.40239043824701193,0.40239043824701193,0.40239043824701193,0.2837170074483736,0.3224221916379519,0.21733707539020553,0.711988252157664,0.40239043824701193,0.4590562366364812
10,id_google_play_review_posneg_nusantara_text,0,eng,0.8268355150825271,0.8268355150825271,0.8268355150825271,0.8268355150825271,0.7277591717795563,0.8507103621268033,0.7558793299388122,0.8937960098148314,0.8268355150825271,0.8447571485432118
11,id_google_play_review_posneg_nusantara_text,1,eng,0.792544109277177,0.792544109277177,0.792544109277177,0.792544109277177,0.7076063784910755,0.8447259793597414,0.7258714292180757,0.8920137299598943,0.792544109277177,0.8171664492874625
12,id_google_play_review_posneg_nusantara_text,2,eng,0.8363688104723961,0.8363688104723961,0.8363688104723961,0.8363688104723961,0.7381108089902129,0.8645262880361324,0.7682635195479021,0.9003698469284319,0.8363688104723961,0.8531001890302248
13,id_google_play_review_posneg_nusantara_text,3,eng,0.7777461582242459,0.7777461582242459,0.7777461582242459,0.7777461582242459,0.6894343790371966,0.8129298099899852,0.7048894155497823,0.8767121735062474,0.7777461582242459,0.803909490215591
14,id_google_play_review_posneg_nusantara_text,4,eng,0.7396129766647694,0.7396129766647694,0.7396129766647696,0.7396129766647694,0.6793951485203211,0.8166637313577488,0.6780126473250538,0.8832423756055938,0.7396129766647694,0.7731184258046538
15,id_hsd_nofaaulia_nusantara_text,0,eng,0.4725274725274725,0.4725274725274725,0.4725274725274725,0.4725274725274725,0.5300505050505051,0.5404761904761904,0.4577954319761668,0.6783993783993785,0.4725274725274725,0.5059200977770987
16,id_hsd_nofaaulia_nusantara_text,1,eng,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.4564676616915423,0.4523809523809524,0.45385239253852394,0.6125143513203215,0.5934065934065934,0.6025079543327719
17,id_hsd_nofaaulia_nusantara_text,2,eng,0.5274725274725275,0.5274725274725275,0.5274725274725275,0.5274725274725275,0.4273224043715847,0.4095238095238095,0.41430923514443946,0.58562421185372,0.5274725274725275,0.5529342682463473
18,id_hsd_nofaaulia_nusantara_text,3,eng,0.5274725274725275,0.5274725274725275,0.5274725274725275,0.5274725274725275,0.4826216484607746,0.47619047619047616,0.46079647237150334,0.6291345198991674,0.5274725274725275,0.5628941817449465
19,id_hsd_nofaaulia_nusantara_text,4,eng,0.5164835164835165,0.5164835164835165,0.5164835164835165,0.5164835164835165,0.40656284760845385,0.3857142857142857,0.3933333333333333,0.5697783862411226,0.5164835164835165,0.5405128205128206
20,id_short_answer_grading_nusantara_pairs_score,0,eng,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
21,id_short_answer_grading_nusantara_pairs_score,1,eng,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
22,id_short_answer_grading_nusantara_pairs_score,2,eng,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
23,id_short_answer_grading_nusantara_pairs_score,3,eng,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
24,id_short_answer_grading_nusantara_pairs_score,4,eng,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
25,id_stance_nusantara_pairs,0,eng,0.49258160237388726,0.49258160237388726,0.49258160237388726,0.49258160237388726,0.3526570048309179,0.3228148490212679,0.3344370415236557,0.5630241259192362,0.49258160237388726,0.5219740935715609
26,id_stance_nusantara_pairs,1,eng,0.37388724035608306,0.37388724035608306,0.37388724035608306,0.37388724035608306,0.3291967291967292,0.2730572872572411,0.2762453595786929,0.5239071512068545,0.37388724035608306,0.4056057416591541
27,id_stance_nusantara_pairs,2,eng,0.39465875370919884,0.39465875370919884,0.3946587537091989,0.39465875370919884,0.3143298781596654,0.42926960671130604,0.2908814279126662,0.49204859475394236,0.39465875370919884,0.42979729253221394
28,id_stance_nusantara_pairs,3,eng,0.3264094955489614,0.3264094955489614,0.3264094955489614,0.3264094955489614,0.35895065528247017,0.3862720952307653,0.2693467538492918,0.5735945916271137,0.3264094955489614,0.40381108222880197
29,id_stance_nusantara_pairs,4,eng,0.43026706231454004,0.43026706231454004,0.43026706231454004,0.43026706231454004,0.35657098792432534,0.44571435901382794,0.31708314402544296,0.5684530209107682,0.43026706231454004,0.48342552683767975
