index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,eng,0.1811668372569089,0.1811668372569089,0.1811668372569089,0.1811668372569089,0.12055107055107055,0.41694571283612375,0.18602251407129455,0.05202655100300955,0.1811668372569089,0.08040801473285185
1,code_mixed_jv_id_jv_nusantara_text,1,eng,0.18321392016376664,0.18321392016376664,0.18321392016376664,0.18321392016376664,0.4543678254498087,0.41635919102853447,0.18313627331135027,0.7646241099635007,0.18321392016376664,0.08097653599482033
2,code_mixed_jv_id_jv_nusantara_text,2,eng,0.17707267144319344,0.17707267144319344,0.17707267144319344,0.17707267144319344,0.11830959594326028,0.4035345848131236,0.175912770203023,0.05103210103691963,0.17707267144319344,0.07622797311739256
3,code_mixed_jv_id_jv_nusantara_text,3,eng,0.17604912998976457,0.17604912998976457,0.17604912998976457,0.17604912998976457,0.11485521765587664,0.4034838491459496,0.17749727163951454,0.04972595804396074,0.17604912998976457,0.07698779150955992
4,code_mixed_jv_id_jv_nusantara_text,4,eng,0.19242579324462641,0.19242579324462641,0.19242579324462641,0.19242579324462641,0.13263316885857138,0.441315744968713,0.1991450702024599,0.057029593324116924,0.19242579324462641,0.08592192859254448
5,id_google_play_review_nusantara_text,0,eng,0.39072282299373934,0.39072282299373934,0.39072282299373934,0.39072282299373934,0.3326025276247899,0.3729269953123807,0.29107870651631806,0.7275007278967769,0.39072282299373934,0.46263822291006834
6,id_google_play_review_nusantara_text,1,eng,0.6740182128628344,0.6740182128628344,0.6740182128628344,0.6740182128628344,0.3517765358003458,0.36140799557839565,0.3529344582611961,0.6875836030524132,0.6740182128628344,0.6799084655715302
7,id_google_play_review_nusantara_text,2,eng,0.5287421741605008,0.5287421741605008,0.5287421741605008,0.5287421741605008,0.3348191115140867,0.382735154384344,0.3274832778965818,0.7069257587457106,0.5287421741605008,0.5855954494626752
8,id_google_play_review_nusantara_text,3,eng,0.5157939669891861,0.5157939669891861,0.5157939669891861,0.5157939669891861,0.33617915482109184,0.3928839026564158,0.32872366197314423,0.7137861897748822,0.5157939669891861,0.5780282889499858
9,id_google_play_review_nusantara_text,4,eng,0.4605862265224815,0.4605862265224815,0.4605862265224815,0.4605862265224815,0.3075216181866339,0.3616763164073406,0.262855875937667,0.7039421857951037,0.4605862265224815,0.5133635385564134
10,id_google_play_review_posneg_nusantara_text,0,eng,0.9275754126351736,0.9275754126351736,0.9275754126351736,0.9275754126351736,0.8625039731742727,0.8769280550573636,0.8694722405038622,0.9291769117928901,0.9275754126351736,0.9282817211895529
11,id_google_play_review_posneg_nusantara_text,1,eng,0.916903813318156,0.916903813318156,0.916903813318156,0.916903813318156,0.8446487607285238,0.8543072445160961,0.8493613896438525,0.9181426483389813,0.916903813318156,0.9174779095669815
12,id_google_play_review_posneg_nusantara_text,2,eng,0.9402390438247012,0.9402390438247012,0.9402390438247012,0.9402390438247012,0.8921719600582747,0.8866067585748363,0.8893561398166311,0.9398373130786383,0.9402390438247012,0.9400255192589937
13,id_google_play_review_posneg_nusantara_text,3,eng,0.9224530449630052,0.9224530449630052,0.9224530449630052,0.9224530449630052,0.8520726075960801,0.8713975162075948,0.86128224810358,0.9248767827799131,0.9224530449630052,0.9234885052055366
14,id_google_play_review_posneg_nusantara_text,4,eng,0.9408081957882755,0.9408081957882755,0.9408081957882755,0.9408081957882755,0.901542593229465,0.8749349976708585,0.8874937563831122,0.9393427047394274,0.9408081957882755,0.9397943618847462
15,id_hsd_nofaaulia_nusantara_text,0,eng,0.4835164835164835,0.4835164835164835,0.4835164835164835,0.4835164835164835,0.49830426356589147,0.4976190476190476,0.4514556880851609,0.6432245080500895,0.4835164835164835,0.5228638233640157
