index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,eng,0.18833162743091095,0.18833162743091095,0.18833162743091095,0.18833162743091095,0.5470324748040314,0.356930667086548,0.16557282175048024,0.6189506847106442,0.18833162743091095,0.14183664060617773
1,code_mixed_jv_id_jv_nusantara_text,1,eng,0.6335721596724667,0.6335721596724667,0.6335721596724667,0.6335721596724667,0.4392073445486406,0.3873913119543729,0.3838572192642767,0.6079521490989782,0.6335721596724667,0.6061955276576162
2,code_mixed_jv_id_jv_nusantara_text,2,eng,0.2507676560900716,0.2507676560900716,0.2507676560900716,0.2507676560900716,0.3301545483281135,0.34859106469089146,0.2370051871939052,0.5236879531684768,0.2507676560900716,0.2640724517211313
3,code_mixed_jv_id_jv_nusantara_text,3,eng,0.4646878198567042,0.4646878198567042,0.4646878198567042,0.4646878198567042,0.47797375672745,0.5357155770161596,0.43924467346450974,0.6559924553567216,0.4646878198567042,0.49870487782344936
4,code_mixed_jv_id_jv_nusantara_text,4,eng,0.2067553735926305,0.2067553735926305,0.2067553735926305,0.2067553735926305,0.5010464002565368,0.47796847390612157,0.22983502270087638,0.7856788721835362,0.2067553735926305,0.10625088307603225
5,id_google_play_review_nusantara_text,0,eng,0.2517074558907228,0.2517074558907228,0.2517074558907228,0.2517074558907228,0.2509548591062237,0.26558033544692294,0.1528008681903803,0.6969367325355799,0.2517074558907228,0.28512867317197627
6,id_google_play_review_nusantara_text,1,eng,0.08764940239043825,0.08764940239043825,0.08764940239043825,0.08764940239043825,0.29364958446360073,0.19781169601568843,0.05449490706168521,0.7719136164863732,0.08764940239043825,0.020651509398280362
7,id_google_play_review_nusantara_text,2,eng,0.10856573705179283,0.10856573705179283,0.10856573705179283,0.10856573705179283,0.18461844405382827,0.19281759280110952,0.06272070220708918,0.5211967407254136,0.10856573705179283,0.06869777322744411
8,id_google_play_review_nusantara_text,3,eng,0.10500853727945361,0.10500853727945361,0.10500853727945361,0.10500853727945361,0.22993990382819227,0.20820981390309617,0.06750475217884379,0.6221025492128509,0.10500853727945361,0.050795457248620814
9,id_google_play_review_nusantara_text,4,eng,0.09931701764371087,0.09931701764371087,0.09931701764371086,0.09931701764371087,0.24340368341582913,0.208525532822329,0.07672634698735728,0.6450234316452307,0.09931701764371087,0.0471262438560569
