index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,eng,0.44012282497441146,0.44012282497441146,0.44012282497441146,0.44012282497441146,0.6176610905156249,0.6653016147938208,0.49574725482638327,0.8118665528781707,0.44012282497441146,0.45633702719399344
1,code_mixed_jv_id_jv_nusantara_text,1,eng,0.345957011258956,0.345957011258956,0.345957011258956,0.345957011258956,0.6300388461395487,0.5957957918554675,0.42987538642150974,0.8011734599707628,0.345957011258956,0.3424822195656467
2,code_mixed_jv_id_jv_nusantara_text,2,eng,0.31525076765609006,0.31525076765609006,0.31525076765609006,0.31525076765609006,0.6067485228610549,0.5855944237419596,0.3943615360329545,0.793234692544391,0.31525076765609006,0.28730851511397004
3,code_mixed_jv_id_jv_nusantara_text,3,eng,0.5087001023541453,0.5087001023541453,0.5087001023541453,0.5087001023541453,0.6635858310922608,0.6988218536596745,0.5620166640646483,0.8305702264657989,0.5087001023541453,0.5456370635551068
4,code_mixed_jv_id_jv_nusantara_text,4,eng,0.3705220061412487,0.3705220061412487,0.3705220061412487,0.3705220061412487,0.6662099594537494,0.5733827277127544,0.43855297112045455,0.8220275495718626,0.3705220061412487,0.39451354890062384
5,id_google_play_review_nusantara_text,0,eng,0.09832100170745589,0.09832100170745589,0.09832100170745589,0.09832100170745589,0.17555610360335722,0.19924224099206117,0.062145973118202934,0.36018677979144986,0.09832100170745589,0.03854411260109193
6,id_google_play_review_nusantara_text,1,eng,0.0946215139442231,0.0946215139442231,0.0946215139442231,0.0946215139442231,0.1350154392883625,0.17518910122407777,0.0721075880201341,0.35764944661734815,0.0946215139442231,0.09857578102797727
7,id_google_play_review_nusantara_text,2,eng,0.07854297097324986,0.07854297097324986,0.07854297097324986,0.07854297097324986,0.1601250341077173,0.18313090015560216,0.07303984646440183,0.4364591981473948,0.07854297097324986,0.06933524092946616
8,id_google_play_review_nusantara_text,3,eng,0.09988616960728515,0.09988616960728515,0.09988616960728515,0.09988616960728515,0.19122795424220773,0.20596976216919533,0.06257608334955506,0.4950779524546421,0.09988616960728515,0.03587642965179842
9,id_google_play_review_nusantara_text,4,eng,0.08651109846328969,0.08651109846328969,0.08651109846328969,0.08651109846328969,0.18565656088520582,0.18381556766930388,0.057900134033581366,0.4916675017579356,0.08651109846328969,0.03207574128094961
10,id_google_play_review_posneg_nusantara_text,0,eng,0.8612692088787707,0.8612692088787707,0.8612692088787707,0.8612692088787707,0.7600641034165218,0.8726772414209951,0.7936567278226452,0.9056154459995014,0.8612692088787707,0.8734202960782681
11,id_google_play_review_posneg_nusantara_text,1,eng,0.7343483210017074,0.7343483210017074,0.7343483210017074,0.7343483210017074,0.6733560216265274,0.8057490717302656,0.6711478028581443,0.8777836013119824,0.7343483210017074,0.7685024471649766
12,id_google_play_review_posneg_nusantara_text,2,eng,0.6693227091633466,0.6693227091633466,0.6693227091633466,0.6693227091633466,0.6510509074163146,0.7768265524223593,0.6183697616906895,0.873404679445582,0.6693227091633466,0.7125374753609506
13,id_google_play_review_posneg_nusantara_text,3,eng,0.7972396129766648,0.7972396129766648,0.7972396129766648,0.7972396129766648,0.7097789619604156,0.8450558108174298,0.7297040898217257,0.8918352118389763,0.7972396129766648,0.8209433704631549
14,id_google_play_review_posneg_nusantara_text,4,eng,0.704183266932271,0.704183266932271,0.704183266932271,0.704183266932271,0.662943451015749,0.7944556009341577,0.6468864310581921,0.8766161216924009,0.704183266932271,0.7429411053988413
