index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,eng,0.5148413510747185,0.5148413510747185,0.5148413510747185,0.5148413510747185,0.599634703196347,0.37617843792461964,0.3469978642496223,0.674232741174876,0.5148413510747186,0.5299869622028647
1,code_mixed_jv_id_jv_nusantara_text,1,eng,0.4953940634595701,0.4953940634595701,0.4953940634595701,0.4953940634595701,0.5013537537909083,0.40390650058025274,0.3861636615811374,0.6243052423323907,0.4953940634595701,0.5261935927156784
2,code_mixed_jv_id_jv_nusantara_text,2,eng,0.3940634595701126,0.3940634595701126,0.3940634595701126,0.3940634595701126,0.32495921199091227,0.3913686675180928,0.27024190735205345,0.5996983734160708,0.3940634595701126,0.4214245334879777
3,code_mixed_jv_id_jv_nusantara_text,3,eng,0.706243602865916,0.706243602865916,0.706243602865916,0.706243602865916,0.6579453512574531,0.5005191658356514,0.5240126009150853,0.722080169762533,0.706243602865916,0.6877588852119151
4,code_mixed_jv_id_jv_nusantara_text,4,eng,0.4104401228249744,0.4104401228249744,0.41044012282497444,0.4104401228249744,0.4676371310414717,0.5341203193431189,0.3968013260211354,0.6951666464002639,0.4104401228249744,0.4329071786828102
5,id_google_play_review_nusantara_text,0,eng,0.13830392714854867,0.13830392714854867,0.13830392714854867,0.13830392714854867,0.25155816487855925,0.20668908897686333,0.11367267768872473,0.6645045558652806,0.13830392714854867,0.15061973687173535
6,id_google_play_review_nusantara_text,1,eng,0.10202048947068867,0.10202048947068867,0.10202048947068867,0.10202048947068867,0.24351247817480043,0.20310492513027917,0.054978799084717325,0.6744511973907401,0.10202048947068867,0.04052991417244577
7,id_google_play_review_nusantara_text,2,eng,0.09561752988047809,0.09561752988047809,0.09561752988047809,0.09561752988047809,0.23527730131503716,0.19982779568171644,0.03612294470701963,0.6459566251859344,0.09561752988047809,0.021808142771501938
8,id_google_play_review_nusantara_text,3,eng,0.09405236198064883,0.09405236198064883,0.09405236198064883,0.09405236198064883,0.24839371705519797,0.2130297162125648,0.10388479618269131,0.6856422971296859,0.09405236198064883,0.0761796266157267
9,id_google_play_review_nusantara_text,4,eng,0.15295959021058622,0.15295959021058622,0.15295959021058622,0.15295959021058622,0.23610967584613002,0.19460153616307502,0.11569218698792308,0.6164551333198576,0.15295959021058622,0.17209536827883623
