index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,eng,0.16786079836233367,0.16786079836233367,0.16786079836233367,0.16786079836233367,0.17779049721648713,0.37814983933705393,0.16072554053964397,0.07545680080306545,0.16786079836233367,0.0696595304242059
1,code_mixed_jv_id_jv_nusantara_text,1,eng,0.20368474923234392,0.20368474923234392,0.20368474923234392,0.20368474923234392,0.47832537472554915,0.4586550966018766,0.2138614460134064,0.7745487783072807,0.20368474923234392,0.09864582921816578
2,code_mixed_jv_id_jv_nusantara_text,2,eng,0.19140225179119755,0.19140225179119755,0.19140225179119755,0.19140225179119755,0.14271789474619098,0.4358701166920345,0.19758726313664568,0.06115254861112844,0.19140225179119755,0.08526505368492306
3,code_mixed_jv_id_jv_nusantara_text,3,eng,0.1780962128966223,0.1780962128966223,0.1780962128966223,0.1780962128966223,0.49073054638063146,0.40140908110125556,0.18283963577053405,0.7794498501397761,0.1780962128966223,0.08055677536000755
4,code_mixed_jv_id_jv_nusantara_text,4,eng,0.1647901740020471,0.1647901740020471,0.1647901740020471,0.1647901740020471,0.5510923185341791,0.36856619255060447,0.15008512928168594,0.8043791561084651,0.1647901740020471,0.06685310018207698
5,id_google_play_review_nusantara_text,0,eng,0.5426863972680706,0.5426863972680706,0.5426863972680706,0.5426863972680706,0.4007482675566113,0.4369910440221176,0.35614454348534175,0.7410666904153168,0.5426863972680706,0.5917511788823716
6,id_google_play_review_nusantara_text,1,eng,0.48705179282868527,0.48705179282868527,0.48705179282868527,0.48705179282868527,0.4015163205869431,0.4299055456835864,0.3393903127371086,0.7511443623801475,0.48705179282868527,0.5368816317481279
7,id_google_play_review_nusantara_text,2,eng,0.4753841775754126,0.4753841775754126,0.4753841775754126,0.4753841775754126,0.43118383326899085,0.44801240802947817,0.36907040016789844,0.7717610353683776,0.4753841775754126,0.5345584340443286
8,id_google_play_review_nusantara_text,3,eng,0.47908366533864544,0.47908366533864544,0.47908366533864544,0.47908366533864544,0.40067471857296094,0.4363154676309688,0.35413136661927513,0.7632690083079882,0.47908366533864544,0.5368599095980658
9,id_google_play_review_nusantara_text,4,eng,0.5340068298235628,0.5340068298235628,0.5340068298235628,0.5340068298235628,0.40746132510745897,0.4392270910149789,0.3501368136591001,0.751563151148765,0.5340068298235628,0.5847534807711989
