index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,ind,0.6622313203684749,0.6622313203684749,0.6622313203684749,0.6622313203684749,0.4520866273777011,0.4390787102643503,0.4194838825823852,0.6193406006689138,0.6622313203684749,0.6286771451548391
1,code_mixed_jv_id_jv_nusantara_text,1,ind,0.1985670419651996,0.1985670419651996,0.19856704196519961,0.1985670419651996,0.27748803582550835,0.31164879254943817,0.14690746120311748,0.4706236654820855,0.1985670419651996,0.17698629319082687
2,code_mixed_jv_id_jv_nusantara_text,2,ind,0.3398157625383828,0.3398157625383828,0.3398157625383828,0.3398157625383828,0.3147480778612212,0.30858540795558587,0.2549208345833375,0.549082056861409,0.3398157625383828,0.38702240871782256
3,code_mixed_jv_id_jv_nusantara_text,3,ind,0.6990788126919141,0.6990788126919141,0.6990788126919141,0.6990788126919141,0.2759205872129874,0.3310876968922946,0.28309217151640426,0.522131203787838,0.6990788126919141,0.5899010196842531
4,code_mixed_jv_id_jv_nusantara_text,4,ind,0.353121801432958,0.353121801432958,0.353121801432958,0.353121801432958,0.36019027566576983,0.3522886451244191,0.29928782730442444,0.5729582479134971,0.353121801432958,0.3992006877755622
5,id_google_play_review_nusantara_text,0,ind,0.19664200341491178,0.19664200341491178,0.19664200341491178,0.19664200341491178,0.3575677720219774,0.2243307694690862,0.09596837974267951,0.6753965514731435,0.19664200341491178,0.20171783886552738
6,id_google_play_review_nusantara_text,1,ind,0.09291405805350028,0.09291405805350028,0.09291405805350028,0.09291405805350028,0.018590747330960854,0.19938931297709922,0.03401041666666667,0.008663161284703586,0.09291405805350028,0.015848621881521533
7,id_google_play_review_nusantara_text,2,ind,0.1593625498007968,0.1593625498007968,0.1593625498007968,0.1593625498007968,0.3560414626699095,0.19775890576187716,0.0742918011443648,0.5677380638372689,0.1593625498007968,0.15097060048421584
8,id_google_play_review_nusantara_text,3,ind,0.2746158224245874,0.2746158224245874,0.2746158224245874,0.2746158224245874,0.263842488127673,0.246854161185495,0.12573725585676448,0.666866409163521,0.2746158224245874,0.306547770506491
9,id_google_play_review_nusantara_text,4,ind,0.6792828685258964,0.6792828685258964,0.6792828685258964,0.6792828685258964,0.35480142375335155,0.26726160994685816,0.2300348791376144,0.65558285051848,0.6792828685258964,0.6348060998775096
10,id_google_play_review_posneg_nusantara_text,0,ind,0.933693796243597,0.933693796243597,0.933693796243597,0.933693796243597,0.8801578180600592,0.874221144436999,0.8771501964067615,0.9332020252540196,0.933693796243597,0.9334328987611284
11,id_google_play_review_posneg_nusantara_text,1,ind,0.8464712578258395,0.8464712578258395,0.8464712578258397,0.8464712578258395,0.760741814422796,0.5483659013673676,0.5498444445275514,0.8217970272665602,0.8464712578258395,0.7966088364493173
12,id_google_play_review_posneg_nusantara_text,2,ind,0.8410643141718839,0.8410643141718839,0.8410643141718839,0.8410643141718839,0.731000832328311,0.5242949787459318,0.5070952865587602,0.8075485000934923,0.8410643141718839,0.7810826685902011
