index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,ind,0.27942681678607983,0.27942681678607983,0.27942681678607983,0.27942681678607983,0.38096736177000873,0.4725578357447355,0.2902803517615009,0.5671960165494285,0.27942681678607983,0.25245574998388964
1,code_mixed_jv_id_jv_nusantara_text,1,ind,0.22006141248720573,0.22006141248720573,0.22006141248720573,0.22006141248720573,0.33142515379357484,0.33762793260903795,0.16266419075878938,0.5575768303236923,0.22006141248720573,0.20195018266663828
2,code_mixed_jv_id_jv_nusantara_text,2,ind,0.21699078812691913,0.21699078812691913,0.21699078812691913,0.21699078812691913,0.32919346095714325,0.33371662088793247,0.20269841452974902,0.5548936075112796,0.21699078812691913,0.21514528276916434
3,code_mixed_jv_id_jv_nusantara_text,3,ind,0.3961105424769703,0.3961105424769703,0.3961105424769703,0.3961105424769703,0.47011434279649295,0.39295838508954556,0.3245702069132619,0.625279619786927,0.3961105424769703,0.4366957935068114
4,code_mixed_jv_id_jv_nusantara_text,4,ind,0.14534288638689866,0.14534288638689866,0.14534288638689866,0.14534288638689866,0.2831807873011,0.31905138881599276,0.14978897589919807,0.45120771586902786,0.14534288638689866,0.08181844269823892
5,id_google_play_review_nusantara_text,0,ind,0.19180421172453044,0.19180421172453044,0.19180421172453044,0.19180421172453044,0.23048663163906974,0.23398890757259116,0.10466141228210066,0.6482971902256598,0.19180421172453044,0.19209193603919045
6,id_google_play_review_nusantara_text,1,ind,0.48662492885600456,0.48662492885600456,0.48662492885600456,0.48662492885600456,0.18226536475774952,0.24063793397057626,0.17627892562570902,0.5867520175409072,0.48662492885600456,0.5110477561582253
7,id_google_play_review_nusantara_text,2,ind,0.11881047239612977,0.11881047239612977,0.11881047239612977,0.11881047239612977,0.15877484349330118,0.19578856960928764,0.04951911674287048,0.5238161664063535,0.11881047239612977,0.07503890519906692
8,id_google_play_review_nusantara_text,3,ind,0.34490608992601024,0.34490608992601024,0.34490608992601024,0.34490608992601024,0.30284761282460726,0.24941292829764755,0.20178601722046946,0.6008008740466165,0.34490608992601024,0.399220355670682
9,id_google_play_review_nusantara_text,4,ind,0.7125782583949914,0.7125782583949914,0.7125782583949914,0.7125782583949914,0.2603934390009897,0.31667987947805654,0.2746771291241147,0.6476905282027263,0.7125782583949914,0.6727185714187879
10,id_google_play_review_posneg_nusantara_text,0,ind,0.9143426294820717,0.9143426294820717,0.9143426294820717,0.9143426294820717,0.8332309431868699,0.8757415997190441,0.8521580212332209,0.9213215754882492,0.9143426294820717,0.91690750582055
11,id_google_play_review_posneg_nusantara_text,1,ind,0.8726522481502561,0.8726522481502561,0.872652248150256,0.8726522481502561,0.8159424724602203,0.651253515857442,0.6899425876750446,0.860473345296903,0.8726522481502561,0.8506729025249712
12,id_google_play_review_posneg_nusantara_text,2,ind,0.833096186681844,0.833096186681844,0.833096186681844,0.833096186681844,0.5480639488826791,0.5032878933617903,0.4684389315110838,0.7442302772752019,0.833096186681844,0.7657526805302264
13,id_google_play_review_posneg_nusantara_text,3,ind,0.5799658508821856,0.5799658508821856,0.5799658508821856,0.5799658508821856,0.6105112213905245,0.7015853794520734,0.5403186267124175,0.8450878046147584,0.5799658508821856,0.6314841915911577
14,id_google_play_review_posneg_nusantara_text,4,ind,0.8942800227660785,0.8942800227660785,0.8942800227660785,0.8942800227660785,0.8527048119384804,0.7206879877779989,0.7634115504532932,0.8872731284394931,0.8942800227660785,0.8822372190196753
15,id_hsd_nofaaulia_nusantara_text,0,ind,0.37362637362637363,0.37362637362637363,0.37362637362637363,0.37362637362637363,0.5460526315789473,0.5428571428571428,0.37332366799565053,0.7054655870445344,0.37362637362637363,0.3659073800429363
16,id_hsd_nofaaulia_nusantara_text,1,ind,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.45238095238095233,0.4809523809523809,0.4512987012987013,0.619047619047619,0.7142857142857143,0.6558441558441559
17,id_hsd_nofaaulia_nusantara_text,2,ind,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.42045454545454547,0.45238095238095233,0.43124999999999997,0.5979020979020979,0.6703296703296703,0.6298076923076922
18,id_hsd_nofaaulia_nusantara_text,3,ind,0.45054945054945056,0.45054945054945056,0.45054945054945056,0.45054945054945056,0.5333686440677966,0.5428571428571429,0.44240196078431376,0.6836701434159062,0.45054945054945056,0.47869532428355965
