index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,ind,0.6499488229273286,0.6499488229273286,0.6499488229273286,0.6499488229273286,0.48793943765270864,0.47953457314975195,0.4818211666054739,0.6555500798093531,0.6499488229273286,0.6519155550107605
1,code_mixed_jv_id_jv_nusantara_text,1,ind,0.5230296827021494,0.5230296827021494,0.5230296827021494,0.5230296827021494,0.350233845538295,0.35259276754316904,0.3497906479355895,0.5555664750255853,0.5230296827021493,0.5378501259884526
2,code_mixed_jv_id_jv_nusantara_text,2,ind,0.42374616171954965,0.42374616171954965,0.42374616171954965,0.42374616171954965,0.3287218800139265,0.33269753378004047,0.3161099728631519,0.5341965927761732,0.42374616171954965,0.4633074670801634
3,code_mixed_jv_id_jv_nusantara_text,3,ind,0.5926305015353122,0.5926305015353122,0.5926305015353122,0.5926305015353122,0.4125615241180052,0.41246464540433997,0.4099244384982212,0.604374739633265,0.5926305015353122,0.5973272411017739
4,code_mixed_jv_id_jv_nusantara_text,4,ind,0.5967246673490276,0.5967246673490276,0.5967246673490276,0.5967246673490276,0.446288808841187,0.4183222822885868,0.36430450661627756,0.6221103915379013,0.5967246673490276,0.5805235633302377
5,id_google_play_review_nusantara_text,0,ind,0.11425725668753557,0.11425725668753557,0.11425725668753557,0.11425725668753557,0.24886219347357136,0.20923783014603678,0.07356415824835977,0.6982920823814726,0.11425725668753557,0.07432373332405882
6,id_google_play_review_nusantara_text,1,ind,0.08949914627205464,0.08949914627205464,0.08949914627205464,0.08949914627205464,0.24513003459828928,0.20112164035706986,0.06249059642494703,0.5975763515527036,0.08949914627205464,0.02387129590972088
7,id_google_play_review_nusantara_text,2,ind,0.13759248719408082,0.13759248719408082,0.13759248719408082,0.13759248719408082,0.22687709612326973,0.21444538454789336,0.09312403793241629,0.6052051816401356,0.13759248719408082,0.1244538509757482
8,id_google_play_review_nusantara_text,3,ind,0.09234490608992602,0.09234490608992602,0.09234490608992602,0.09234490608992602,0.2430725131510787,0.2033833090869523,0.059199249779784725,0.6415426248727507,0.09234490608992602,0.026060966062605856
9,id_google_play_review_nusantara_text,4,ind,0.08935685828116106,0.08935685828116106,0.08935685828116108,0.08935685828116106,0.2545726514745665,0.1941169503419597,0.061600058140529865,0.7105491917937453,0.08935685828116106,0.03044234601466267
10,id_google_play_review_posneg_nusantara_text,0,ind,0.8840352874217416,0.8840352874217416,0.8840352874217416,0.8840352874217416,0.8695229787980321,0.6668801278891516,0.7130661067272333,0.8808066316040815,0.8840352874217416,0.8626365641606224
11,id_google_play_review_posneg_nusantara_text,1,ind,0.85486624928856,0.85486624928856,0.85486624928856,0.85486624928856,0.7445638928122866,0.6247393393574905,0.6530757312135438,0.8321927819713749,0.85486624928856,0.8317506936732503
12,id_google_play_review_posneg_nusantara_text,2,ind,0.8084803642572567,0.8084803642572567,0.8084803642572567,0.8084803642572567,0.5377772912019487,0.5143838821318888,0.5052666261522804,0.7430755949284575,0.8084803642572567,0.7668174078764203
13,id_google_play_review_posneg_nusantara_text,3,ind,0.8749288560045532,0.8749288560045532,0.8749288560045532,0.8749288560045532,0.7914222503160556,0.692179711770033,0.7252906963170944,0.8618419998891916,0.8749288560045532,0.8622065833185749
14,id_google_play_review_posneg_nusantara_text,4,ind,0.8550085372794536,0.8550085372794536,0.8550085372794536,0.8550085372794536,0.7778360314418913,0.5877299571375423,0.6098691363713051,0.8351000578185439,0.8550085372794536,0.8187062565849244
15,id_hsd_nofaaulia_nusantara_text,0,ind,0.5824175824175825,0.5824175824175825,0.5824175824175825,0.5824175824175825,0.4824805339265851,0.47857142857142854,0.47606060606060596,0.630871908958672,0.5824175824175823,0.603170163170163
16,id_hsd_nofaaulia_nusantara_text,1,ind,0.3626373626373626,0.3626373626373626,0.3626373626373626,0.3626373626373626,0.46031746031746035,0.4523809523809524,0.358843537414966,0.5970695970695971,0.3626373626373626,0.3854003139717425
17,id_hsd_nofaaulia_nusantara_text,2,ind,0.7362637362637363,0.7362637362637363,0.7362637362637363,0.7362637362637363,0.48372093023255813,0.49523809523809526,0.46153846153846156,0.6364937388193203,0.7362637362637363,0.6686390532544378
18,id_hsd_nofaaulia_nusantara_text,3,ind,0.7252747252747253,0.7252747252747253,0.7252747252747253,0.7252747252747253,0.5985540334855404,0.5880952380952381,0.5920745920745921,0.7114506498068143,0.7252747252747253,0.7175901022054869
19,id_hsd_nofaaulia_nusantara_text,4,ind,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.7472527472527473,0.5549019607843138,0.519047619047619,0.4998805256869773,0.67420814479638,0.7472527472527473,0.6892748828232699
20,id_short_answer_grading_nusantara_pairs_score,0,ind,0.14942528735632185,0.14942528735632185,0.14942528735632185,0.14942528735632185,0.05267094017094017,0.16728624535315983,0.0445287228109314,0.05085183547827226,0.14942528735632185,0.03991888420913172
21,id_short_answer_grading_nusantara_pairs_score,1,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
22,id_short_answer_grading_nusantara_pairs_score,2,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
23,id_short_answer_grading_nusantara_pairs_score,3,ind,0.17752234993614305,0.17752234993614305,0.17752234993614305,0.17752234993614305,0.02958705832269051,0.16666666666666666,0.05025307302964569,0.03151418472685043,0.17752234993614305,0.05352626169441189
24,id_short_answer_grading_nusantara_pairs_score,4,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
25,id_stance_nusantara_pairs,0,ind,0.29080118694362017,0.29080118694362017,0.29080118694362017,0.29080118694362017,0.34563788201847906,0.1848816029143898,0.2408791208791209,0.546560726465173,0.29080118694362017,0.3795897870675319
26,id_stance_nusantara_pairs,1,ind,0.3056379821958457,0.3056379821958457,0.3056379821958457,0.3056379821958457,0.3975790101371497,0.3624772313296904,0.26557305880611715,0.6214428584320241,0.3056379821958457,0.4068390926591531
27,id_stance_nusantara_pairs,2,ind,0.29376854599406527,0.29376854599406527,0.29376854599406527,0.29376854599406527,0.35781106661612916,0.33754072705815946,0.23329763210250345,0.5849530186488205,0.29376854599406527,0.38693884217083385
28,id_stance_nusantara_pairs,3,ind,0.26112759643916916,0.26112759643916916,0.26112759643916916,0.26112759643916916,0.33734006018101015,0.35184330023858995,0.22908381425593138,0.5351875508569367,0.26112759643916916,0.32977542163178275
29,id_stance_nusantara_pairs,4,ind,0.29080118694362017,0.29080118694362017,0.29080118694362017,0.29080118694362017,0.40824915824915825,0.5010775032709921,0.23187495734079586,0.6051239396936727,0.29080118694362017,0.3707991291750069
30,indolem_ntp_nusantara_pairs,0,ind,0.7387566137566137,0.7387566137566137,0.7387566137566137,0.7387566137566137,0.5152866268916629,0.5020282186948853,0.45017819403992576,0.6330335672804996,0.7387566137566137,0.6493431431962304
31,indolem_ntp_nusantara_pairs,1,ind,0.7384920634920635,0.7384920634920635,0.7384920634920635,0.7384920634920635,0.49775626642733506,0.49973544973544975,0.44468353401809924,0.623827382097143,0.7384920634920635,0.6466468439674691
32,indolem_ntp_nusantara_pairs,2,ind,0.669047619047619,0.669047619047619,0.669047619047619,0.669047619047619,0.5279738477770257,0.5236331569664903,0.5235236025991893,0.6445076885556189,0.669047619047619,0.6551848716693339
33,indolem_ntp_nusantara_pairs,3,ind,0.7395502645502645,0.7395502645502645,0.7395502645502645,0.7395502645502645,0.5341095825351845,0.505026455026455,0.45666054972199993,0.6430248389190558,0.7395502645502645,0.6526867865782493
34,indolem_ntp_nusantara_pairs,4,ind,0.7415343915343915,0.7415343915343915,0.7415343915343915,0.7415343915343915,0.48923881406037195,0.4991181657848324,0.4389343176409676,0.6194514414295411,0.7415343915343915,0.6449552613220092
35,jadi_ide_nusantara_text,0,ind,0.2790035155776458,0.2790035155776458,0.2790035155776458,0.2790035155776458,0.29175466957958196,0.27900001102329225,0.2698101968556729,0.29175658696105056,0.2790035155776458,0.2698110976500625
