index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,ind,0.5424769703172978,0.5424769703172978,0.5424769703172978,0.5424769703172978,0.5749374217772215,0.43451220863439405,0.38436061803913085,0.6775961315513378,0.5424769703172978,0.554099310678446
1,code_mixed_jv_id_jv_nusantara_text,1,ind,0.6499488229273286,0.6499488229273286,0.6499488229273286,0.6499488229273286,0.47539165602384,0.45732634697364666,0.4635722311817861,0.640322036468403,0.6499488229273286,0.6437063889104906
2,code_mixed_jv_id_jv_nusantara_text,2,ind,0.6530194472876152,0.6530194472876152,0.6530194472876152,0.6530194472876152,0.4850776569804431,0.46311560734092616,0.4689887941280264,0.6465728202869774,0.6530194472876152,0.6473637586854162
3,code_mixed_jv_id_jv_nusantara_text,3,ind,0.7011258955987717,0.7011258955987717,0.7011258955987717,0.7011258955987717,0.6510208951153834,0.39387191868297206,0.3917515778241387,0.7005880103825768,0.7011258955987717,0.6355114967295368
4,code_mixed_jv_id_jv_nusantara_text,4,ind,0.593654042988741,0.593654042988741,0.593654042988741,0.593654042988741,0.4812912907610228,0.4850930445482484,0.46293749769131415,0.6536841265956944,0.593654042988741,0.6129706449505039
5,id_google_play_review_nusantara_text,0,ind,0.16875355719977234,0.16875355719977234,0.16875355719977234,0.16875355719977234,0.19394073475965007,0.203558002066275,0.08114106609160585,0.5470493063275104,0.16875355719977234,0.16503161674154898
6,id_google_play_review_nusantara_text,1,ind,0.07840068298235629,0.07840068298235629,0.07840068298235629,0.07840068298235629,0.1933104781748745,0.19563482516752592,0.06699923283106994,0.5516963085770349,0.07840068298235629,0.02560891089849829
7,id_google_play_review_nusantara_text,2,ind,0.18141718838929993,0.18141718838929993,0.18141718838929993,0.18141718838929993,0.21977480902212085,0.22176461909442544,0.10997956833989102,0.6260741658933836,0.18141718838929993,0.19086768677654453
8,id_google_play_review_nusantara_text,3,ind,0.11468412066021627,0.11468412066021627,0.11468412066021627,0.11468412066021627,0.1661632863021752,0.2021267427310623,0.04664451969334201,0.5490775335083619,0.11468412066021627,0.061017988279396265
9,id_google_play_review_nusantara_text,4,ind,0.5005691519635743,0.5005691519635743,0.5005691519635743,0.5005691519635743,0.2227523389192454,0.26339930593240524,0.21740974940536736,0.5903208417993603,0.5005691519635743,0.5268131770292089
10,id_google_play_review_posneg_nusantara_text,0,ind,0.16861126920887878,0.16861126920887878,0.16861126920887878,0.16861126920887878,0.5278255880665519,0.5016173725824083,0.14831218694363785,0.774330960723943,0.16861126920887878,0.059520072260842036
11,id_google_play_review_posneg_nusantara_text,1,ind,0.16519635742743313,0.16519635742743313,0.16519635742743313,0.16519635742743313,0.5586315625567695,0.5013453788684853,0.14348270897948287,0.8259917406128735,0.16519635742743313,0.051388897063511595
12,id_google_play_review_posneg_nusantara_text,2,ind,0.1892430278884462,0.1892430278884462,0.1892430278884462,0.1892430278884462,0.5098485376870263,0.5026277093856589,0.17644816471257166,0.744011934040375,0.1892430278884462,0.10712804983505957
13,id_google_play_review_posneg_nusantara_text,3,ind,0.16235059760956175,0.16235059760956175,0.16235059760956175,0.16235059760956175,0.08117529880478087,0.5,0.13967437874892885,0.026357716544181838,0.16235059760956175,0.045352437721265744
14,id_google_play_review_posneg_nusantara_text,4,ind,0.17515651678998292,0.17515651678998292,0.17515651678998292,0.17515651678998292,0.5482352353019597,0.5051710069290659,0.15679851664249836,0.8078586367767167,0.17515651678998292,0.07278012831080913
15,id_hsd_nofaaulia_nusantara_text,0,ind,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.38461538461538464,0.5,0.4347826086956522,0.591715976331361,0.7692307692307693,0.6688963210702342
16,id_hsd_nofaaulia_nusantara_text,1,ind,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.38461538461538464,0.5,0.4347826086956522,0.591715976331361,0.7692307692307693,0.6688963210702342
17,id_hsd_nofaaulia_nusantara_text,2,ind,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.38461538461538464,0.5,0.4347826086956522,0.591715976331361,0.7692307692307693,0.6688963210702342
18,id_hsd_nofaaulia_nusantara_text,3,ind,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.38461538461538464,0.5,0.4347826086956522,0.591715976331361,0.7692307692307693,0.6688963210702342
19,id_hsd_nofaaulia_nusantara_text,4,ind,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.38461538461538464,0.5,0.4347826086956522,0.591715976331361,0.7692307692307693,0.6688963210702342
20,id_short_answer_grading_nusantara_pairs_score,0,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
21,id_short_answer_grading_nusantara_pairs_score,1,ind,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.028629203916560236,0.16666666666666666,0.048864668483197087,0.029506727408255568,0.17177522349936142,0.050362436099540296
22,id_short_answer_grading_nusantara_pairs_score,2,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
23,id_short_answer_grading_nusantara_pairs_score,3,ind,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.028629203916560236,0.16666666666666666,0.048864668483197087,0.029506727408255568,0.17177522349936142,0.050362436099540296
24,id_short_answer_grading_nusantara_pairs_score,4,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
25,id_stance_nusantara_pairs,0,ind,0.0830860534124629,0.0830860534124629,0.0830860534124629,0.0830860534124629,0.21363436607339048,0.37402190923317685,0.07271574274692173,0.400850695089676,0.0830860534124629,0.12947520727057066
26,id_stance_nusantara_pairs,1,ind,0.21364985163204747,0.21364985163204747,0.21364985163204747,0.21364985163204747,0.23384796106729314,0.4428794992175274,0.15422219843351354,0.43810300156908005,0.21364985163204747,0.28190435107305695
27,id_stance_nusantara_pairs,2,ind,0.11869436201780416,0.11869436201780416,0.11869436201780416,0.11869436201780416,0.24134942329488632,0.3928012519561815,0.09991645781119464,0.4532080575895959,0.11869436201780416,0.18066828793050874
28,id_stance_nusantara_pairs,3,ind,0.24629080118694363,0.24629080118694363,0.24629080118694363,0.24629080118694363,0.2109129196085718,0.460093896713615,0.1638139876593153,0.39387153794327057,0.24629080118694363,0.298631633834839
29,id_stance_nusantara_pairs,4,ind,0.05341246290801187,0.05341246290801187,0.05341246290801187,0.05341246290801187,0.20727182785060602,0.35837245696400627,0.04889025536825877,0.38899045938652077,0.05341246290801187,0.08470144675760878
30,indolem_ntp_nusantara_pairs,0,ind,0.75,0.75,0.75,0.75,0.375,0.5,0.42857142857142855,0.5625,0.75,0.6428571428571429
31,indolem_ntp_nusantara_pairs,1,ind,0.75,0.75,0.75,0.75,0.375,0.5,0.42857142857142855,0.5625,0.75,0.6428571428571429
32,indolem_ntp_nusantara_pairs,2,ind,0.75,0.75,0.75,0.75,0.375,0.5,0.42857142857142855,0.5625,0.75,0.6428571428571429
33,indolem_ntp_nusantara_pairs,3,ind,0.75,0.75,0.75,0.75,0.375,0.5,0.42857142857142855,0.5625,0.75,0.6428571428571429
34,indolem_ntp_nusantara_pairs,4,ind,0.7497354497354497,0.7497354497354497,0.7497354497354497,0.7497354497354497,0.3749669224662609,0.4998236331569665,0.4284850317508316,0.5624503836993914,0.7497354497354497,0.6427275476262473
35,jadi_ide_nusantara_text,0,ind,0.33331312886410475,0.33331312886410475,0.33331312886410475,0.33331312886410475,0.4444242387504799,0.3333939393939394,0.16676512431412685,0.4444377132955762,0.33331312886410475,0.16672473557872033
36,jadi_ide_nusantara_text,1,ind,0.333252515456419,0.333252515456419,0.333252515456419,0.333252515456419,0.11108417181880632,0.3333333333333333,0.16663635812571984,0.11105723905803076,0.333252515456419,0.16659595653567846
37,jadi_ide_nusantara_text,2,ind,0.333252515456419,0.333252515456419,0.333252515456419,0.333252515456419,0.11108417181880632,0.3333333333333333,0.16663635812571984,0.11105723905803076,0.333252515456419,0.16659595653567846
38,jadi_ide_nusantara_text,3,ind,0.33331312886410475,0.33331312886410475,0.33331312886410475,0.33331312886410475,0.2777643064985451,0.3333939393939394,0.16677267907825585,0.2777575749416295,0.33331312886410475,0.1667322885031587
39,jadi_ide_nusantara_text,4,ind,0.333252515456419,0.333252515456419,0.333252515456419,0.333252515456419,0.11108417181880632,0.3333333333333333,0.16663635812571984,0.11105723905803076,0.333252515456419,0.16659595653567846
40,nusax_senti_ace_nusantara_text,0,ind,0.5025,0.5025,0.5025,0.5025,0.6743607512838282,0.5416540420436019,0.4370989426670313,0.7174776107468415,0.5025,0.4293104235028713
41,nusax_senti_ace_nusantara_text,1,ind,0.4725,0.4725,0.4725,0.4725,0.6727675954283848,0.5313794023864146,0.44587455541817406,0.7204463510509393,0.4725,0.44051415579063063
