index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,ind,0.3633572159672467,0.3633572159672467,0.3633572159672466,0.3633572159672467,0.4445655265109534,0.45362949550085435,0.33647575804026914,0.6575524324362234,0.3633572159672467,0.38833114879760516
1,code_mixed_jv_id_jv_nusantara_text,1,ind,0.17707267144319344,0.17707267144319344,0.17707267144319344,0.17707267144319344,0.4612246975800037,0.36672454614904626,0.1551741119492455,0.7067093285888124,0.17707267144319344,0.09465345857389575
2,code_mixed_jv_id_jv_nusantara_text,2,ind,0.22210849539406347,0.22210849539406347,0.2221084953940635,0.22210849539406347,0.45195010021870785,0.40321704951684484,0.2239799518437239,0.689300073772009,0.22210849539406347,0.17778153554530512
3,code_mixed_jv_id_jv_nusantara_text,3,ind,0.34186284544524054,0.34186284544524054,0.34186284544524054,0.34186284544524054,0.448229661914729,0.4701888591472909,0.340223808022641,0.6626521226811839,0.34186284544524054,0.3580611283065498
4,code_mixed_jv_id_jv_nusantara_text,4,ind,0.2047082906857728,0.2047082906857728,0.2047082906857728,0.2047082906857728,0.48299302684872014,0.3858122372096549,0.19149251779302215,0.7251857741200562,0.2047082906857728,0.14601805805667237
5,id_google_play_review_nusantara_text,0,ind,0.22581104154809334,0.22581104154809334,0.22581104154809334,0.22581104154809334,0.24229519379561779,0.2310414610941892,0.13679024492518993,0.6283416531902138,0.22581104154809334,0.26633808379691937
6,id_google_play_review_nusantara_text,1,ind,0.13076266363118952,0.13076266363118952,0.13076266363118952,0.13076266363118952,0.24472937020478006,0.20958139815243987,0.09943808275490447,0.6043929333957745,0.13076266363118952,0.1308365648235063
7,id_google_play_review_nusantara_text,2,ind,0.2215424018212863,0.2215424018212863,0.2215424018212863,0.2215424018212863,0.3025976912294964,0.2042624501287736,0.1145263874834258,0.5964882366090621,0.2215424018212863,0.2535769880615371
8,id_google_play_review_nusantara_text,3,ind,0.09519066590779739,0.09519066590779739,0.09519066590779739,0.09519066590779739,0.2958643648708328,0.19401480954144007,0.06852624069333987,0.5915922172020991,0.09519066590779739,0.05166871293263096
9,id_google_play_review_nusantara_text,4,ind,0.4315594763801935,0.4315594763801935,0.43155947638019354,0.4315594763801935,0.2290753358928576,0.22146182912939144,0.18706427713336563,0.5902374337808137,0.4315594763801935,0.47924617640960465
10,id_google_play_review_posneg_nusantara_text,0,ind,0.29695503699487763,0.29695503699487763,0.29695503699487763,0.29695503699487763,0.5789021234240213,0.5708079880697929,0.2966719416923894,0.845035948442461,0.29695503699487763,0.2871430742767233
11,id_google_play_review_posneg_nusantara_text,1,ind,0.35173591348890154,0.35173591348890154,0.35173591348890154,0.35173591348890154,0.5893601091835761,0.6038604349189907,0.3509663677666334,0.8539693144315642,0.35173591348890154,0.36605836775789236
12,id_google_play_review_posneg_nusantara_text,2,ind,0.19365395560614684,0.19365395560614684,0.19365395560614684,0.19365395560614684,0.5548862879436673,0.5137393299783968,0.18042182444055585,0.817349338965387,0.19365395560614684,0.11009741849218549
13,id_google_play_review_posneg_nusantara_text,3,ind,0.3301081388730791,0.3301081388730791,0.3301081388730791,0.3301081388730791,0.5540632826692538,0.5630415775218559,0.3292729481173,0.8041553091296408,0.3301081388730791,0.34525607443555634
14,id_google_play_review_posneg_nusantara_text,4,ind,0.29311326124075127,0.29311326124075127,0.29311326124075127,0.29311326124075127,0.5841499217801965,0.5724008707967332,0.29259623681364,0.8536114884833194,0.29311326124075127,0.27968151086064114
15,id_hsd_nofaaulia_nusantara_text,0,ind,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.39791666666666664,0.41666666666666663,0.4063373718546132,0.578525641025641,0.6153846153846154,0.5960283891318374
16,id_hsd_nofaaulia_nusantara_text,1,ind,0.5494505494505495,0.5494505494505495,0.5494505494505495,0.5494505494505495,0.5052135054617677,0.5071428571428571,0.48587570621468923,0.6497211824917882,0.5494505494505495,0.5832246849196001
17,id_hsd_nofaaulia_nusantara_text,2,ind,0.4945054945054945,0.4945054945054945,0.4945054945054945,0.4945054945054945,0.4285714285714286,0.40476190476190477,0.40674603174603174,0.5824175824175825,0.4945054945054945,0.5296092796092796
18,id_hsd_nofaaulia_nusantara_text,3,ind,0.7252747252747253,0.7252747252747253,0.7252747252747253,0.7252747252747253,0.4656862745098039,0.48809523809523814,0.45639187574671447,0.6266968325791855,0.7252747252747253,0.6622553074165978
19,id_hsd_nofaaulia_nusantara_text,4,ind,0.4725274725274725,0.4725274725274725,0.4725274725274725,0.4725274725274725,0.4695652173913043,0.45714285714285713,0.42946708463949845,0.6147157190635452,0.4725274725274725,0.5138654448999276
20,id_short_answer_grading_nusantara_pairs_score,0,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
21,id_short_answer_grading_nusantara_pairs_score,1,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
22,id_short_answer_grading_nusantara_pairs_score,2,ind,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.028629203916560236,0.16666666666666666,0.048864668483197087,0.029506727408255568,0.17177522349936142,0.050362436099540296
23,id_short_answer_grading_nusantara_pairs_score,3,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
24,id_short_answer_grading_nusantara_pairs_score,4,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
25,id_stance_nusantara_pairs,0,ind,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.0019782393669634025,0.3333333333333333,0.003933136676499509,3.522087893703388e-05,0.005934718100890208,7.002617228189036e-05
26,id_stance_nusantara_pairs,1,ind,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.0019782393669634025,0.3333333333333333,0.003933136676499509,3.522087893703388e-05,0.005934718100890208,7.002617228189036e-05
27,id_stance_nusantara_pairs,2,ind,0.07418397626112759,0.07418397626112759,0.07418397626112759,0.07418397626112759,0.2759670211126522,0.36932707355242567,0.06791103520967032,0.5192202691338412,0.07418397626112759,0.12071609831578589
28,id_stance_nusantara_pairs,3,ind,0.008902077151335312,0.008902077151335312,0.008902077151335312,0.008902077151335312,0.3353174603174603,0.3348982785602504,0.007060037973050194,0.6320828034477886,0.008902077151335312,0.005977219123622347
29,id_stance_nusantara_pairs,4,ind,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.005934718100890208,0.0019782393669634025,0.3333333333333333,0.003933136676499509,3.522087893703388e-05,0.005934718100890208,7.002617228189036e-05
30,indolem_ntp_nusantara_pairs,0,ind,0.3304232804232804,0.3304232804232804,0.3304232804232804,0.3304232804232804,0.5220144246897014,0.5141093474426808,0.3221741794667914,0.6549466062842447,0.3304232804232804,0.28478616793738026
31,indolem_ntp_nusantara_pairs,1,ind,0.26005291005291004,0.26005291005291004,0.26005291005291004,0.26005291005291004,0.5338709677419355,0.5028218694885361,0.2171400962964197,0.6752688172043011,0.26005291005291004,0.1254957821723895
32,indolem_ntp_nusantara_pairs,2,ind,0.25436507936507935,0.25436507936507935,0.25436507936507935,0.25436507936507935,0.46524094462238796,0.49779541446208114,0.2096080510413755,0.5732798129705347,0.25436507936507935,0.11556604600324286
