index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,ind,0.17707267144319344,0.17707267144319344,0.17707267144319344,0.17707267144319344,0.1167432754511406,0.4033485540334855,0.17464406938091148,0.0504181726178092,0.17707267144319344,0.07575527060524098
1,code_mixed_jv_id_jv_nusantara_text,1,ind,0.14943705220061412,0.14943705220061412,0.14943705220061412,0.14943705220061412,0.04981235073353804,0.3333333333333333,0.08667260314633422,0.02233143257040907,0.14943705220061412,0.03885629496222558
2,code_mixed_jv_id_jv_nusantara_text,2,ind,0.15660184237461616,0.15660184237461616,0.15660184237461616,0.15660184237461616,0.3419421487603305,0.3366858237547892,0.09400161851912302,0.6458758046643038,0.15660184237461616,0.0533369589676314
3,code_mixed_jv_id_jv_nusantara_text,3,ind,0.150460593654043,0.150460593654043,0.150460593654043,0.150460593654043,0.13335046248715313,0.3358024691358024,0.09177858785357774,0.05696776107407684,0.150460593654043,0.040983365505191494
4,code_mixed_jv_id_jv_nusantara_text,4,ind,0.1617195496417605,0.1617195496417605,0.1617195496417605,0.1617195496417605,0.6458271458271457,0.341070668369519,0.10307656799436103,0.7205886868118189,0.1617195496417605,0.06348825547264539
5,id_google_play_review_nusantara_text,0,ind,0.589356858281161,0.589356858281161,0.589356858281161,0.589356858281161,0.345671092631401,0.40744720064846157,0.3430381220922826,0.7180451487920333,0.589356858281161,0.6250245779766911
6,id_google_play_review_nusantara_text,1,ind,0.7565452475811042,0.7565452475811042,0.7565452475811041,0.7565452475811042,0.3739691050010366,0.40302660246099575,0.35133346423159595,0.7210096443497304,0.7565452475811042,0.7237652985144393
7,id_google_play_review_nusantara_text,2,ind,0.6865395560614684,0.6865395560614684,0.6865395560614684,0.6865395560614684,0.3597049532262736,0.414043549928137,0.36534597899009247,0.7185229071657624,0.6865395560614684,0.6915758662828633
8,id_google_play_review_nusantara_text,3,ind,0.5618952760387024,0.5618952760387024,0.5618952760387024,0.5618952760387024,0.31770110046404676,0.392874323554119,0.31395053067628165,0.7139389016243382,0.5618952760387024,0.60008510396935
9,id_google_play_review_nusantara_text,4,ind,0.5859419464997154,0.5859419464997154,0.5859419464997154,0.5859419464997154,0.3422310214691581,0.4032630746091751,0.3335614145308628,0.7203200174252957,0.5859419464997154,0.6208254464594352
10,id_google_play_review_posneg_nusantara_text,0,ind,0.3168753557199772,0.3168753557199772,0.3168753557199772,0.3168753557199772,0.5894893618573701,0.587644503173781,0.3168637241098209,0.858812024873204,0.3168753557199772,0.31496015094423724
11,id_google_play_review_posneg_nusantara_text,1,ind,0.18767785998861697,0.18767785998861697,0.18767785998861697,0.18767785998861697,0.5832846715328467,0.5151180567351792,0.17213435601448993,0.8646920347805858,0.18767785998861697,0.0955305451513467
12,id_google_play_review_posneg_nusantara_text,2,ind,0.17003414911781445,0.17003414911781445,0.17003414911781445,0.17003414911781445,0.5818038428448523,0.5045863767623577,0.14969319897870237,0.8642112079356792,0.17003414911781445,0.06088165402909242
13,id_google_play_review_posneg_nusantara_text,3,ind,0.1797097324985771,0.1797097324985771,0.17970973249857708,0.1797097324985771,0.578528576234441,0.510008534975161,0.1621654065123408,0.8577017668495458,0.1797097324985771,0.08029188524323796
14,id_google_play_review_posneg_nusantara_text,4,ind,0.2628059191804212,0.2628059191804212,0.2628059191804212,0.2628059191804212,0.5821275946275947,0.556076558414558,0.2602513316395859,0.8541126397949108,0.2628059191804212,0.2308952239669366
15,id_hsd_nofaaulia_nusantara_text,0,ind,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4009756097560976,0.3619047619047619,0.3639784946236559,0.551219512195122,0.42857142857142855,0.4731182795698925
16,id_hsd_nofaaulia_nusantara_text,1,ind,0.3626373626373626,0.3626373626373626,0.3626373626373626,0.3626373626373626,0.4259545923632611,0.4023809523809524,0.34935897435897434,0.5608478209097405,0.3626373626373626,0.3994082840236686
17,id_hsd_nofaaulia_nusantara_text,2,ind,0.27472527472527475,0.27472527472527475,0.27472527472527475,0.27472527472527475,0.4014459665144597,0.4119047619047619,0.27393617021276595,0.5143425828357335,0.27472527472527475,0.26104746317512273
18,id_hsd_nofaaulia_nusantara_text,3,ind,0.31868131868131866,0.31868131868131866,0.31868131868131866,0.31868131868131866,0.39863387978142073,0.3738095238095238,0.3119512195121951,0.5250105086170659,0.31868131868131866,0.34859287054409005
19,id_hsd_nofaaulia_nusantara_text,4,ind,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4256038647342995,0.3952380952380952,0.3819226750261233,0.5710144927536231,0.42857142857142855,0.4733542319749216
20,id_short_answer_grading_nusantara_pairs_score,0,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
21,id_short_answer_grading_nusantara_pairs_score,1,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
22,id_short_answer_grading_nusantara_pairs_score,2,ind,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.17177522349936142,0.028629203916560236,0.16666666666666666,0.048864668483197087,0.029506727408255568,0.17177522349936142,0.050362436099540296
23,id_short_answer_grading_nusantara_pairs_score,3,ind,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.0983397190293742,0.016389953171562367,0.16666666666666666,0.029844961240310077,0.009670700338776263,0.0983397190293742,0.017609670616887937
