index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.5953079178885631,0.5953079178885631,0.5953079178885631,0.5953079178885631,0.6091069330199765,0.5958204334365325,0.5828191489361703,0.6092228911303245,0.5953079178885631,0.5826074748861297
1,MAPS,1,eng,0.6070381231671554,0.6070381231671554,0.6070381231671554,0.6070381231671554,0.6173553719008265,0.6074647402820778,0.5987530734106077,0.6174595865345,0.6070381231671554,0.5985839907625149
2,MAPS,2,eng,0.5542521994134897,0.5542521994134897,0.5542521994134897,0.5542521994134897,0.5674116951157682,0.5548847609219126,0.5328430312207081,0.5675012154946952,0.5542521994134897,0.5325497549440946
3,MAPS,3,eng,0.5571847507331378,0.5571847507331378,0.5571847507331378,0.5571847507331378,0.5606060606060606,0.5575163398692811,0.551616639236483,0.5606504932018128,0.5571847507331378,0.5514701099865711
4,haryoaw/COPAL,0,eng,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5118490732568403,0.503437019969278,0.39592468202879616,0.5118685333632274,0.5026833631484794,0.39547038976871246
5,haryoaw/COPAL,1,eng,0.5330948121645797,0.5330948121645797,0.5330948121645797,0.5330948121645797,0.5666826971752557,0.5337237583205325,0.4676481856493897,0.5667681625315169,0.5330948121645797,0.46731427428961836
6,haryoaw/COPAL,2,eng,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116122668579627,0.5116039426523298,0.5115278618000941,0.511613309532548,0.5116279069767442,0.5115403674471753
7,haryoaw/COPAL,3,eng,0.5330948121645797,0.5330948121645797,0.5330948121645797,0.5330948121645797,0.5330900243309002,0.5330773169482848,0.5330410152186785,0.5330904595885075,0.5330948121645797,0.5330499813763288
8,MABL/id,0,eng,0.5429824561403509,0.5429824561403509,0.5429824561403509,0.5429824561403509,0.5431099682347602,0.5429824561403509,0.5426442606451831,0.5431099682347602,0.5429824561403509,0.5426442606451831
9,MABL/id,1,eng,0.525438596491228,0.525438596491228,0.525438596491228,0.525438596491228,0.5254449401051047,0.525438596491228,0.5254090167208021,0.5254449401051048,0.525438596491228,0.5254090167208021
10,MABL/id,2,eng,0.5350877192982456,0.5350877192982456,0.5350877192982456,0.5350877192982456,0.535317735699415,0.5350877192982456,0.5343295177435714,0.535317735699415,0.5350877192982456,0.5343295177435714
11,MABL/id,3,eng,0.5219298245614035,0.5219298245614035,0.5219298245614035,0.5219298245614035,0.5219596312631181,0.5219298245614035,0.5217675434646568,0.521959631263118,0.5219298245614035,0.5217675434646568
12,MABL/jv,0,eng,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5219320444039545,0.5216666666666667,0.5202153180036275,0.5219320444039545,0.5216666666666666,0.5202153180036276
13,MABL/jv,1,eng,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.516858478690883,0.5166666666666666,0.5152879301123194,0.516858478690883,0.5166666666666667,0.5152879301123194
14,MABL/jv,2,eng,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5337169573817659,0.5333333333333333,0.5320021394187913,0.5337169573817658,0.5333333333333333,0.5320021394187912
15,MABL/jv,3,eng,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5184830460059818,0.5183333333333333,0.5173559791911955,0.5184830460059818,0.5183333333333333,0.5173559791911955
16,MABL/su,0,eng,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5272713105812685,0.5233333333333333,0.50548120482761,0.5272713105812685,0.5233333333333333,0.50548120482761
17,MABL/su,1,eng,0.505,0.505,0.505,0.505,0.5061342166605325,0.505,0.4810096720924747,0.5061342166605325,0.505,0.4810096720924747
18,MABL/su,2,eng,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5165343915343916,0.5133333333333333,0.4885806361216197,0.5165343915343915,0.5133333333333333,0.4885806361216197
19,MABL/su,3,eng,0.515,0.515,0.515,0.515,0.5188087774294671,0.515,0.489137590520079,0.5188087774294671,0.515,0.489137590520079
20,IndoStoryCloze,0,eng,0.4590308370044053,0.4590308370044053,0.4590308370044053,0.4590308370044053,0.5,0.22951541850220264,0.3146135265700483,1.0,0.4590308370044053,0.6292270531400966
21,IndoStoryCloze,1,eng,0.44669603524229073,0.44669603524229073,0.44669603524229073,0.44669603524229073,0.5,0.22334801762114537,0.3087697929354446,1.0,0.44669603524229073,0.6175395858708892
22,IndoStoryCloze,2,eng,0.4237885462555066,0.4237885462555066,0.42378854625550655,0.4237885462555066,0.5,0.2118942731277533,0.29764851485148514,1.0,0.4237885462555066,0.5952970297029703
23,IndoStoryCloze,3,eng,0.41145374449339206,0.41145374449339206,0.41145374449339206,0.41145374449339206,0.5,0.20572687224669603,0.2915106117353308,1.0,0.41145374449339206,0.5830212234706617
24,IndoMMLU,0,eng,0.3368266470863093,0.3368266470863093,0.3368266470863093,0.3368266470863093,0.3334320222069828,0.2977656170300592,0.2939033160604683,0.3406131444550169,0.3368266470863093,0.32065700302360156
25,IndoMMLU,1,eng,0.31152793538482076,0.31152793538482076,0.31152793538482076,0.31152793538482076,0.3143088707303546,0.27508111453020456,0.26028501925479725,0.3235530577279341,0.31152793538482076,0.28336399616083985
26,IndoMMLU,2,eng,0.3300180228289166,0.3300180228289166,0.3300180228289166,0.3300180228289166,0.343115134179471,0.28354717066731994,0.2695487382856754,0.3451981074954797,0.3300180228289166,0.30314625666788814
