index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.7771260997067448,0.7771260997067448,0.7771260997067448,0.7771260997067448,0.7916666666666667,0.7767973856209149,0.7741721854304635,0.7914778281347196,0.7771260997067448,0.774247926822163
1,MAPS,1,eng,0.7976539589442815,0.7976539589442815,0.7976539589442815,0.7976539589442815,0.8006709776109026,0.7975060199518405,0.797088575937632,0.8005847770775705,0.7976539589442815,0.7971199861046682
2,MAPS,2,eng,0.7683284457478006,0.7683284457478006,0.7683284457478006,0.7683284457478006,0.7687749758853522,0.7683866529067767,0.7682566992128694,0.7688093243574715,0.7683284457478006,0.7682447414570476
3,MAPS,3,eng,0.7771260997067448,0.7771260997067448,0.7771260997067448,0.7771260997067448,0.7785155979802172,0.7770209838321294,0.776801708695053,0.7784600180492782,0.7771260997067448,0.7768266618497985
4,haryoaw/COPAL,0,eng,0.5635062611806798,0.5635062611806798,0.5635062611806798,0.5635062611806798,0.570023050542531,0.563773681515617,0.5536663263436216,0.5700620732333206,0.5635062611806798,0.5535477729118499
5,haryoaw/COPAL,1,eng,0.592128801431127,0.592128801431127,0.592128801431127,0.592128801431127,0.5945584299732383,0.592268305171531,0.5897009966777408,0.5945863567380901,0.592128801431127,0.5896445361020807
6,haryoaw/COPAL,2,eng,0.5635062611806798,0.5635062611806798,0.5635062611806798,0.5635062611806798,0.5635378228782288,0.5634792626728111,0.5633930857874518,0.5635359663077848,0.5635062611806798,0.5634056608311439
7,haryoaw/COPAL,3,eng,0.5599284436493739,0.5599284436493739,0.5599284436493739,0.5599284436493739,0.5599400599400599,0.5599078341013825,0.5598594254109694,0.5599391663792379,0.5599284436493739,0.5598692851593129
8,MABL/id,0,eng,0.6482456140350877,0.6482456140350877,0.6482456140350877,0.6482456140350877,0.6514570250714597,0.6482456140350877,0.6463710759790859,0.6514570250714597,0.6482456140350877,0.6463710759790858
9,MABL/id,1,eng,0.6394736842105263,0.6394736842105263,0.6394736842105263,0.6394736842105263,0.6419309372797746,0.6394736842105263,0.637906451051991,0.6419309372797745,0.6394736842105263,0.6379064510519908
10,MABL/id,2,eng,0.6517543859649123,0.6517543859649123,0.6517543859649123,0.6517543859649123,0.6553740416158522,0.6517543859649123,0.6497142870411003,0.6553740416158521,0.6517543859649123,0.6497142870411003
11,MABL/id,3,eng,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6361510610479735,0.6333333333333333,0.631426370355703,0.6361510610479735,0.6333333333333333,0.6314263703557031
12,MABL/jv,0,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5268108494570803,0.5266666666666666,0.5260294395798796,0.5268108494570803,0.5266666666666666,0.5260294395798796
13,MABL/jv,1,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5367254273504274,0.5366666666666666,0.5364812591703347,0.5367254273504273,0.5366666666666666,0.5364812591703347
14,MABL/jv,2,eng,0.525,0.525,0.525,0.525,0.5251478132579273,0.525,0.5243009867277194,0.5251478132579273,0.525,0.5243009867277194
15,MABL/jv,3,eng,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5167410714285714,0.5166666666666667,0.5161290322580645,0.5167410714285715,0.5166666666666667,0.5161290322580646
16,MABL/su,0,eng,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5195965719063544,0.5166666666666666,0.49789925666004886,0.5195965719063544,0.5166666666666667,0.49789925666004886
17,MABL/su,1,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5350087178571918,0.5283333333333333,0.5047237916339741,0.5350087178571918,0.5283333333333333,0.504723791633974
18,MABL/su,2,eng,0.53,0.53,0.53,0.53,0.5350631136044881,0.53,0.512397551613238,0.535063113604488,0.53,0.512397551613238
19,MABL/su,3,eng,0.525,0.525,0.525,0.525,0.5304585019831869,0.525,0.502720496930535,0.5304585019831869,0.525,0.5027204969305349
20,IndoStoryCloze,0,eng,0.5039647577092511,0.5039647577092511,0.5039647577092511,0.5039647577092511,0.5,0.25198237885462554,0.3350908025776215,1.0,0.5039647577092511,0.670181605155243
21,IndoStoryCloze,1,eng,0.5251101321585903,0.5251101321585903,0.5251101321585903,0.5251101321585903,0.5,0.26255506607929513,0.34430964760254185,1.0,0.5251101321585903,0.6886192952050837
22,IndoStoryCloze,2,eng,0.4960352422907489,0.4960352422907489,0.4960352422907489,0.4960352422907489,0.5,0.24801762114537446,0.33156654888103654,1.0,0.4960352422907489,0.6631330977620731
23,IndoStoryCloze,3,eng,0.4907488986784141,0.4907488986784141,0.4907488986784141,0.4907488986784141,0.5,0.24537444933920705,0.32919621749408984,1.0,0.4907488986784141,0.6583924349881797
24,IndoMMLU,0,eng,0.44336159134904213,0.44336159134904213,0.44336159134904213,0.44336159134904213,0.4343801798977179,0.4211126962414222,0.42495630210114366,0.44440843919896716,0.44336159134904213,0.4417722830230295
25,IndoMMLU,1,eng,0.4515719911888392,0.4515719911888392,0.4515719911888392,0.4515719911888392,0.4390803937511974,0.4311502857411626,0.4334722153855822,0.45164361769422084,0.4515719911888392,0.4503736394635693
26,IndoMMLU,2,eng,0.4416928108937988,0.4416928108937988,0.4416928108937988,0.4416928108937988,0.43161076902487705,0.4204889006657203,0.4239955401638804,0.44113445489313,0.4416928108937988,0.44004728305359037
