index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.6422287390029325,0.6422287390029325,0.6422287390029325,0.6422287390029325,0.6653352067442794,0.6416752665978672,0.6287392018276576,0.6651560868393077,0.6422287390029325,0.6289467331688157
1,MAPS,1,eng,0.6187683284457478,0.6187683284457478,0.6187683284457478,0.6187683284457478,0.6262470657276995,0.6184038527691779,0.612608361297539,0.6261590805832059,0.6187683284457478,0.6127516163474974
2,MAPS,2,eng,0.5689149560117303,0.5689149560117303,0.5689149560117303,0.5689149560117303,0.578614362543499,0.5683866529067767,0.554177005789909,0.5785355055798259,0.5689149560117303,0.5544147146644545
3,MAPS,3,eng,0.5689149560117303,0.5689149560117303,0.5689149560117303,0.5689149560117303,0.577888758323541,0.5684038527691778,0.5551423931275016,0.5778133482200803,0.5689149560117303,0.5553719358422388
4,haryoaw/COPAL,0,eng,0.5313059033989267,0.5313059033989267,0.5313059033989267,0.5313059033989267,0.5496864014062001,0.531842037890425,0.48537555518074993,0.5497412685644307,0.5313059033989267,0.48510052315549146
5,haryoaw/COPAL,1,eng,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5871339373579015,0.5657386072708653,0.537082917287186,0.5872127776734668,0.5652951699463328,0.5368784806737139
6,haryoaw/COPAL,2,eng,0.629695885509839,0.629695885509839,0.629695885509839,0.629695885509839,0.6297050238131818,0.6296850998463901,0.6296769238154674,0.6297037183412757,0.629695885509839,0.6296816642390602
7,haryoaw/COPAL,3,eng,0.6332737030411449,0.6332737030411449,0.6332737030411449,0.6332737030411449,0.6332834024683771,0.633262928827445,0.6332549245515499,0.6332820168359155,0.6332737030411449,0.6332596191739486
8,MABL/id,0,eng,0.6228070175438597,0.6228070175438597,0.6228070175438597,0.6228070175438597,0.6249123422159888,0.6228070175438596,0.6212109504189707,0.6249123422159888,0.6228070175438597,0.6212109504189707
9,MABL/id,1,eng,0.6394736842105263,0.6394736842105263,0.6394736842105263,0.6394736842105263,0.641799474921066,0.6394736842105263,0.6379892619088274,0.641799474921066,0.6394736842105263,0.6379892619088274
10,MABL/id,2,eng,0.6350877192982456,0.6350877192982456,0.6350877192982456,0.6350877192982456,0.639926800652928,0.6350877192982456,0.6319052690078271,0.6399268006529278,0.6350877192982456,0.631905269007827
11,MABL/id,3,eng,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.619193990144995,0.6166666666666667,0.614623840904889,0.619193990144995,0.6166666666666667,0.614623840904889
12,MABL/jv,0,eng,0.52,0.52,0.52,0.52,0.5203619909502263,0.52,0.5178571428571428,0.5203619909502263,0.52,0.5178571428571428
13,MABL/jv,1,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5269010043041606,0.5266666666666666,0.5256336020667232,0.5269010043041606,0.5266666666666666,0.5256336020667232
14,MABL/jv,2,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5293187697614257,0.5283333333333333,0.5243364381259192,0.5293187697614257,0.5283333333333333,0.5243364381259192
15,MABL/jv,3,eng,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5237998096015233,0.5233333333333333,0.5209861655445014,0.5237998096015233,0.5233333333333333,0.5209861655445014
16,MABL/su,0,eng,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5218951949999338,0.5183333333333333,0.49791376509660956,0.5218951949999336,0.5183333333333333,0.4979137650966096
17,MABL/su,1,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5349426358394969,0.5266666666666666,0.4968761441343553,0.5349426358394969,0.5266666666666666,0.4968761441343554
18,MABL/su,2,eng,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5420360182303574,0.5316666666666667,0.5008866219260566,0.5420360182303574,0.5316666666666666,0.5008866219260566
19,MABL/su,3,eng,0.52,0.52,0.52,0.52,0.5251734168717834,0.52,0.4940029985007497,0.5251734168717834,0.52,0.4940029985007497
20,IndoStoryCloze,0,eng,0.5348017621145374,0.5348017621145374,0.5348017621145374,0.5348017621145374,0.5,0.2674008810572687,0.3484500574052813,1.0,0.5348017621145374,0.6969001148105626
21,IndoStoryCloze,1,eng,0.5700440528634361,0.5700440528634361,0.5700440528634361,0.5700440528634361,0.5,0.28502202643171803,0.3630751964085297,1.0,0.5700440528634361,0.7261503928170594
22,IndoStoryCloze,2,eng,0.518942731277533,0.518942731277533,0.518942731277533,0.518942731277533,0.5,0.2594713656387665,0.3416473317865429,1.0,0.518942731277533,0.6832946635730858
23,IndoStoryCloze,3,eng,0.5039647577092511,0.5039647577092511,0.5039647577092511,0.5039647577092511,0.5,0.25198237885462554,0.3350908025776215,1.0,0.5039647577092511,0.670181605155243
