index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5047472527472527,0.5037151702786378,0.4755326216543352,0.5047450613902227,0.5043988269794721,0.4758934492208994
1,MAPS,1,eng,0.46920821114369504,0.46920821114369504,0.46920821114369504,0.46920821114369504,0.4688971199113819,0.4690918472652219,0.4683120127492786,0.468908641808875,0.46920821114369504,0.4683760269203083
2,MAPS,2,eng,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.4964788732394366,0.49767801857585137,0.45135066474722674,0.49648919912436495,0.49853372434017595,0.45182249534315616
3,MAPS,3,eng,0.4868035190615836,0.4868035190615836,0.48680351906158353,0.4868035190615836,0.48684392265193366,0.4868937048503612,0.4863617975400452,0.4868458466324265,0.4868035190615836,0.4863176253878913
4,haryoaw/COPAL,0,eng,0.4847942754919499,0.4847942754919499,0.4847942754919499,0.4847942754919499,0.4750980392156863,0.48536866359447,0.4259306803594351,0.4750710302009892,0.4847942754919499,0.42560183345925345
5,haryoaw/COPAL,1,eng,0.5134168157423972,0.5134168157423972,0.5134168157423972,0.5134168157423972,0.5154443771800858,0.5137160778289811,0.49956554938255354,0.5154552197546189,0.5134168157423972,0.4994166110345983
6,haryoaw/COPAL,2,eng,0.6189624329159212,0.6189624329159212,0.6189624329159212,0.6189624329159212,0.6189909079267513,0.6189452124935996,0.6189185296612203,0.618988319289403,0.6189624329159212,0.6189258468703371
7,haryoaw/COPAL,3,eng,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6154876329616814,0.6153545826932924,0.6152614915759922,0.6154822109839411,0.6153846153846154,0.6152738039568545
8,MABL/id,0,eng,0.6754385964912281,0.6754385964912281,0.6754385964912281,0.6754385964912281,0.6789638932496076,0.6754385964912281,0.6738323538509124,0.6789638932496075,0.6754385964912281,0.6738323538509124
9,MABL/id,1,eng,0.6394736842105263,0.6394736842105263,0.6394736842105263,0.6394736842105263,0.6434586466165414,0.6394736842105263,0.6369525211630476,0.6434586466165414,0.6394736842105263,0.6369525211630475
10,MABL/id,2,eng,0.6508771929824562,0.6508771929824562,0.6508771929824562,0.6508771929824562,0.6554729524002841,0.6508771929824562,0.6482779791565245,0.6554729524002841,0.6508771929824562,0.6482779791565244
11,MABL/id,3,eng,0.6307017543859649,0.6307017543859649,0.6307017543859649,0.6307017543859649,0.6338192612760809,0.6307017543859649,0.6285383245448446,0.6338192612760809,0.6307017543859649,0.6285383245448445
12,MABL/jv,0,eng,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5418344693715905,0.5416666666666667,0.5412065988393918,0.5418344693715905,0.5416666666666666,0.5412065988393918
13,MABL/jv,1,eng,0.53,0.53,0.53,0.53,0.5301932367149759,0.53,0.5292467948717949,0.5301932367149759,0.53,0.5292467948717948
14,MABL/jv,2,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5285008550256507,0.5283333333333333,0.5276392254173494,0.5285008550256507,0.5283333333333333,0.5276392254173493
15,MABL/jv,3,eng,0.53,0.53,0.53,0.53,0.5301339285714286,0.53,0.5294771968854284,0.5301339285714285,0.53,0.5294771968854284
16,MABL/su,0,eng,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5212412621171745,0.5183333333333333,0.5012640970550422,0.5212412621171745,0.5183333333333333,0.5012640970550423
17,MABL/su,1,eng,0.515,0.515,0.515,0.515,0.5186693587421001,0.515,0.48993751296335786,0.5186693587421002,0.515,0.4899375129633578
18,MABL/su,2,eng,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5144153544117849,0.5116666666666667,0.4872228655433017,0.5144153544117849,0.5116666666666667,0.4872228655433017
19,MABL/su,3,eng,0.51,0.51,0.51,0.51,0.5116877045348294,0.51,0.4916485112563544,0.5116877045348294,0.51,0.4916485112563544
20,IndoStoryCloze,0,eng,0.5506607929515418,0.5506607929515418,0.5506607929515418,0.5506607929515418,0.5,0.2753303964757709,0.3551136363636363,1.0,0.5506607929515418,0.7102272727272726
21,IndoStoryCloze,1,eng,0.5524229074889868,0.5524229074889868,0.5524229074889868,0.5524229074889868,0.5,0.2762114537444934,0.3558456299659478,1.0,0.5524229074889868,0.7116912599318956
22,IndoStoryCloze,2,eng,0.4986784140969163,0.4986784140969163,0.4986784140969163,0.4986784140969163,0.5,0.24933920704845816,0.33274544385655497,1.0,0.4986784140969163,0.6654908877131099
23,IndoStoryCloze,3,eng,0.48722466960352423,0.48722466960352423,0.48722466960352423,0.48722466960352423,0.5,0.24361233480176211,0.32760663507109006,1.0,0.48722466960352423,0.6552132701421801
24,IndoMMLU,0,eng,0.2533208731059342,0.2533208731059342,0.2533208731059342,0.2533208731059342,0.24040898061609256,0.23781622293668234,0.23515795232422193,0.2531456249592331,0.2533208731059342,0.2487130632544462
25,IndoMMLU,1,eng,0.24978305854081836,0.24978305854081836,0.24978305854081836,0.24978305854081836,0.23608830121230526,0.23223281552061376,0.22450735936529628,0.24530124039457166,0.24978305854081836,0.2372528746381229
26,IndoMMLU,2,eng,0.2469795073760096,0.2469795073760096,0.2469795073760096,0.2469795073760096,0.23099041939102505,0.21629991332082507,0.20171267789519126,0.2408848369206474,0.2469795073760096,0.22174737739896683
