index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.4780058651026393,0.4780058651026393,0.4780058651026393,0.4780058651026393,0.46324678446928713,0.47896456828345374,0.41614082339361297,0.46318060025120034,0.4780058651026393,0.4155834806755136
1,MAPS,1,eng,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49922600619195046,0.49984520123839005,0.3741910557326379,0.49922827596851366,0.49853372434017595,0.3733730118602199
2,MAPS,2,eng,0.4868035190615836,0.4868035190615836,0.48680351906158353,0.4868035190615836,0.44610591900311525,0.48809769521843827,0.36367707744639105,0.44597071102949903,0.4868035190615836,0.3628562345022898
3,MAPS,3,eng,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.4757575757575757,0.4969728242174063,0.3554725274725275,0.47569537012352253,0.49560117302052786,0.35459121523637654
4,haryoaw/COPAL,0,eng,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4775965553235908,0.489010496671787,0.41412342421577253,0.4775695489634412,0.4883720930232558,0.4137503153272927
5,haryoaw/COPAL,1,eng,0.4919499105545617,0.4919499105545617,0.4919499105545617,0.4919499105545617,0.4892872679814385,0.4924347158218126,0.45196078431372544,0.4892784803821873,0.4919499105545617,0.4516959556631239
6,haryoaw/COPAL,2,eng,0.631484794275492,0.631484794275492,0.631484794275492,0.631484794275492,0.6315044814340589,0.6314708141321044,0.6314553089074941,0.631502293971996,0.631484794275492,0.6314612059810937
7,haryoaw/COPAL,3,eng,0.5849731663685152,0.5849731663685152,0.5849731663685152,0.5849731663685152,0.5849718381976446,0.5849718381976446,0.5849718381976446,0.5849731663685152,0.5849731663685152,0.5849731663685152
8,MABL/id,0,eng,0.6271929824561403,0.6271929824561403,0.6271929824561403,0.6271929824561403,0.62968408235763,0.6271929824561403,0.6253940321287438,0.62968408235763,0.6271929824561403,0.6253940321287437
9,MABL/id,1,eng,0.6175438596491228,0.6175438596491228,0.6175438596491228,0.6175438596491228,0.6196713503215051,0.6175438596491228,0.6158364661654137,0.6196713503215051,0.6175438596491228,0.6158364661654137
10,MABL/id,2,eng,0.6192982456140351,0.6192982456140351,0.6192982456140351,0.6192982456140351,0.6232448107448108,0.619298245614035,0.6162259268567385,0.6232448107448108,0.6192982456140351,0.6162259268567386
11,MABL/id,3,eng,0.6087719298245614,0.6087719298245614,0.6087719298245614,0.6087719298245614,0.6107406525363182,0.6087719298245614,0.6070253759398496,0.6107406525363182,0.6087719298245614,0.6070253759398497
12,MABL/jv,0,eng,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5335480407944176,0.5333333333333333,0.5325854700854702,0.5335480407944176,0.5333333333333333,0.5325854700854702
13,MABL/jv,1,eng,0.515,0.515,0.515,0.515,0.515161895349229,0.515,0.5137018541161266,0.5151618953492291,0.515,0.5137018541161266
14,MABL/jv,2,eng,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333466720021343,0.5333333333333333,0.5332866619995333,0.5333466720021343,0.5333333333333333,0.5332866619995333
15,MABL/jv,3,eng,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233842590530489,0.5233333333333333,0.5230736734444308,0.5233842590530488,0.5233333333333333,0.5230736734444308
16,MABL/su,0,eng,0.53,0.53,0.53,0.53,0.5348585003098534,0.53,0.5130318659053232,0.5348585003098534,0.53,0.5130318659053232
17,MABL/su,1,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5315473999684526,0.5266666666666667,0.5076226031276367,0.5315473999684525,0.5266666666666666,0.5076226031276366
18,MABL/su,2,eng,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5260447970509277,0.5216666666666667,0.5006828640274189,0.5260447970509277,0.5216666666666666,0.5006828640274189
19,MABL/su,3,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5311672120928783,0.5266666666666666,0.5089393782204239,0.5311672120928783,0.5266666666666666,0.5089393782204239
20,IndoStoryCloze,0,eng,0.5198237885462555,0.5198237885462555,0.5198237885462555,0.5198237885462555,0.5,0.2599118942731278,0.3420289855072464,1.0,0.5198237885462555,0.6840579710144928
21,IndoStoryCloze,1,eng,0.5110132158590308,0.5110132158590308,0.5110132158590308,0.5110132158590308,0.5,0.2555066079295154,0.33819241982507287,1.0,0.5110132158590308,0.6763848396501457
22,IndoStoryCloze,2,eng,0.4555066079295154,0.4555066079295154,0.4555066079295154,0.4555066079295154,0.5,0.2277533039647577,0.312953995157385,1.0,0.4555066079295154,0.62590799031477
23,IndoStoryCloze,3,eng,0.43788546255506605,0.43788546255506605,0.43788546255506605,0.43788546255506605,0.5,0.21894273127753303,0.30453431372549017,1.0,0.43788546255506605,0.6090686274509803
24,IndoMMLU,0,eng,0.24651224884854148,0.24651224884854148,0.24651224884854148,0.24651224884854148,0.22703068433944412,0.20700599397969416,0.15100412527394605,0.23689179648635708,0.24651224884854148,0.17284781849184727
25,IndoMMLU,1,eng,0.2467792537213804,0.2467792537213804,0.2467792537213804,0.2467792537213804,0.23195030443046347,0.2166138629067426,0.20073523571713384,0.24206501519829096,0.2467792537213804,0.22016298898327755
26,IndoMMLU,2,eng,0.2504505707229157,0.2504505707229157,0.2504505707229157,0.2504505707229157,0.23965181214629405,0.217068369897334,0.19168447567670094,0.2480578534649727,0.2504505707229157,0.21134967002388724
