index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.6217008797653959,0.6217008797653959,0.6217008797653959,0.6217008797653959,0.641213638531235,0.6222394220846234,0.608767576509512,0.6413697406013619,0.6217008797653959,0.6085589748440945
1,MAPS,1,eng,0.6158357771260997,0.6158357771260997,0.6158357771260997,0.6158357771260997,0.6306708400958343,0.6163226694186447,0.6051880330549295,0.6308021238389293,0.6158357771260997,0.6049978947679443
2,MAPS,2,eng,0.5982404692082112,0.5982404692082112,0.5982404692082112,0.5982404692082112,0.6109050158435737,0.5987272101823184,0.5871050422024835,0.6110170914775149,0.5982404692082112,0.586906195291667
3,MAPS,3,eng,0.6158357771260997,0.6158357771260997,0.6158357771260997,0.6158357771260997,0.6318621334996881,0.6163398692810458,0.6043908357466103,0.6319991109045906,0.6158357771260997,0.6041935091711018
4,haryoaw/COPAL,0,eng,0.5509838998211091,0.5509838998211091,0.5509838998211091,0.5509838998211091,0.5513889246785374,0.5510560675883256,0.5502873425064985,0.5513979252309247,0.5509838998211091,0.5502556808103799
5,haryoaw/COPAL,1,eng,0.5778175313059034,0.5778175313059034,0.5778175313059034,0.5778175313059034,0.5781800190197137,0.577873783922171,0.5774267117671176,0.5781903758115368,0.5778175313059034,0.577403722382483
6,haryoaw/COPAL,2,eng,0.590339892665474,0.590339892665474,0.590339892665474,0.590339892665474,0.59034178187404,0.59034178187404,0.590339892665474,0.5903436710826058,0.590339892665474,0.590339892665474
7,haryoaw/COPAL,3,eng,0.6010733452593918,0.6010733452593918,0.6010733452593918,0.6010733452593918,0.6012663912340579,0.6010304659498208,0.600822966200746,0.6012592413831442,0.6010733452593918,0.6008408504192208
8,MABL/id,0,eng,0.5815789473684211,0.5815789473684211,0.5815789473684211,0.5815789473684211,0.5825240753598461,0.581578947368421,0.5803774889476564,0.5825240753598461,0.5815789473684211,0.5803774889476564
9,MABL/id,1,eng,0.6017543859649123,0.6017543859649123,0.6017543859649123,0.6017543859649123,0.6032234697573343,0.6017543859649123,0.6003323613719482,0.6032234697573343,0.6017543859649123,0.6003323613719482
10,MABL/id,2,eng,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6187221047686164,0.6166666666666667,0.6150002898046716,0.6187221047686163,0.6166666666666667,0.6150002898046717
11,MABL/id,3,eng,0.6157894736842106,0.6157894736842106,0.6157894736842106,0.6157894736842106,0.6175625,0.6157894736842104,0.6143353672665482,0.6175625,0.6157894736842106,0.6143353672665482
12,MABL/jv,0,eng,0.54,0.54,0.54,0.54,0.5400444938820912,0.54,0.539872186718533,0.5400444938820912,0.54,0.539872186718533
13,MABL/jv,1,eng,0.515,0.515,0.515,0.515,0.5150135121609448,0.515,0.5148908504413493,0.5150135121609448,0.515,0.5148908504413492
14,MABL/jv,2,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283487676623939,0.5283333333333333,0.5282691255198624,0.528348767662394,0.5283333333333333,0.5282691255198624
15,MABL/jv,3,eng,0.54,0.54,0.54,0.54,0.5400444938820912,0.54,0.539872186718533,0.5400444938820912,0.54,0.539872186718533
16,MABL/su,0,eng,0.52,0.52,0.52,0.52,0.5244512062595088,0.52,0.49711305643509024,0.5244512062595087,0.52,0.49711305643509024
17,MABL/su,1,eng,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5258761395453762,0.5216666666666667,0.5013884103208546,0.5258761395453762,0.5216666666666666,0.5013884103208546
18,MABL/su,2,eng,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5572720864661653,0.5433333333333333,0.5137475746533529,0.5572720864661654,0.5433333333333333,0.5137475746533529
19,MABL/su,3,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5451436388508892,0.5366666666666666,0.5138443602448266,0.5451436388508891,0.5366666666666666,0.5138443602448266
20,IndoStoryCloze,0,eng,0.4185022026431718,0.4185022026431718,0.4185022026431718,0.4185022026431718,0.5,0.2092511013215859,0.2950310559006211,1.0,0.4185022026431718,0.5900621118012422
21,IndoStoryCloze,1,eng,0.4748898678414097,0.4748898678414097,0.4748898678414097,0.4748898678414097,0.5,0.23744493392070484,0.3219832735961768,1.0,0.4748898678414097,0.6439665471923536
22,IndoStoryCloze,2,eng,0.44493392070484583,0.44493392070484583,0.44493392070484583,0.44493392070484583,0.5,0.22246696035242292,0.3079268292682927,1.0,0.44493392070484583,0.6158536585365854
23,IndoStoryCloze,3,eng,0.452863436123348,0.452863436123348,0.452863436123348,0.452863436123348,0.5,0.226431718061674,0.3117040630685264,1.0,0.452863436123348,0.6234081261370528
24,IndoMMLU,0,eng,0.3369601495227288,0.3369601495227288,0.3369601495227288,0.3369601495227288,0.3287281566860808,0.3257089395920147,0.31522669222582733,0.3471041632488222,0.3369601495227288,0.3293022849896813
25,IndoMMLU,1,eng,0.349375876109739,0.349375876109739,0.349375876109739,0.349375876109739,0.3497591124681317,0.3279372677219472,0.32037178899777186,0.36581042113046947,0.349375876109739,0.33622135930774955
26,IndoMMLU,2,eng,0.34924237367331956,0.34924237367331956,0.34924237367331956,0.34924237367331956,0.34195070707903075,0.3330896923189444,0.32442779891242074,0.3606005254617119,0.34924237367331956,0.34037767534027524
