index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.4887291336663824,0.4936360509115927,0.4313215149850102,0.48871162483067343,0.49266862170087977,0.4307737729607614
1,MAPS,1,eng,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5095040818813208,0.5053663570691435,0.44447015047668625,0.5095267719031068,0.5043988269794721,0.44393507300791135
2,MAPS,2,eng,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5140807962529275,0.5082731338149296,0.4512643678160919,0.5141116155129904,0.5073313782991202,0.45074999157312834
3,MAPS,3,eng,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.46715465465465467,0.4849501203990368,0.40375139087585443,0.4670880557977332,0.4838709677419355,0.40311043426092574
4,haryoaw/COPAL,0,eng,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5269230769230768,0.5227150537634409,0.5031210362839194,0.5269437181780653,0.5223613595706619,0.5029461242540398
5,haryoaw/COPAL,1,eng,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5249084249084249,0.5226318484383001,0.5113268396496685,0.5249234963009561,0.5223613595706619,0.5111954763172758
6,haryoaw/COPAL,2,eng,0.556350626118068,0.556350626118068,0.556350626118068,0.556350626118068,0.5563706662569775,0.5563620071684587,0.5563378478711691,0.5563735291339645,0.556350626118068,0.5563335884555363
7,haryoaw/COPAL,3,eng,0.5241502683363148,0.5241502683363148,0.5241502683363148,0.5241502683363148,0.5242500449074905,0.5241935483870968,0.5238927738927739,0.5242537403360527,0.5241502683363148,0.5238729666278861
8,MABL/id,0,eng,0.5482456140350878,0.5482456140350878,0.5482456140350878,0.5482456140350878,0.5493428818761312,0.5482456140350878,0.5457200889834608,0.5493428818761312,0.5482456140350878,0.5457200889834607
9,MABL/id,1,eng,0.5184210526315789,0.5184210526315789,0.5184210526315789,0.5184210526315789,0.5185817051702779,0.5184210526315789,0.5173778966695481,0.518581705170278,0.5184210526315789,0.5173778966695481
10,MABL/id,2,eng,0.5508771929824562,0.5508771929824562,0.5508771929824562,0.5508771929824562,0.5518995290423863,0.5508771929824562,0.5486545004639654,0.5518995290423861,0.5508771929824562,0.5486545004639654
11,MABL/id,3,eng,0.531578947368421,0.531578947368421,0.531578947368421,0.531578947368421,0.5320909807454115,0.531578947368421,0.5297029702970297,0.5320909807454116,0.531578947368421,0.5297029702970297
12,MABL/jv,0,eng,0.535,0.535,0.535,0.535,0.5350003888932099,0.5349999999999999,0.5349987083297453,0.5350003888932099,0.535,0.5349987083297453
13,MABL/jv,1,eng,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083356487913309,0.5083333333333333,0.5082991874435725,0.508335648791331,0.5083333333333333,0.5082991874435726
14,MABL/jv,2,eng,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083378728418806,0.5083333333333333,0.508266402927065,0.5083378728418806,0.5083333333333333,0.508266402927065
15,MABL/jv,3,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283588563040069,0.5283333333333333,0.5282271844498345,0.5283588563040069,0.5283333333333333,0.5282271844498346
16,MABL/su,0,eng,0.52,0.52,0.52,0.52,0.5227318650232371,0.52,0.5051319648093842,0.5227318650232371,0.52,0.5051319648093843
17,MABL/su,1,eng,0.53,0.53,0.53,0.53,0.533921302578019,0.53,0.5160127690248172,0.533921302578019,0.53,0.5160127690248172
18,MABL/su,2,eng,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5252489285390582,0.5216666666666666,0.5040765369451461,0.5252489285390582,0.5216666666666666,0.504076536945146
19,MABL/su,3,eng,0.52,0.52,0.52,0.52,0.5227318650232371,0.52,0.5051319648093842,0.5227318650232371,0.52,0.5051319648093843
20,IndoStoryCloze,0,eng,0.3903083700440529,0.3903083700440529,0.3903083700440529,0.3903083700440529,0.5,0.19515418502202644,0.2807351077313055,1.0,0.3903083700440529,0.561470215462611
21,IndoStoryCloze,1,eng,0.40440528634361234,0.40440528634361234,0.40440528634361234,0.40440528634361234,0.5,0.20220264317180617,0.28795483061480553,1.0,0.40440528634361234,0.5759096612296111
22,IndoStoryCloze,2,eng,0.38678414096916297,0.38678414096916297,0.38678414096916297,0.38678414096916297,0.5,0.19339207048458149,0.2789072426937738,1.0,0.38678414096916297,0.5578144853875476
23,IndoStoryCloze,3,eng,0.38061674008810575,0.38061674008810575,0.3806167400881057,0.38061674008810575,0.5,0.19030837004405288,0.27568602425015953,1.0,0.38061674008810575,0.5513720485003191
24,IndoMMLU,0,eng,0.2174087177090982,0.2174087177090982,0.21740871770909817,0.2174087177090982,0.22862579729299065,0.2789911004509683,0.1919432452973709,0.24087227555027088,0.2174087177090982,0.17592910340749757
25,IndoMMLU,1,eng,0.2170082103998398,0.2170082103998398,0.2170082103998398,0.2170082103998398,0.22308451900508947,0.26726561707595503,0.1906591957669103,0.23561574832921178,0.2170082103998398,0.17783654952696398
26,IndoMMLU,2,eng,0.21547293238101595,0.21547293238101595,0.21547293238101595,0.21547293238101595,0.22975577037640432,0.27185581787435364,0.18953749482372856,0.24396389104977967,0.21547293238101595,0.17605088499557314
