index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.7214076246334311,0.7214076246334311,0.721407624633431,0.7214076246334311,0.7217858619264159,0.7214654282765738,0.7213213471547164,0.7218149571027993,0.7214076246334311,0.7213069675749305
1,MAPS,1,eng,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7273431048720066,0.727296181630547,0.7272633452875461,0.7273571803918625,0.7272727272727273,0.7272586542949555
2,MAPS,2,eng,0.7038123167155426,0.7038123167155426,0.7038123167155426,0.7038123167155426,0.7190185185185185,0.703422772617819,0.6983226032496825,0.7188514173998046,0.7038123167155426,0.6984419448467665
3,MAPS,3,eng,0.6862170087976539,0.6862170087976539,0.6862170087976539,0.6862170087976539,0.6869686916856728,0.6861197110423116,0.6858279445826911,0.6869360098209764,0.6862170087976539,0.6858603666006047
4,haryoaw/COPAL,0,eng,0.5867620751341681,0.5867620751341681,0.5867620751341681,0.5867620751341681,0.588565724575276,0.5868855606758833,0.5848436038156233,0.5885891485939916,0.5867620751341681,0.5847931177282931
5,haryoaw/COPAL,1,eng,0.6350626118067979,0.6350626118067979,0.6350626118067979,0.6350626118067979,0.636808367071525,0.6349590373783922,0.6337863528928168,0.6367815092982215,0.6350626118067979,0.6338250274053617
6,haryoaw/COPAL,2,eng,0.6368515205724508,0.6368515205724508,0.6368515205724508,0.6368515205724508,0.6369014084507043,0.6368663594470045,0.6368329252876321,0.636906951548288,0.6368515205724508,0.6368282764664276
7,haryoaw/COPAL,3,eng,0.6207513416815742,0.6207513416815742,0.6207513416815742,0.6207513416815742,0.6207530020226848,0.6207437275985663,0.6207404183414835,0.6207526699544627,0.6207513416815742,0.620744059454847
8,MABL/id,0,eng,0.6280701754385964,0.6280701754385964,0.6280701754385964,0.6280701754385964,0.628527478501532,0.6280701754385964,0.6277390476601223,0.628527478501532,0.6280701754385964,0.6277390476601225
9,MABL/id,1,eng,0.6403508771929824,0.6403508771929824,0.6403508771929824,0.6403508771929824,0.642626581090718,0.6403508771929824,0.6389105202655097,0.642626581090718,0.6403508771929824,0.6389105202655098
10,MABL/id,2,eng,0.6368421052631579,0.6368421052631579,0.6368421052631579,0.6368421052631579,0.6382737858280254,0.6368421052631579,0.6358996355601912,0.6382737858280254,0.6368421052631579,0.6358996355601912
11,MABL/id,3,eng,0.6394736842105263,0.6394736842105263,0.6394736842105263,0.6394736842105263,0.6405120636032979,0.6394736842105263,0.6388063820585739,0.6405120636032979,0.6394736842105263,0.6388063820585738
12,MABL/jv,0,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5368303571428572,0.5366666666666666,0.5361512791991101,0.5368303571428571,0.5366666666666666,0.5361512791991101
13,MABL/jv,1,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5271014950991464,0.5266666666666666,0.524760427938732,0.5271014950991463,0.5266666666666666,0.524760427938732
14,MABL/jv,2,eng,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5168350168350169,0.5166666666666666,0.5154553049289892,0.5168350168350168,0.5166666666666667,0.5154553049289892
15,MABL/jv,3,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5285008550256507,0.5283333333333333,0.5276392254173494,0.5285008550256507,0.5283333333333333,0.5276392254173493
16,MABL/su,0,eng,0.525,0.525,0.525,0.525,0.528340743913038,0.525,0.5105769753657077,0.5283407439130379,0.525,0.5105769753657077
17,MABL/su,1,eng,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5138451192658131,0.5116666666666667,0.49167097984900493,0.5138451192658131,0.5116666666666667,0.49167097984900493
18,MABL/su,2,eng,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5622222222222222,0.5466666666666666,0.5164444444444445,0.5622222222222222,0.5466666666666666,0.5164444444444445
19,MABL/su,3,eng,0.54,0.54,0.54,0.54,0.5511363636363635,0.54,0.5135135135135135,0.5511363636363635,0.54,0.5135135135135135
20,IndoStoryCloze,0,eng,0.46784140969162996,0.46784140969162996,0.46784140969162996,0.46784140969162996,0.5,0.23392070484581498,0.3187274909963986,1.0,0.46784140969162996,0.6374549819927972
21,IndoStoryCloze,1,eng,0.4986784140969163,0.4986784140969163,0.4986784140969163,0.4986784140969163,0.5,0.24933920704845816,0.33274544385655497,1.0,0.4986784140969163,0.6654908877131099
22,IndoStoryCloze,2,eng,0.4819383259911894,0.4819383259911894,0.4819383259911894,0.4819383259911894,0.5,0.2409691629955947,0.32520808561236625,1.0,0.4819383259911894,0.6504161712247325
23,IndoStoryCloze,3,eng,0.4881057268722467,0.4881057268722467,0.4881057268722467,0.4881057268722467,0.5,0.24405286343612334,0.32800473653049145,1.0,0.4881057268722467,0.6560094730609829
