index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.4935612013270473,0.4949260405916752,0.4669938204289349,0.4935741947773243,0.49560117302052786,0.46735593881617027
1,MAPS,1,eng,0.4750733137829912,0.4750733137829912,0.4750733137829912,0.4750733137829912,0.47448266219239377,0.4748882008943928,0.4728792628479149,0.474496398275896,0.4750733137829912,0.47297899243587294
2,MAPS,2,eng,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5178571428571428,0.5165290677674579,0.5071606884772041,0.5178757246915416,0.5161290322580645,0.506965724481968
3,MAPS,3,eng,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5163225022775584,0.51109391124871,0.4681081585952459,0.5163538938457387,0.5102639296187683,0.4676690359804175
4,haryoaw/COPAL,0,eng,0.5008944543828264,0.5008944543828264,0.5008944543828264,0.5008944543828264,0.5009727626459144,0.5009664618535586,0.5001201934633986,0.5009745028295386,0.5008944543828264,0.5000849997852429
5,haryoaw/COPAL,1,eng,0.5313059033989267,0.5313059033989267,0.5313059033989267,0.5313059033989267,0.5320728840125392,0.5314324116743472,0.5290133779264213,0.5320825926279013,0.5313059033989267,0.5289545952219982
6,haryoaw/COPAL,2,eng,0.5635062611806798,0.5635062611806798,0.5635062611806798,0.5635062611806798,0.5635033412704509,0.5634984639016897,0.5634936890345374,0.5635039252524966,0.5635062611806798,0.5634978797499182
7,haryoaw/COPAL,3,eng,0.554561717352415,0.554561717352415,0.554561717352415,0.554561717352415,0.5547202302927494,0.5545058883768561,0.5540993794789161,0.5547157013515971,0.554561717352415,0.5541250649163327
8,MABL/id,0,eng,0.5885964912280702,0.5885964912280702,0.5885964912280702,0.5885964912280702,0.5894291262135922,0.5885964912280701,0.5876366581185045,0.5894291262135922,0.5885964912280702,0.5876366581185045
9,MABL/id,1,eng,0.5842105263157895,0.5842105263157895,0.5842105263157895,0.5842105263157895,0.5848635235732009,0.5842105263157895,0.5834091434739033,0.584863523573201,0.5842105263157895,0.5834091434739034
10,MABL/id,2,eng,0.5947368421052631,0.5947368421052631,0.5947368421052631,0.5947368421052631,0.5968399592252803,0.5947368421052631,0.5925245098039216,0.5968399592252803,0.5947368421052631,0.5925245098039215
11,MABL/id,3,eng,0.593859649122807,0.593859649122807,0.593859649122807,0.593859649122807,0.5950204249511577,0.593859649122807,0.592615490058512,0.5950204249511577,0.593859649122807,0.592615490058512
12,MABL/jv,0,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5268384326355341,0.5266666666666666,0.5259081196581197,0.5268384326355342,0.5266666666666666,0.5259081196581197
13,MABL/jv,1,eng,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5490798930396814,0.5483333333333333,0.546609188831975,0.5490798930396814,0.5483333333333333,0.546609188831975
14,MABL/jv,2,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5272529069767442,0.5266666666666666,0.5241074221368247,0.5272529069767442,0.5266666666666666,0.5241074221368246
15,MABL/jv,3,eng,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5476925872093024,0.5466666666666666,0.5442155592296349,0.5476925872093023,0.5466666666666666,0.5442155592296349
16,MABL/su,0,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5338380286362611,0.5283333333333333,0.5083377007693444,0.5338380286362611,0.5283333333333333,0.5083377007693444
17,MABL/su,1,eng,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5394130906777668,0.5316666666666666,0.507465433480081,0.5394130906777669,0.5316666666666666,0.507465433480081
18,MABL/su,2,eng,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5613140996057437,0.5516666666666666,0.5333088518067656,0.5613140996057436,0.5516666666666666,0.5333088518067657
19,MABL/su,3,eng,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.549141015056807,0.5416666666666667,0.523549641795958,0.549141015056807,0.5416666666666666,0.523549641795958
20,IndoStoryCloze,0,eng,0.46255506607929514,0.46255506607929514,0.46255506607929514,0.46255506607929514,0.5,0.23127753303964757,0.31626506024096385,1.0,0.46255506607929514,0.6325301204819277
21,IndoStoryCloze,1,eng,0.4458149779735683,0.4458149779735683,0.4458149779735682,0.4458149779735683,0.5,0.22290748898678414,0.30834856794637416,1.0,0.4458149779735683,0.6166971358927483
22,IndoStoryCloze,2,eng,0.43348017621145374,0.43348017621145374,0.43348017621145374,0.43348017621145374,0.5,0.21674008810572687,0.30239704978488013,1.0,0.43348017621145374,0.6047940995697603
23,IndoStoryCloze,3,eng,0.4193832599118943,0.4193832599118943,0.41938325991189435,0.4193832599118943,0.5,0.20969162995594715,0.2954686530105525,1.0,0.4193832599118943,0.590937306021105
24,IndoMMLU,0,eng,0.2583272144716641,0.2583272144716641,0.2583272144716641,0.2583272144716641,0.2426062710859828,0.23841793147681312,0.22176913834568088,0.25220433253140123,0.2583272144716641,0.23348800098333353
