index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.48859793216735914,0.4918816649466804,0.45284138864928536,0.48862017637246036,0.49266862170087977,0.4532742933563679
1,MAPS,1,eng,0.4633431085043988,0.4633431085043988,0.4633431085043988,0.4633431085043988,0.45157838416265383,0.46264189886480905,0.43040608998055807,0.45165056038560925,0.4633431085043988,0.43080776093816586
2,MAPS,2,eng,0.4897360703812317,0.4897360703812317,0.4897360703812317,0.4897360703812317,0.489304531085353,0.48952528379772964,0.48697862627101063,0.4893133380097587,0.4897360703812317,0.4870889240354194
3,MAPS,3,eng,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5244538232373386,0.5169418644650843,0.47633673042021496,0.5244978697504564,0.5161290322580645,0.4759134080602378
4,haryoaw/COPAL,0,eng,0.47584973166368516,0.47584973166368516,0.47584973166368516,0.47584973166368516,0.4756881564650489,0.4759408602150538,0.4745313557717912,0.4756853218124413,0.47584973166368516,0.47448427091850925
5,haryoaw/COPAL,1,eng,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.508025548101884,0.5079941116231439,0.5075394753281202,0.5080262492831285,0.5080500894454383,0.5075678427790822
6,haryoaw/COPAL,2,eng,0.556350626118068,0.556350626118068,0.556350626118068,0.556350626118068,0.5563603063603064,0.5563300051203277,0.556281046755774,0.556359561726288,0.556350626118068,0.5562909866646731
7,haryoaw/COPAL,3,eng,0.5617173524150268,0.5617173524150268,0.5617173524150268,0.5617173524150268,0.5619565217391305,0.5616551459293395,0.5611555974250274,0.5619503891923585,0.5617173524150268,0.5611836851745274
8,MABL/id,0,eng,0.5745614035087719,0.5745614035087719,0.5745614035087719,0.5745614035087719,0.5751165119891846,0.5745614035087719,0.5737739544973439,0.5751165119891846,0.5745614035087719,0.5737739544973439
9,MABL/id,1,eng,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.5616494233693032,0.5614035087719298,0.5609656906240756,0.5616494233693032,0.5614035087719298,0.5609656906240756
10,MABL/id,2,eng,0.5780701754385965,0.5780701754385965,0.5780701754385965,0.5780701754385965,0.5783656445508611,0.5780701754385965,0.5776720901126409,0.5783656445508613,0.5780701754385965,0.5776720901126409
11,MABL/id,3,eng,0.5754385964912281,0.5754385964912281,0.5754385964912281,0.5754385964912281,0.5754980840551496,0.5754385964912281,0.5753549483431639,0.5754980840551497,0.5754385964912281,0.5753549483431638
12,MABL/jv,0,eng,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5234594932749452,0.5233333333333334,0.5226916187318505,0.5234594932749452,0.5233333333333333,0.5226916187318505
13,MABL/jv,1,eng,0.55,0.55,0.55,0.55,0.5505050505050505,0.55,0.5488721804511277,0.5505050505050505,0.55,0.5488721804511277
14,MABL/jv,2,eng,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5118095623713601,0.5116666666666667,0.5101849762197314,0.5118095623713602,0.5116666666666667,0.5101849762197314
15,MABL/jv,3,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5371437575975868,0.5366666666666666,0.5351740589225402,0.5371437575975868,0.5366666666666666,0.5351740589225401
16,MABL/su,0,eng,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5639627675775777,0.5583333333333333,0.5483968086707812,0.5639627675775777,0.5583333333333333,0.5483968086707812
