index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.4868035190615836,0.4868035190615836,0.48680351906158353,0.4868035190615836,0.4868220015278839,0.48694530443756445,0.4856711915535445,0.4868225616026203,0.4868035190615836,0.4856004210842921
1,MAPS,1,eng,0.533724340175953,0.533724340175953,0.533724340175953,0.533724340175953,0.5371873797614467,0.5332473340213278,0.5208007424101817,0.5371561812066225,0.533724340175953,0.5210315209417132
2,MAPS,2,eng,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5044406196213425,0.5044375644994841,0.5043306240055047,0.504445263248217,0.5043988269794721,0.5043135732620129
3,MAPS,3,eng,0.4780058651026393,0.4780058651026393,0.4780058651026393,0.4780058651026393,0.47397075186774756,0.47746818025455795,0.4595590854049434,0.4740030327736267,0.4780058651026393,0.4598518914318909
4,haryoaw/COPAL,0,eng,0.5509838998211091,0.5509838998211091,0.5509838998211091,0.5509838998211091,0.5519872896806792,0.5511008704557092,0.5491138711698829,0.5520010347472487,0.5509838998211091,0.5490619259295711
5,haryoaw/COPAL,1,eng,0.5438282647584973,0.5438282647584973,0.5438282647584973,0.5438282647584973,0.5443114004495079,0.5439132104454685,0.5428392745465916,0.5443205162172629,0.5438282647584973,0.5428012364615183
6,haryoaw/COPAL,2,eng,0.5974955277280859,0.5974955277280859,0.5974955277280859,0.5974955277280859,0.5975156870277885,0.5974782386072708,0.5974491510505848,0.5975138543641791,0.5974955277280859,0.5974568804968349
7,haryoaw/COPAL,3,eng,0.5635062611806798,0.5635062611806798,0.5635062611806798,0.5635062611806798,0.5635083226632522,0.5634920634920635,0.5634713367642163,0.563508093609633,0.5635062611806798,0.5634783216475091
8,MABL/id,0,eng,0.5763157894736842,0.5763157894736842,0.5763157894736842,0.5763157894736842,0.5773849836616096,0.5763157894736842,0.5748472524748844,0.5773849836616096,0.5763157894736842,0.5748472524748843
9,MABL/id,1,eng,0.5842105263157895,0.5842105263157895,0.5842105263157895,0.5842105263157895,0.5858175248419151,0.5842105263157895,0.582254877403913,0.5858175248419152,0.5842105263157895,0.582254877403913
10,MABL/id,2,eng,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5894736842105263,0.5913645278085085,0.5894736842105264,0.5873386156135623,0.5913645278085086,0.5894736842105263,0.5873386156135623
11,MABL/id,3,eng,0.6035087719298246,0.6035087719298246,0.6035087719298246,0.6035087719298246,0.6066616766467066,0.6035087719298247,0.6005569009516308,0.6066616766467066,0.6035087719298246,0.6005569009516308
12,MABL/jv,0,eng,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5350287235533138,0.5333333333333333,0.527617505145595,0.5350287235533138,0.5333333333333333,0.527617505145595
13,MABL/jv,1,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5373997008023936,0.5366666666666666,0.5343851539208789,0.5373997008023936,0.5366666666666666,0.5343851539208789
14,MABL/jv,2,eng,0.515,0.515,0.515,0.515,0.5156920179935139,0.515,0.5095932657549482,0.5156920179935139,0.515,0.5095932657549482
15,MABL/jv,3,eng,0.555,0.555,0.555,0.555,0.5566368036247555,0.5549999999999999,0.551761476668933,0.5566368036247555,0.555,0.551761476668933
16,MABL/su,0,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5423620025673941,0.5366666666666666,0.5205518827249209,0.5423620025673941,0.5366666666666666,0.520551882724921
17,MABL/su,1,eng,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5492523742170136,0.5433333333333333,0.5291880498533725,0.5492523742170136,0.5433333333333333,0.5291880498533725
18,MABL/su,2,eng,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5463105896881754,0.5416666666666666,0.5298810456585227,0.5463105896881754,0.5416666666666666,0.5298810456585227
19,MABL/su,3,eng,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5204737501706146,0.5183333333333333,0.5054065848809582,0.5204737501706146,0.5183333333333333,0.5054065848809582
20,IndoStoryCloze,0,eng,0.48986784140969164,0.48986784140969164,0.48986784140969164,0.48986784140969164,0.5,0.24493392070484582,0.3287995269071556,1.0,0.48986784140969164,0.6575990538143112
21,IndoStoryCloze,1,eng,0.4933920704845815,0.4933920704845815,0.4933920704845815,0.4933920704845815,0.5,0.24669603524229075,0.3303834808259587,1.0,0.4933920704845815,0.6607669616519174
22,IndoStoryCloze,2,eng,0.4502202643171806,0.4502202643171806,0.4502202643171806,0.4502202643171806,0.5,0.2251101321585903,0.31044957472660994,1.0,0.4502202643171806,0.6208991494532199
23,IndoStoryCloze,3,eng,0.44669603524229073,0.44669603524229073,0.44669603524229073,0.44669603524229073,0.5,0.22334801762114537,0.3087697929354446,1.0,0.44669603524229073,0.6175395858708892
24,IndoMMLU,0,eng,0.25145183899606166,0.25145183899606166,0.25145183899606166,0.25145183899606166,0.2396294603797942,0.22548138163984363,0.2156909702351956,0.249271647892924,0.25145183899606166,0.2332341361937234
25,IndoMMLU,1,eng,0.2485815366130432,0.2485815366130432,0.2485815366130432,0.2485815366130432,0.23422400318514264,0.22219787349529624,0.20887471996090698,0.24610646605255213,0.2485815366130432,0.22708825991431425
26,IndoMMLU,2,eng,0.2498498097590281,0.2498498097590281,0.2498498097590281,0.2498498097590281,0.23304246085551733,0.2243886285988832,0.21736390793211507,0.24449496733941087,0.2498498097590281,0.2357200122334568
