index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.4492447129909366,0.49422084623323015,0.3509074811863656,0.44938912563900385,0.49560117302052786,0.35180619976918653
1,MAPS,1,eng,0.5190615835777126,0.5190615835777126,0.5190615835777126,0.5190615835777126,0.5525384304207119,0.5178706570347437,0.42322607260726075,0.5524175753779574,0.5190615835777126,0.42391553671496185
2,MAPS,2,eng,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5863453815261044,0.508875128998968,0.3675155769294845,0.5861098352353696,0.5102639296187683,0.368396739600406
3,MAPS,3,eng,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.4852941176470588,0.4972136222910216,0.3700534759358289,0.48533724340175954,0.49853372434017595,0.37088776326312983
4,haryoaw/COPAL,0,eng,0.4937388193202147,0.4937388193202147,0.4937388193202147,0.4937388193202147,0.49222336416581025,0.49418842805939583,0.4598591236713888,0.49221797108696896,0.4937388193202147,0.4596171258453257
5,haryoaw/COPAL,1,eng,0.518783542039356,0.518783542039356,0.518783542039356,0.518783542039356,0.5271317829457365,0.5192652329749103,0.48144533607374285,0.5271595179653589,0.518783542039356,0.48119641470063873
6,haryoaw/COPAL,2,eng,0.5688729874776386,0.5688729874776386,0.5688729874776386,0.5688729874776386,0.5688820591625048,0.5688556067588326,0.5688233129030709,0.5688812344638806,0.5688729874776386,0.5688315919988322
7,haryoaw/COPAL,3,eng,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.5349135498435176,0.5348438300051204,0.5346320346320346,0.5349123566869862,0.5348837209302325,0.5346513951165114
8,MABL/id,0,eng,0.6008771929824561,0.6008771929824561,0.6008771929824561,0.6008771929824561,0.6019697030978256,0.6008771929824561,0.5998052647943591,0.6019697030978256,0.6008771929824561,0.5998052647943591
9,MABL/id,1,eng,0.5640350877192982,0.5640350877192982,0.5640350877192982,0.5640350877192982,0.5644734436349326,0.5640350877192982,0.563292792997639,0.5644734436349326,0.5640350877192982,0.563292792997639
10,MABL/id,2,eng,0.5710526315789474,0.5710526315789474,0.5710526315789474,0.5710526315789474,0.5716260366926363,0.5710526315789474,0.5701924211198313,0.5716260366926363,0.5710526315789474,0.5701924211198313
11,MABL/id,3,eng,0.5815789473684211,0.5815789473684211,0.5815789473684211,0.5815789473684211,0.5820905923344948,0.5815789473684211,0.5809259580371077,0.5820905923344947,0.5815789473684211,0.5809259580371077
12,MABL/jv,0,eng,0.545,0.545,0.545,0.545,0.5450245133461551,0.5449999999999999,0.5449380610138602,0.5450245133461552,0.545,0.5449380610138602
13,MABL/jv,1,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266714082503556,0.5266666666666666,0.5266456286946086,0.5266714082503555,0.5266666666666666,0.5266456286946086
14,MABL/jv,2,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.536673186344239,0.5366666666666666,0.5366460731588072,0.536673186344239,0.5366666666666666,0.5366460731588072
15,MABL/jv,3,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283588563040069,0.5283333333333333,0.5282271844498345,0.5283588563040069,0.5283333333333333,0.5282271844498346
16,MABL/su,0,eng,0.555,0.555,0.555,0.555,0.5614212505118437,0.5549999999999999,0.5430572946824077,0.5614212505118438,0.555,0.5430572946824077
17,MABL/su,1,eng,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5463105896881754,0.5416666666666666,0.5298810456585227,0.5463105896881754,0.5416666666666666,0.5298810456585227
18,MABL/su,2,eng,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5804030874785592,0.5666666666666667,0.5473327452527973,0.5804030874785592,0.5666666666666667,0.5473327452527972
19,MABL/su,3,eng,0.59,0.59,0.59,0.59,0.602838860393073,0.5900000000000001,0.5767911825761833,0.602838860393073,0.59,0.5767911825761833
20,IndoStoryCloze,0,eng,0.41585903083700443,0.41585903083700443,0.41585903083700443,0.41585903083700443,0.5,0.20792951541850221,0.2937149968886123,1.0,0.41585903083700443,0.5874299937772246
21,IndoStoryCloze,1,eng,0.4149779735682819,0.4149779735682819,0.4149779735682819,0.4149779735682819,0.5,0.20748898678414096,0.2932752179327522,1.0,0.4149779735682819,0.5865504358655044
22,IndoStoryCloze,2,eng,0.4167400881057269,0.4167400881057269,0.4167400881057269,0.4167400881057269,0.5,0.20837004405286344,0.2941542288557214,1.0,0.4167400881057269,0.5883084577114428
23,IndoStoryCloze,3,eng,0.3991189427312775,0.3991189427312775,0.3991189427312775,0.3991189427312775,0.5,0.19955947136563876,0.285264483627204,1.0,0.3991189427312775,0.570528967254408
24,IndoMMLU,0,eng,0.2411721513917629,0.2411721513917629,0.2411721513917629,0.2411721513917629,0.23113659470819684,0.2293056842816715,0.2263891909060253,0.24183927139270686,0.2411721513917629,0.23733894501392697
25,IndoMMLU,1,eng,0.24237367331953807,0.24237367331953807,0.24237367331953807,0.24237367331953807,0.23246246155285152,0.22377809174899924,0.22350957218022072,0.24273947214108907,0.24237367331953807,0.23911308740802253
26,IndoMMLU,2,eng,0.24604499032107335,0.24604499032107335,0.24604499032107335,0.24604499032107335,0.23546216584046645,0.22282052980689765,0.2230563991400249,0.2449842964052144,0.24604499032107335,0.24072759081717388
