index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.4897360703812317,0.4897360703812317,0.4897360703812317,0.4897360703812317,0.48966515088879703,0.48968008255933954,0.48952095808383234,0.489670606234369,0.4897360703812317,0.48955168841203217
1,MAPS,1,eng,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49842767295597484,0.49843481252149985,0.49791194881906714,0.4984322838857227,0.49853372434017595,0.4979637634458262
2,MAPS,2,eng,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5048959827833572,0.5046955624355005,0.4994223669923995,0.5049031879399354,0.5043988269794721,0.4992760005221915
3,MAPS,3,eng,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5047774081675985,0.5046439628482973,0.5010346589088894,0.5047840499428288,0.5043988269794721,0.5009145100492257
4,haryoaw/COPAL,0,eng,0.5008944543828264,0.5008944543828264,0.5008944543828264,0.5008944543828264,0.501937984496124,0.5013760880696364,0.46216821102072203,0.5019414513735768,0.5008944543828264,0.4619100360649747
5,haryoaw/COPAL,1,eng,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5158730158730158,0.5086533538146442,0.4453104421279006,0.5158937663409935,0.5080500894454383,0.44497672059961585
6,haryoaw/COPAL,2,eng,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4883877331420373,0.4883960573476702,0.48829185230706207,0.4883887758166227,0.4883720930232558,0.48828038934760587
7,haryoaw/COPAL,3,eng,0.4991055456171735,0.4991055456171735,0.4991055456171735,0.4991055456171735,0.4991349480968858,0.49913594470046085,0.49897567221510875,0.499136495595818,0.4991055456171735,0.4989612418371016
8,MABL/id,0,eng,0.5385964912280702,0.5385964912280702,0.5385964912280702,0.5385964912280702,0.5389726631941423,0.5385964912280702,0.5374804082488985,0.5389726631941423,0.5385964912280702,0.5374804082488985
9,MABL/id,1,eng,0.5447368421052632,0.5447368421052632,0.5447368421052632,0.5447368421052632,0.5450174216027874,0.5447368421052632,0.5440263568579851,0.5450174216027875,0.5447368421052632,0.5440263568579851
10,MABL/id,2,eng,0.5412280701754386,0.5412280701754386,0.5412280701754386,0.5412280701754386,0.5417379436701347,0.5412280701754386,0.5398226809948202,0.5417379436701347,0.5412280701754386,0.5398226809948202
11,MABL/id,3,eng,0.5464912280701755,0.5464912280701755,0.5464912280701755,0.5464912280701755,0.547066191798237,0.5464912280701755,0.5451019619011894,0.5470661917982369,0.5464912280701755,0.5451019619011895
12,MABL/jv,0,eng,0.53,0.53,0.53,0.53,0.5302636298421808,0.53,0.528974210502873,0.5302636298421808,0.53,0.528974210502873
13,MABL/jv,1,eng,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5386949158245382,0.5383333333333333,0.5372523032974255,0.5386949158245381,0.5383333333333333,0.5372523032974255
14,MABL/jv,2,eng,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5319252612830594,0.5316666666666667,0.5307163673104703,0.5319252612830595,0.5316666666666666,0.5307163673104704
15,MABL/jv,3,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5369441583449017,0.5366666666666666,0.5357949928198507,0.5369441583449017,0.5366666666666666,0.5357949928198505
16,MABL/su,0,eng,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5400106695118698,0.5316666666666667,0.5059065559694167,0.5400106695118698,0.5316666666666666,0.5059065559694166
17,MABL/su,1,eng,0.525,0.525,0.525,0.525,0.5320883070209216,0.525,0.4972347913524384,0.5320883070209216,0.525,0.4972347913524384
18,MABL/su,2,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5321612349914236,0.5266666666666666,0.5055480755838246,0.5321612349914236,0.5266666666666666,0.5055480755838246
19,MABL/su,3,eng,0.535,0.535,0.535,0.535,0.5445676933742696,0.535,0.5086283568990164,0.5445676933742696,0.535,0.5086283568990164
20,IndoStoryCloze,0,eng,0.345374449339207,0.345374449339207,0.345374449339207,0.345374449339207,0.5,0.1726872246696035,0.25671250818598557,1.0,0.345374449339207,0.5134250163719711
21,IndoStoryCloze,1,eng,0.3568281938325991,0.3568281938325991,0.3568281938325991,0.3568281938325991,0.5,0.17841409691629956,0.262987012987013,1.0,0.3568281938325991,0.525974025974026
22,IndoStoryCloze,2,eng,0.35066079295154184,0.35066079295154184,0.35066079295154184,0.35066079295154184,0.5,0.17533039647577092,0.2596216568819309,1.0,0.35066079295154184,0.5192433137638618
23,IndoStoryCloze,3,eng,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.5,0.17444933920704847,0.25865447419986937,1.0,0.34889867841409694,0.5173089483997387
24,IndoMMLU,0,eng,0.24631199519391228,0.24631199519391228,0.24631199519391228,0.24631199519391228,0.22658841570514704,0.2040835012802606,0.11801981568584478,0.2374045543477941,0.24631199519391228,0.13557166783464025
25,IndoMMLU,1,eng,0.2453107269207663,0.2453107269207663,0.24531072692076628,0.2453107269207663,0.21681437107280027,0.20124057884064755,0.10952154101048987,0.23031422747933136,0.2453107269207663,0.1290245351394832
26,IndoMMLU,2,eng,0.2457112342300247,0.2457112342300247,0.2457112342300247,0.2457112342300247,0.22102670095283003,0.20125677825733046,0.10906651210212644,0.23382248514168744,0.2457112342300247,0.1290910238374962
