index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5647522522522522,0.5059339525283797,0.36142322097378277,0.5645755726400887,0.5073313782991202,0.36231836304326337
1,MAPS,1,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5007507507507507,0.5000687994496044,0.3538211164615659,0.5007529523658556,0.501466275659824,0.3547269149842546
2,MAPS,2,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.500788643533123,0.5002063983488132,0.3876753422342403,0.5007909562707568,0.501466275659824,0.38844943021672734
3,MAPS,3,eng,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.4484662576687117,0.49133126934984517,0.35838816683887104,0.4486083874565964,0.49266862170087977,0.3592489389854224
4,haryoaw/COPAL,0,eng,0.4847942754919499,0.4847942754919499,0.4847942754919499,0.4847942754919499,0.4819868146904251,0.48517025089605736,0.4611903933170902,0.4819748680487165,0.4847942754919499,0.46098865073439904
5,haryoaw/COPAL,1,eng,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5153130671506352,0.5086405529953917,0.4482727680574249,0.5153327500170448,0.5080500894454383,0.4479478913107509
6,haryoaw/COPAL,2,eng,0.518783542039356,0.518783542039356,0.518783542039356,0.518783542039356,0.51884373798231,0.5188172043010753,0.5186294941113576,0.5188466044557839,0.518783542039356,0.5186140893185578
7,haryoaw/COPAL,3,eng,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5223942723942724,0.5223822324628776,0.5223063259133607,0.5223968041499347,0.5223613595706619,0.5222971536371438
8,MABL/id,0,eng,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.537151299209177,0.5368421052631579,0.5358764311093565,0.537151299209177,0.5368421052631579,0.5358764311093566
9,MABL/id,1,eng,0.5447368421052632,0.5447368421052632,0.5447368421052632,0.5447368421052632,0.5452901090888695,0.5447368421052632,0.5433422015990664,0.5452901090888697,0.5447368421052632,0.5433422015990664
10,MABL/id,2,eng,0.5535087719298246,0.5535087719298246,0.5535087719298246,0.5535087719298246,0.5541286945908668,0.5535087719298246,0.5522267125248577,0.5541286945908668,0.5535087719298246,0.5522267125248576
11,MABL/id,3,eng,0.5491228070175439,0.5491228070175439,0.5491228070175439,0.5491228070175439,0.54979035639413,0.5491228070175438,0.5476064741469562,0.54979035639413,0.5491228070175439,0.5476064741469562
12,MABL/jv,0,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5289276355344805,0.5283333333333333,0.5258982942948645,0.5289276355344806,0.5283333333333333,0.5258982942948645
13,MABL/jv,1,eng,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5477902689909426,0.5466666666666666,0.5439863195895878,0.5477902689909425,0.5466666666666666,0.5439863195895877
14,MABL/jv,2,eng,0.535,0.535,0.535,0.535,0.5356016681924525,0.5349999999999999,0.5330270392407924,0.5356016681924525,0.535,0.5330270392407924
15,MABL/jv,3,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5287243030132357,0.5283333333333333,0.5267228764546025,0.5287243030132356,0.5283333333333333,0.5267228764546025
16,MABL/su,0,eng,0.56,0.56,0.56,0.56,0.5846979107848673,0.5599999999999999,0.5254017905296084,0.5846979107848673,0.56,0.5254017905296084
17,MABL/su,1,eng,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5700359034631547,0.5483333333333333,0.5104046538657256,0.5700359034631547,0.5483333333333333,0.5104046538657256
18,MABL/su,2,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5365497076023392,0.5266666666666666,0.4923494923494924,0.5365497076023392,0.5266666666666666,0.4923494923494924
19,MABL/su,3,eng,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.554958183990442,0.5383333333333333,0.5005634437683119,0.554958183990442,0.5383333333333333,0.500563443768312
20,IndoStoryCloze,0,eng,0.3524229074889868,0.3524229074889868,0.3524229074889868,0.3524229074889868,0.5,0.1762114537444934,0.26058631921824105,1.0,0.3524229074889868,0.5211726384364821
21,IndoStoryCloze,1,eng,0.36916299559471366,0.36916299559471366,0.3691629955947137,0.36916299559471366,0.5,0.18458149779735683,0.2696267696267696,1.0,0.36916299559471366,0.5392535392535392
22,IndoStoryCloze,2,eng,0.36916299559471366,0.36916299559471366,0.3691629955947137,0.36916299559471366,0.5,0.18458149779735683,0.2696267696267696,1.0,0.36916299559471366,0.5392535392535392
23,IndoStoryCloze,3,eng,0.36123348017621143,0.36123348017621143,0.36123348017621143,0.36123348017621143,0.5,0.18061674008810572,0.26537216828478966,1.0,0.36123348017621143,0.5307443365695793
24,IndoMMLU,0,eng,0.24357519524731328,0.24357519524731328,0.24357519524731328,0.24357519524731328,0.230858595004846,0.20274182140572727,0.15521688878822912,0.23835671209548534,0.24357519524731328,0.17985635197490327
25,IndoMMLU,1,eng,0.24450971230224952,0.24450971230224952,0.24450971230224952,0.24450971230224952,0.22848627618965223,0.2016515963295027,0.12979291919556063,0.2350364786899289,0.24450971230224952,0.151836304306864
26,IndoMMLU,2,eng,0.2409718977371337,0.2409718977371337,0.2409718977371337,0.2409718977371337,0.2276609579332077,0.1993498895258014,0.1394000757817023,0.22695908503090267,0.2409718977371337,0.1627787345991588
