index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5007418397626113,0.5000343997248022,0.34417141822789393,0.500744015245786,0.501466275659824,0.34511330360173786
1,MAPS,1,eng,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.41666666666666663,0.49709322325421396,0.3378039224593161,0.41691104594330397,0.49853372434017595,0.3387606474705117
2,MAPS,2,eng,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5207551594746717,0.5030443756449948,0.36891268876550914,0.5207032346096075,0.5043988269794721,0.36977019596939503
3,MAPS,3,eng,0.4662756598240469,0.4662756598240469,0.4662756598240469,0.4662756598240469,0.4619157088122605,0.46580667354661165,0.4520202020202021,0.4619557083628274,0.4662756598240469,0.4522793921620902
4,haryoaw/COPAL,0,eng,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.49710263545588473,0.4977342549923195,0.4685754497075252,0.49710181552716587,0.49731663685152055,0.4683543636525713
5,haryoaw/COPAL,1,eng,0.47942754919499103,0.47942754919499103,0.47942754919499103,0.47942754919499103,0.46810397553516825,0.4799731182795699,0.4263755329165212,0.468070768574289,0.47942754919499103,0.4260634622325302
6,haryoaw/COPAL,2,eng,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080752580752581,0.5080709165386585,0.5079934068396038,0.5080771941237058,0.5080500894454383,0.5079839597386314
7,haryoaw/COPAL,3,eng,0.5205724508050089,0.5205724508050089,0.5205724508050089,0.5205724508050089,0.5206112932978069,0.5205965181771633,0.5204972602038204,0.5206138827973268,0.5205724508050089,0.5204865186893649
8,MABL/id,0,eng,0.5552631578947368,0.5552631578947368,0.5552631578947368,0.5552631578947368,0.5561341090918186,0.5552631578947369,0.5535313570103797,0.5561341090918186,0.5552631578947368,0.5535313570103797
9,MABL/id,1,eng,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.5622900248535638,0.5614035087719298,0.5598374023920134,0.5622900248535638,0.5614035087719298,0.5598374023920134
10,MABL/id,2,eng,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5676874999999999,0.5666666666666667,0.5650266470997142,0.5676874999999999,0.5666666666666667,0.5650266470997142
11,MABL/id,3,eng,0.5692982456140351,0.5692982456140351,0.5692982456140351,0.5692982456140351,0.5700487525628541,0.5692982456140352,0.5681415055253415,0.5700487525628541,0.5692982456140351,0.5681415055253414
12,MABL/jv,0,eng,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5421163759700804,0.5416666666666667,0.5404398965014943,0.5421163759700804,0.5416666666666666,0.5404398965014943
13,MABL/jv,1,eng,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5489253298242063,0.5483333333333333,0.5469628960940177,0.5489253298242062,0.5483333333333333,0.5469628960940177
14,MABL/jv,2,eng,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5536768652710682,0.5533333333333333,0.5526175213675213,0.5536768652710682,0.5533333333333333,0.5526175213675213
15,MABL/jv,3,eng,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5437141319942611,0.5433333333333333,0.5423366442474723,0.5437141319942611,0.5433333333333333,0.5423366442474723
16,MABL/su,0,eng,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5748942669172932,0.5566666666666666,0.5279447257583645,0.5748942669172933,0.5566666666666666,0.5279447257583645
17,MABL/su,1,eng,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5548317761108918,0.5416666666666666,0.5123983793895228,0.5548317761108918,0.5416666666666666,0.5123983793895227
18,MABL/su,2,eng,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5625440324366292,0.5483333333333333,0.521132318856372,0.5625440324366292,0.5483333333333333,0.521132318856372
19,MABL/su,3,eng,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5588377285619456,0.5433333333333333,0.5111274993755279,0.5588377285619456,0.5433333333333333,0.5111274993755279
20,IndoStoryCloze,0,eng,0.38237885462555066,0.38237885462555066,0.38237885462555066,0.38237885462555066,0.5,0.19118942731277533,0.2766093052899936,1.0,0.38237885462555066,0.5532186105799872
21,IndoStoryCloze,1,eng,0.3920704845814978,0.3920704845814978,0.3920704845814978,0.3920704845814978,0.5,0.1960352422907489,0.28164556962025317,1.0,0.3920704845814978,0.5632911392405063
