index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5008771929824561,0.5004815961472309,0.4374902965378047,0.5008797653958945,0.501466275659824,0.4380466093997352
1,MAPS,1,eng,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5082695578231292,0.5066907464740282,0.4822874493927125,0.5082632613162568,0.5073313782991202,0.4826213684447979
2,MAPS,2,eng,0.533724340175953,0.533724340175953,0.533724340175953,0.533724340175953,0.534778875053671,0.5334365325077399,0.5290423452768729,0.5347631357271381,0.533724340175953,0.5291800510091988
3,MAPS,3,eng,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5170433355709705,0.5157206742346061,0.5063477719188959,0.5170337113255714,0.5161290322580645,0.5065515481759619
4,haryoaw/COPAL,0,eng,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.48438228438228437,0.4888504864311316,0.4492421110651785,0.48436894054067575,0.4883720930232558,0.4489794937366008
5,haryoaw/COPAL,1,eng,0.481216457960644,0.481216457960644,0.481216457960644,0.481216457960644,0.46374699596052565,0.4818484383000512,0.407648572013213,0.4637027694744494,0.481216457960644,0.40727513096779455
6,haryoaw/COPAL,2,eng,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5027247781710007,0.5027201740911419,0.5024907158406966,0.5027265788241537,0.5026833631484794,0.50247320244908
7,haryoaw/COPAL,3,eng,0.4919499105545617,0.4919499105545617,0.4919499105545617,0.4919499105545617,0.49197312407036975,0.49198668714797744,0.49175310539121525,0.4919741333536658,0.4919499105545617,0.4917352140127293
8,MABL/id,0,eng,0.5219298245614035,0.5219298245614035,0.5219298245614035,0.5219298245614035,0.5220226191616877,0.5219298245614035,0.521425693886527,0.5220226191616878,0.5219298245614035,0.5214256938865272
9,MABL/id,1,eng,0.5228070175438596,0.5228070175438596,0.5228070175438596,0.5228070175438596,0.5229565282046198,0.5228070175438596,0.5220287880235903,0.5229565282046198,0.5228070175438596,0.5220287880235903
10,MABL/id,2,eng,0.5298245614035088,0.5298245614035088,0.5298245614035088,0.5298245614035088,0.5299873737373737,0.5298245614035088,0.5291855057187502,0.5299873737373737,0.5298245614035088,0.5291855057187502
11,MABL/id,3,eng,0.537719298245614,0.537719298245614,0.537719298245614,0.537719298245614,0.5379558652729384,0.537719298245614,0.536997861395295,0.5379558652729384,0.537719298245614,0.536997861395295
12,MABL/jv,0,eng,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5238462936046512,0.5233333333333333,0.5207560659546897,0.5238462936046511,0.5233333333333333,0.5207560659546897
13,MABL/jv,1,eng,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5221211330557793,0.5216666666666667,0.5191972101152865,0.5221211330557793,0.5216666666666666,0.5191972101152865
14,MABL/jv,2,eng,0.52,0.52,0.52,0.52,0.5204396802325582,0.52,0.5174047097725547,0.5204396802325582,0.52,0.5174047097725546
15,MABL/jv,3,eng,0.53,0.53,0.53,0.53,0.5309292521994134,0.53,0.5264430612153509,0.5309292521994134,0.53,0.5264430612153509
16,MABL/su,0,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5358765845491509,0.5266666666666666,0.49420592705167177,0.5358765845491509,0.5266666666666666,0.49420592705167177
17,MABL/su,1,eng,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5440365271404071,0.5316666666666666,0.49629390623179437,0.5440365271404071,0.5316666666666666,0.4962939062317944
18,MABL/su,2,eng,0.52,0.52,0.52,0.52,0.5276769789039917,0.52,0.48423453002065453,0.5276769789039917,0.52,0.4842345300206546
19,MABL/su,3,eng,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5329380764163373,0.5233333333333333,0.4858519397404091,0.5329380764163373,0.5233333333333333,0.4858519397404091
20,IndoStoryCloze,0,eng,0.34449339207048457,0.34449339207048457,0.34449339207048457,0.34449339207048457,0.5,0.17224669603524229,0.2562254259501966,1.0,0.34449339207048457,0.5124508519003932
21,IndoStoryCloze,1,eng,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.5,0.17444933920704847,0.25865447419986937,1.0,0.34889867841409694,0.5173089483997387
22,IndoStoryCloze,2,eng,0.345374449339207,0.345374449339207,0.345374449339207,0.345374449339207,0.5,0.1726872246696035,0.25671250818598557,1.0,0.345374449339207,0.5134250163719711
23,IndoStoryCloze,3,eng,0.34625550660792953,0.34625550660792953,0.34625550660792953,0.34625550660792953,0.5,0.17312775330396477,0.25719895287958117,1.0,0.34625550660792953,0.5143979057591623
24,IndoMMLU,0,eng,0.24250717575595754,0.24250717575595754,0.24250717575595754,0.24250717575595754,0.2225850103673403,0.20498922086051272,0.13666219674201535,0.23123882132215098,0.24250717575595754,0.15173607332238917
25,IndoMMLU,1,eng,0.24170616113744076,0.24170616113744076,0.24170616113744078,0.24170616113744076,0.22151617736451712,0.20845462401454232,0.15022341159527966,0.23146739782749756,0.24170616113744076,0.1628397145777554
26,IndoMMLU,2,eng,0.2434416928108938,0.2434416928108938,0.2434416928108938,0.2434416928108938,0.222226053082617,0.207231039864816,0.1436742880195631,0.23149779260693917,0.2434416928108938,0.15820220833677118
