index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.250733137829912,0.5,0.333984375,0.25146842562413463,0.501466275659824,0.3349638013196481
1,MAPS,1,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.250733137829912,0.5,0.333984375,0.25146842562413463,0.501466275659824,0.3349638013196481
2,MAPS,2,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.250733137829912,0.5,0.333984375,0.25146842562413463,0.501466275659824,0.3349638013196481
3,MAPS,3,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.250733137829912,0.5,0.333984375,0.25146842562413463,0.501466275659824,0.3349638013196481
4,haryoaw/COPAL,0,eng,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5090122015620223,0.5083013312852023,0.49828164113878404,0.5090183296646758,0.5080500894454383,0.4981564046220321
5,haryoaw/COPAL,1,eng,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5054490067361737,0.5032514080901178,0.44726695879808787,0.5054567972814911,0.5026833631484794,0.44695387176785967
6,haryoaw/COPAL,2,eng,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.4973464940392257,0.4973502304147466,0.4971557168969944,0.4973479158100689,0.49731663685152055,0.49713962490154184
7,haryoaw/COPAL,3,eng,0.4937388193202147,0.4937388193202147,0.4937388193202147,0.4937388193202147,0.49373383855193426,0.4937339989759345,0.49373233870012834,0.4937354988080278,0.4937388193202147,0.49373557901017157
8,MABL/id,0,eng,0.5228070175438596,0.5228070175438596,0.5228070175438596,0.5228070175438596,0.5230456309713376,0.5228070175438597,0.521568603248174,0.5230456309713376,0.5228070175438596,0.521568603248174
9,MABL/id,1,eng,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5265037384220511,0.5263157894736842,0.5254745254745256,0.5265037384220511,0.5263157894736842,0.5254745254745256
10,MABL/id,2,eng,0.5403508771929825,0.5403508771929825,0.5403508771929825,0.5403508771929825,0.5406895181814796,0.5403508771929825,0.5393925187524675,0.5406895181814795,0.5403508771929825,0.5393925187524675
11,MABL/id,3,eng,0.5289473684210526,0.5289473684210526,0.5289473684210526,0.5289473684210526,0.5290979181298129,0.5289473684210526,0.5283372845300824,0.5290979181298129,0.5289473684210526,0.5283372845300824
12,MABL/jv,0,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.52856470746379,0.5283333333333333,0.5273762702806517,0.52856470746379,0.5283333333333333,0.5273762702806516
13,MABL/jv,1,eng,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5442859738372092,0.5433333333333333,0.5408642030474999,0.5442859738372092,0.5433333333333333,0.5408642030474999
14,MABL/jv,2,eng,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5443766783487325,0.5433333333333333,0.5406332778218641,0.5443766783487324,0.5433333333333333,0.5406332778218641
15,MABL/jv,3,eng,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5532042700717399,0.5516666666666667,0.5484038847338688,0.55320427007174,0.5516666666666666,0.5484038847338689
16,MABL/su,0,eng,0.54,0.54,0.54,0.54,0.5564652738565783,0.54,0.5038291446445906,0.5564652738565783,0.54,0.5038291446445907
17,MABL/su,1,eng,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5672602651976171,0.5466666666666666,0.5090902527944556,0.5672602651976171,0.5466666666666666,0.5090902527944556
18,MABL/su,2,eng,0.525,0.525,0.525,0.525,0.5337883497769969,0.525,0.49196502580282897,0.5337883497769969,0.525,0.49196502580282897
19,MABL/su,3,eng,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5543898093991897,0.5383333333333333,0.5015460470082266,0.5543898093991896,0.5383333333333333,0.5015460470082267
20,IndoStoryCloze,0,eng,0.345374449339207,0.345374449339207,0.345374449339207,0.345374449339207,0.5,0.1726872246696035,0.25671250818598557,1.0,0.345374449339207,0.5134250163719711
21,IndoStoryCloze,1,eng,0.345374449339207,0.345374449339207,0.345374449339207,0.345374449339207,0.5,0.1726872246696035,0.25671250818598557,1.0,0.345374449339207,0.5134250163719711
22,IndoStoryCloze,2,eng,0.34801762114537443,0.34801762114537443,0.34801762114537443,0.34801762114537443,0.5,0.17400881057268722,0.25816993464052285,1.0,0.34801762114537443,0.5163398692810457
23,IndoStoryCloze,3,eng,0.3409691629955947,0.3409691629955947,0.3409691629955947,0.3409691629955947,0.5,0.17048458149779736,0.2542706964520368,1.0,0.3409691629955947,0.5085413929040736
24,IndoMMLU,0,eng,0.24524397570255657,0.24524397570255657,0.24524397570255657,0.24524397570255657,0.2255600515112814,0.2042376182182159,0.13314769323844936,0.24032086698451652,0.24524397570255657,0.1523657715719551
25,IndoMMLU,1,eng,0.24330819037447435,0.24330819037447435,0.24330819037447435,0.24330819037447435,0.21627470387047762,0.2079723231502298,0.15944401675733147,0.22792960538432436,0.24330819037447435,0.17680367391573074
26,IndoMMLU,2,eng,0.24624524397570255,0.24624524397570255,0.24624524397570255,0.24624524397570255,0.22424440605689377,0.203598927733217,0.1314263290317514,0.2368873263627699,0.24624524397570255,0.15295804467160903
