index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.250733137829912,0.5,0.333984375,0.25146842562413463,0.501466275659824,0.3349638013196481
1,MAPS,1,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.250733137829912,0.5,0.333984375,0.25146842562413463,0.501466275659824,0.3349638013196481
2,MAPS,2,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.250733137829912,0.5,0.333984375,0.25146842562413463,0.501466275659824,0.3349638013196481
3,MAPS,3,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.250733137829912,0.5,0.333984375,0.25146842562413463,0.501466275659824,0.3349638013196481
4,haryoaw/COPAL,0,eng,0.4847942754919499,0.4847942754919499,0.4847942754919499,0.4847942754919499,0.4811654441727791,0.48520865335381463,0.45581395348837206,0.48115143324104487,0.4847942754919499,0.45558929982942964
5,haryoaw/COPAL,1,eng,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5046704430356004,0.5031874039938555,0.46009477750910255,0.5046767512257183,0.5026833631484794,0.4598235126324186
6,haryoaw/COPAL,2,eng,0.5635062611806798,0.5635062611806798,0.5635062611806798,0.5635062611806798,0.5635128907550117,0.5635112647209422,0.563504864311316,0.5635151006131223,0.5635062611806798,0.5635034674419521
7,haryoaw/COPAL,3,eng,0.5366726296958855,0.5366726296958855,0.5366726296958855,0.5366726296958855,0.5366846084839165,0.536642345110087,0.5365243084566604,0.5366839780213886,0.5366726296958855,0.5365391405805829
8,MABL/id,0,eng,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5688312010007308,0.5684210526315789,0.5677771749852043,0.5688312010007308,0.5684210526315789,0.5677771749852042
9,MABL/id,1,eng,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5793380760903186,0.5789473684210527,0.5784283513097072,0.5793380760903185,0.5789473684210527,0.5784283513097072
10,MABL/id,2,eng,0.5824561403508772,0.5824561403508772,0.5824561403508772,0.5824561403508772,0.5829504217188294,0.5824561403508772,0.5818332018149537,0.5829504217188294,0.5824561403508772,0.5818332018149536
11,MABL/id,3,eng,0.5710526315789474,0.5710526315789474,0.5710526315789474,0.5710526315789474,0.5715390264990347,0.5710526315789474,0.5703222852632707,0.5715390264990347,0.5710526315789474,0.5703222852632707
12,MABL/jv,0,eng,0.545,0.545,0.545,0.545,0.5455511691466748,0.5449999999999999,0.5436194488327191,0.5455511691466747,0.545,0.543619448832719
13,MABL/jv,1,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.527013641889154,0.5266666666666666,0.5251418443669116,0.527013641889154,0.5266666666666666,0.5251418443669116
14,MABL/jv,2,eng,0.55,0.55,0.55,0.55,0.5504393830703014,0.55,0.5490178611197719,0.5504393830703013,0.55,0.5490178611197719
15,MABL/jv,3,eng,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5488549961252934,0.5483333333333333,0.547124407097836,0.5488549961252934,0.5483333333333333,0.547124407097836
16,MABL/su,0,eng,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5610689166233802,0.5483333333333333,0.5234899525541349,0.5610689166233802,0.5483333333333333,0.5234899525541349
17,MABL/su,1,eng,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.563901166196283,0.5533333333333333,0.5340697040994912,0.563901166196283,0.5533333333333333,0.5340697040994912
18,MABL/su,2,eng,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5720767720589245,0.5583333333333333,0.5362254585971842,0.5720767720589244,0.5583333333333333,0.5362254585971841
19,MABL/su,3,eng,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5588864371674946,0.5483333333333333,0.5271482619935964,0.5588864371674948,0.5483333333333333,0.5271482619935964
20,IndoStoryCloze,0,eng,0.39823788546255506,0.39823788546255506,0.39823788546255506,0.39823788546255506,0.5,0.19911894273127753,0.2848141146817896,1.0,0.39823788546255506,0.5696282293635792
21,IndoStoryCloze,1,eng,0.3859030837004405,0.3859030837004405,0.3859030837004405,0.3859030837004405,0.5,0.19295154185022026,0.2784488239033694,1.0,0.3859030837004405,0.5568976478067388
22,IndoStoryCloze,2,eng,0.3859030837004405,0.3859030837004405,0.3859030837004405,0.3859030837004405,0.5,0.19295154185022026,0.2784488239033694,1.0,0.3859030837004405,0.5568976478067388
23,IndoStoryCloze,3,eng,0.38061674008810575,0.38061674008810575,0.3806167400881057,0.38061674008810575,0.5,0.19030837004405288,0.27568602425015953,1.0,0.38061674008810575,0.5513720485003191
24,IndoMMLU,0,eng,0.2403043855550364,0.2403043855550364,0.2403043855550364,0.2403043855550364,0.22030922919795257,0.20665359708336556,0.16368520169223594,0.230089148677437,0.2403043855550364,0.18004511872935722
25,IndoMMLU,1,eng,0.24063814164608505,0.24063814164608505,0.24063814164608505,0.24063814164608505,0.22008477602316864,0.21051031523424032,0.15992799505845992,0.22848978263335043,0.24063814164608505,0.17075144487831134
26,IndoMMLU,2,eng,0.24297443428342566,0.24297443428342566,0.24297443428342566,0.24297443428342566,0.2313007662063339,0.2134197546080862,0.15506779452694772,0.2407045130306394,0.24297443428342566,0.16371397620477487
