index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49603174603174605,0.497609219126247,0.4426240477169102,0.49604338314015733,0.49853372434017595,0.44314172990786643
1,MAPS,1,eng,0.4780058651026393,0.4780058651026393,0.4780058651026393,0.4780058651026393,0.4554830982166622,0.47698658410732714,0.4056208382295338,0.455578130988333,0.4780058651026393,0.4062291157662826
2,MAPS,2,eng,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5153481145544638,0.5125730994152047,0.4898154156752469,0.5153332757019393,0.5131964809384164,0.49013570424049574
3,MAPS,3,eng,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.4888176638176638,0.4918988648090815,0.4546824303713221,0.48883917754885503,0.49266862170087977,0.4551044991638728
4,haryoaw/COPAL,0,eng,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.4862447639533567,0.49066820276497697,0.44589363411554794,0.4862324098907839,0.49016100178890876,0.44561346090242543
5,haryoaw/COPAL,1,eng,0.518783542039356,0.518783542039356,0.518783542039356,0.518783542039356,0.5312319080307666,0.5193356374807988,0.4684602523179815,0.5312679902510317,0.518783542039356,0.46816767505215945
6,haryoaw/COPAL,2,eng,0.554561717352415,0.554561717352415,0.554561717352415,0.554561717352415,0.5545634920634921,0.5545634920634921,0.554561717352415,0.5545652667745692,0.554561717352415,0.554561717352415
7,haryoaw/COPAL,3,eng,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5653028556793444,0.5652777777777778,0.5652450831346317,0.5653021569763433,0.5652951699463328,0.5652534309365819
8,MABL/id,0,eng,0.6157894736842106,0.6157894736842106,0.6157894736842106,0.6157894736842106,0.6170868347338936,0.6157894736842104,0.6147222222222222,0.6170868347338935,0.6157894736842106,0.6147222222222222
9,MABL/id,1,eng,0.6201754385964913,0.6201754385964913,0.6201754385964913,0.6201754385964913,0.622529098503416,0.6201754385964913,0.6183426256746967,0.6225290985034159,0.6201754385964913,0.6183426256746967
10,MABL/id,2,eng,0.6192982456140351,0.6192982456140351,0.6192982456140351,0.6192982456140351,0.6211249999999999,0.619298245614035,0.6178574187070363,0.621125,0.6192982456140351,0.6178574187070364
11,MABL/id,3,eng,0.6149122807017544,0.6149122807017544,0.6149122807017544,0.6149122807017544,0.6165222167778259,0.6149122807017544,0.6135775234709611,0.6165222167778259,0.6149122807017544,0.6135775234709611
12,MABL/jv,0,eng,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5346276374717207,0.5333333333333333,0.5289314595273612,0.5346276374717208,0.5333333333333333,0.5289314595273612
13,MABL/jv,1,eng,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5431158378844495,0.5416666666666666,0.5377827578962112,0.5431158378844495,0.5416666666666666,0.5377827578962113
14,MABL/jv,2,eng,0.535,0.535,0.535,0.535,0.5362173038229376,0.535,0.5310595980110653,0.5362173038229375,0.535,0.5310595980110653
15,MABL/jv,3,eng,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5428087078619619,0.5416666666666666,0.538589313728506,0.5428087078619619,0.5416666666666666,0.5385893137285059
16,MABL/su,0,eng,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5711111111111111,0.5533333333333333,0.5235555555555556,0.571111111111111,0.5533333333333333,0.5235555555555556
17,MABL/su,1,eng,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5593932748538012,0.5433333333333333,0.5102245102245103,0.5593932748538012,0.5433333333333333,0.5102245102245103
18,MABL/su,2,eng,0.545,0.545,0.545,0.545,0.5577589526376588,0.545,0.5184038527691779,0.5577589526376588,0.545,0.5184038527691778
19,MABL/su,3,eng,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5724156659223946,0.5533333333333333,0.5218327366154798,0.5724156659223945,0.5533333333333333,0.5218327366154799
20,IndoStoryCloze,0,eng,0.3894273127753304,0.3894273127753304,0.3894273127753304,0.3894273127753304,0.5,0.1947136563876652,0.2802790107799619,1.0,0.3894273127753304,0.5605580215599238
21,IndoStoryCloze,1,eng,0.3920704845814978,0.3920704845814978,0.3920704845814978,0.3920704845814978,0.5,0.1960352422907489,0.28164556962025317,1.0,0.3920704845814978,0.5632911392405063
22,IndoStoryCloze,2,eng,0.3859030837004405,0.3859030837004405,0.3859030837004405,0.3859030837004405,0.5,0.19295154185022026,0.2784488239033694,1.0,0.3859030837004405,0.5568976478067388
23,IndoStoryCloze,3,eng,0.3832599118942731,0.3832599118942731,0.38325991189427316,0.3832599118942731,0.5,0.19162995594713655,0.2770700636942675,1.0,0.3832599118942731,0.554140127388535
24,IndoMMLU,0,eng,0.2513183365596422,0.2513183365596422,0.2513183365596422,0.2513183365596422,0.2392065375110351,0.2061480069901994,0.13813992996116248,0.25131309325312234,0.2513183365596422,0.16430880444519905
25,IndoMMLU,1,eng,0.25185234630532005,0.25185234630532005,0.25185234630532005,0.25185234630532005,0.23927902741629242,0.20615745523602427,0.139325843020026,0.25354210120602383,0.25185234630532005,0.16675207175254333
26,IndoMMLU,2,eng,0.2500500634136573,0.2500500634136573,0.2500500634136573,0.2500500634136573,0.2431653907546453,0.20567788708637358,0.14105085824542832,0.25171203433968553,0.2500500634136573,0.1667432360851918
