index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.529682217714672,0.5151014791881665,0.4477380473297279,0.5296255098257323,0.5161290322580645,0.4483079722041307
1,MAPS,1,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5008896797153025,0.500515995872033,0.4423816852635629,0.5008922887467256,0.501466275659824,0.4429139788707364
2,MAPS,2,eng,0.5542521994134897,0.5542521994134897,0.5542521994134897,0.5542521994134897,0.570953032375741,0.5535259717922256,0.5247212441314554,0.570854210878923,0.5542521994134897,0.5250686671347735
3,MAPS,3,eng,0.5513196480938416,0.5513196480938416,0.5513196480938416,0.5513196480938416,0.5879913451135954,0.5503611971104231,0.49706469244339047,0.5878268980417579,0.5513196480938416,0.4975491116902695
4,haryoaw/COPAL,0,eng,0.5152057245080501,0.5152057245080501,0.5152057245080501,0.5152057245080501,0.5211626941571246,0.5156618023553508,0.481764659598997,0.521183595805016,0.5152057245080501,0.481529159141891
5,haryoaw/COPAL,1,eng,0.5456171735241503,0.5456171735241503,0.5456171735241503,0.5456171735241503,0.5638794265843446,0.546089349718382,0.5118608872631261,0.5639413325269217,0.5456171735241503,0.5116312526627109
6,haryoaw/COPAL,2,eng,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5653513153513153,0.5653161802355351,0.5652450831346317,0.5653556342286217,0.5652951699463328,0.5652367353326816
7,haryoaw/COPAL,3,eng,0.5849731663685152,0.5849731663685152,0.5849731663685152,0.5849731663685152,0.5850236906133948,0.5849910394265232,0.5849399595463041,0.5850282837265658,0.5849731663685152,0.5849333181818619
8,MABL/id,0,eng,0.6175438596491228,0.6175438596491228,0.6175438596491228,0.6175438596491228,0.6194497616634763,0.6175438596491227,0.6160121630140543,0.6194497616634763,0.6175438596491228,0.6160121630140541
9,MABL/id,1,eng,0.6131578947368421,0.6131578947368421,0.6131578947368421,0.6131578947368421,0.615044857011431,0.6131578947368421,0.6115651204423185,0.615044857011431,0.6131578947368421,0.6115651204423186
10,MABL/id,2,eng,0.6114035087719298,0.6114035087719298,0.6114035087719298,0.6114035087719298,0.6130602644476306,0.6114035087719298,0.6099746763883387,0.6130602644476306,0.6114035087719298,0.6099746763883387
11,MABL/id,3,eng,0.6114035087719298,0.6114035087719298,0.6114035087719298,0.6114035087719298,0.6135853686856483,0.6114035087719298,0.6095283676071377,0.6135853686856483,0.6114035087719298,0.6095283676071377
12,MABL/jv,0,eng,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5598011185656844,0.5583333333333333,0.5556064853503861,0.5598011185656844,0.5583333333333333,0.5556064853503861
13,MABL/jv,1,eng,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5681322674418605,0.5666666666666667,0.5643236963224452,0.5681322674418605,0.5666666666666667,0.5643236963224452
14,MABL/jv,2,eng,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5453995157384988,0.5433333333333333,0.5380776838698076,0.5453995157384988,0.5433333333333333,0.5380776838698076
15,MABL/jv,3,eng,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5533311924395867,0.5516666666666666,0.5481409106052504,0.5533311924395866,0.5516666666666666,0.5481409106052505
16,MABL/su,0,eng,0.565,0.565,0.565,0.565,0.5941862150021735,0.5650000000000001,0.5284709028005696,0.5941862150021735,0.565,0.5284709028005696
17,MABL/su,1,eng,0.56,0.56,0.56,0.56,0.5914882081865004,0.56,0.5185761524995137,0.5914882081865003,0.56,0.5185761524995137
18,MABL/su,2,eng,0.5683333333333334,0.5683333333333334,0.5683333333333334,0.5683333333333334,0.5990162773099773,0.5683333333333334,0.5320841525875385,0.5990162773099773,0.5683333333333334,0.5320841525875386
19,MABL/su,3,eng,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5774084000599291,0.5516666666666666,0.511014296923995,0.5774084000599292,0.5516666666666666,0.511014296923995
20,IndoStoryCloze,0,eng,0.4079295154185022,0.4079295154185022,0.4079295154185022,0.4079295154185022,0.5,0.2039647577092511,0.28973717146433037,1.0,0.4079295154185022,0.5794743429286607
21,IndoStoryCloze,1,eng,0.3964757709251101,0.3964757709251101,0.3964757709251101,0.3964757709251101,0.5,0.19823788546255505,0.28391167192429023,1.0,0.3964757709251101,0.5678233438485805
22,IndoStoryCloze,2,eng,0.3964757709251101,0.3964757709251101,0.3964757709251101,0.3964757709251101,0.5,0.19823788546255505,0.28391167192429023,1.0,0.3964757709251101,0.5678233438485805
23,IndoStoryCloze,3,eng,0.3814977973568282,0.3814977973568282,0.3814977973568282,0.3814977973568282,0.5,0.1907488986784141,0.2761479591836735,1.0,0.3814977973568282,0.552295918367347
24,IndoMMLU,0,eng,0.2569254388892597,0.2569254388892597,0.2569254388892597,0.2569254388892597,0.24221439410743315,0.20904510483473726,0.12613998196657472,0.2538415099069036,0.2569254388892597,0.15309899698590104
25,IndoMMLU,1,eng,0.25425539016087045,0.25425539016087045,0.25425539016087045,0.25425539016087045,0.24459237895229297,0.20772672340647041,0.13815136094894317,0.2558991284423634,0.25425539016087045,0.16613538005644987
26,IndoMMLU,2,eng,0.25619117548895265,0.25619117548895265,0.25619117548895265,0.25619117548895265,0.2510707842082463,0.20849931850336484,0.12159186156042352,0.27252896031687807,0.25619117548895265,0.1473285616405416
