index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.4809384164222874,0.4809384164222874,0.4809384164222874,0.4809384164222874,0.48083769633507856,0.4811145510835913,0.47914671084992366,0.48083523974758563,0.4809384164222874,0.4790571255713055
1,MAPS,1,eng,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5287932389937107,0.5151186790505676,0.45030628095782405,0.5287393487522825,0.5161290322580645,0.4508641008840973
2,MAPS,2,eng,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4820665928503638,0.48439972480220156,0.4668088130774698,0.4820519231357982,0.4838709677419355,0.466529105623954
3,MAPS,3,eng,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5074642338793283,0.5074303405572755,0.5068181818181818,0.5074700102089024,0.5073313782991202,0.506771527592642
4,haryoaw/COPAL,0,eng,0.4865831842576029,0.4865831842576029,0.4865831842576029,0.4865831842576029,0.4842132986304766,0.48695596518177164,0.46347964217038706,0.4842031274475276,0.4865831842576029,0.46328047370411796
5,haryoaw/COPAL,1,eng,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5302266788828939,0.5228046594982079,0.491362711587155,0.5302550735374507,0.5223613595706619,0.4911380837032165
6,haryoaw/COPAL,2,eng,0.5742397137745975,0.5742397137745975,0.5742397137745975,0.5742397137745975,0.5743935309973045,0.5741935483870968,0.5739329268292683,0.5743882269551422,0.5742397137745975,0.5739533792922902
7,haryoaw/COPAL,3,eng,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5654045523364726,0.5652521761392729,0.5650223353667323,0.5654005011368378,0.5652951699463328,0.5650418235509895
8,MABL/id,0,eng,0.5973684210526315,0.5973684210526315,0.5973684210526315,0.5973684210526315,0.5999150398428394,0.5973684210526315,0.5947864160598582,0.5999150398428396,0.5973684210526315,0.5947864160598582
9,MABL/id,1,eng,0.5868421052631579,0.5868421052631579,0.5868421052631579,0.5868421052631579,0.5888171873770363,0.5868421052631578,0.5845323532256506,0.5888171873770363,0.5868421052631579,0.5845323532256506
10,MABL/id,2,eng,0.6175438596491228,0.6175438596491228,0.6175438596491228,0.6175438596491228,0.6204139287921402,0.6175438596491228,0.6152512354318128,0.6204139287921401,0.6175438596491228,0.6152512354318128
11,MABL/id,3,eng,0.6175438596491228,0.6175438596491228,0.6175438596491228,0.6175438596491228,0.621591676112123,0.6175438596491227,0.6143341320190194,0.6215916761121228,0.6175438596491228,0.6143341320190194
12,MABL/jv,0,eng,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5527503942099352,0.5516666666666666,0.549352088923387,0.5527503942099352,0.5516666666666666,0.549352088923387
13,MABL/jv,1,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5273672687465791,0.5266666666666666,0.52361782071927,0.527367268746579,0.5266666666666666,0.52361782071927
14,MABL/jv,2,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5376299945265463,0.5366666666666666,0.5336822329575952,0.5376299945265463,0.5366666666666666,0.5336822329575953
15,MABL/jv,3,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5378024193548387,0.5366666666666666,0.533160180914424,0.5378024193548386,0.5366666666666666,0.533160180914424
16,MABL/su,0,eng,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5597207539916802,0.5483333333333333,0.5257249029427807,0.5597207539916802,0.5483333333333333,0.5257249029427807
17,MABL/su,1,eng,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5696665295452434,0.5583333333333333,0.5396095077875487,0.5696665295452434,0.5583333333333333,0.5396095077875487
18,MABL/su,2,eng,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5549636394385253,0.5433333333333333,0.5178263470946398,0.5549636394385252,0.5433333333333333,0.5178263470946397
19,MABL/su,3,eng,0.54,0.54,0.54,0.54,0.5496031746031746,0.54,0.5166036149642708,0.5496031746031746,0.54,0.5166036149642708
20,IndoStoryCloze,0,eng,0.44757709251101324,0.44757709251101324,0.44757709251101324,0.44757709251101324,0.5,0.22378854625550662,0.3091905051734632,1.0,0.44757709251101324,0.6183810103469264
21,IndoStoryCloze,1,eng,0.4458149779735683,0.4458149779735683,0.4458149779735683,0.4458149779735683,0.5,0.22290748898678414,0.30834856794637416,1.0,0.4458149779735683,0.6166971358927483
22,IndoStoryCloze,2,eng,0.40881057268722465,0.40881057268722465,0.40881057268722465,0.40881057268722465,0.5,0.20440528634361232,0.29018136335209505,1.0,0.40881057268722465,0.5803627267041901
23,IndoStoryCloze,3,eng,0.41409691629955947,0.41409691629955947,0.41409691629955947,0.41409691629955947,0.5,0.20704845814977973,0.29283489096573206,1.0,0.41409691629955947,0.5856697819314641
24,IndoMMLU,0,eng,0.24237367331953807,0.24237367331953807,0.24237367331953807,0.24237367331953807,0.22259943120505699,0.20836236988219775,0.1557454842263108,0.2349525301985466,0.24237367331953807,0.17053683620854146
25,IndoMMLU,1,eng,0.2451104732661371,0.2451104732661371,0.2451104732661371,0.2451104732661371,0.22186938399295872,0.20159267728289273,0.10712300919270615,0.23069530010475825,0.2451104732661371,0.12492794727201956
26,IndoMMLU,2,eng,0.24544422935718577,0.24544422935718577,0.24544422935718577,0.24544422935718577,0.22095508266663105,0.20003915213339218,0.09744342744165421,0.23991186413177165,0.24544422935718577,0.1168882703465158
