index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.5425219941348973,0.5425219941348973,0.5425219941348973,0.5425219941348973,0.5652068519715578,0.541640866873065,0.49659323188734955,0.5650961941284522,0.5425219941348973,0.4970391422004325
1,MAPS,1,eng,0.5278592375366569,0.5278592375366569,0.5278592375366569,0.5278592375366569,0.5393984962406015,0.5270381836945304,0.487218045112782,0.5393380812735651,0.5278592375366569,0.4876413908671974
2,MAPS,2,eng,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6047967479674796,0.5443412452700378,0.46815789738481195,0.6045676274944568,0.5454545454545454,0.4687524869853484
3,MAPS,3,eng,0.5542521994134897,0.5542521994134897,0.5542521994134897,0.5542521994134897,0.570953032375741,0.5535259717922256,0.5247212441314554,0.570854210878923,0.5542521994134897,0.5250686671347735
4,haryoaw/COPAL,0,eng,0.46869409660107336,0.46869409660107336,0.46869409660107336,0.46869409660107336,0.4675488468930173,0.46887480798771125,0.46330795713523737,0.4675387119398487,0.46869409660107336,0.46321177607334746
5,haryoaw/COPAL,1,eng,0.48300536672629696,0.48300536672629696,0.48300536672629696,0.48300536672629696,0.48244083538857113,0.48286610343061953,0.47978231818255,0.482447324254522,0.48300536672629696,0.479855569285817
6,haryoaw/COPAL,2,eng,0.4991055456171735,0.4991055456171735,0.4991055456171735,0.4991055456171735,0.49912280701754386,0.4991231438812084,0.4990654684179533,0.4991243762357593,0.4991055456171735,0.4990574529781093
7,haryoaw/COPAL,3,eng,0.5205724508050089,0.5205724508050089,0.5205724508050089,0.5205724508050089,0.5206112932978069,0.5205965181771633,0.5204972602038204,0.5206138827973268,0.5205724508050089,0.5204865186893649
8,MABL/id,0,eng,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5264460253634395,0.5263157894736842,0.5257318952234206,0.5264460253634395,0.5263157894736842,0.5257318952234206
9,MABL/id,1,eng,0.5350877192982456,0.5350877192982456,0.5350877192982456,0.5350877192982456,0.5351608764311093,0.5350877192982456,0.534845764648278,0.5351608764311093,0.5350877192982456,0.534845764648278
10,MABL/id,2,eng,0.5403508771929825,0.5403508771929825,0.5403508771929825,0.5403508771929825,0.5405124782141135,0.5403508771929825,0.5398920437740313,0.5405124782141135,0.5403508771929825,0.5398920437740314
11,MABL/id,3,eng,0.5394736842105263,0.5394736842105263,0.5394736842105263,0.5394736842105263,0.5397212543554006,0.5394736842105263,0.5387549852609677,0.5397212543554007,0.5394736842105263,0.5387549852609677
12,MABL/jv,0,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5372023809523809,0.5366666666666666,0.5349926401712832,0.5372023809523809,0.5366666666666666,0.5349926401712832
13,MABL/jv,1,eng,0.535,0.535,0.535,0.535,0.5354286871140803,0.5349999999999999,0.5335891070488227,0.5354286871140803,0.535,0.5335891070488227
14,MABL/jv,2,eng,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5169101731601731,0.5166666666666666,0.5149203800347919,0.5169101731601732,0.5166666666666667,0.5149203800347919
15,MABL/jv,3,eng,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5236369366530098,0.5233333333333333,0.5217977728483687,0.5236369366530098,0.5233333333333333,0.5217977728483686
16,MABL/su,0,eng,0.525,0.525,0.525,0.525,0.5306710833026622,0.525,0.5019789782705565,0.5306710833026623,0.525,0.5019789782705565
17,MABL/su,1,eng,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5220379051969387,0.5183333333333333,0.49720330210426505,0.5220379051969387,0.5183333333333333,0.497203302104265
18,MABL/su,2,eng,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5221848739495798,0.5183333333333333,0.49647912885662426,0.5221848739495798,0.5183333333333333,0.4964791288566244
19,MABL/su,3,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5326016083460117,0.5266666666666666,0.5040975973179362,0.5326016083460117,0.5266666666666666,0.5040975973179362
20,IndoStoryCloze,0,eng,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.5,0.17444933920704847,0.25865447419986937,1.0,0.34889867841409694,0.5173089483997387
21,IndoStoryCloze,1,eng,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.34889867841409694,0.5,0.17444933920704847,0.25865447419986937,1.0,0.34889867841409694,0.5173089483997387
22,IndoStoryCloze,2,eng,0.3541850220264317,0.3541850220264317,0.3541850220264317,0.3541850220264317,0.5,0.17709251101321585,0.2615484710474951,1.0,0.3541850220264317,0.5230969420949902
23,IndoStoryCloze,3,eng,0.3383259911894273,0.3383259911894273,0.3383259911894273,0.3383259911894273,0.5,0.16916299559471365,0.25279789335088876,1.0,0.3383259911894273,0.5055957867017775
24,IndoMMLU,0,eng,0.25031706828649625,0.25031706828649625,0.25031706828649625,0.25031706828649625,0.23874849199832004,0.2040271353020234,0.10158820715390209,0.24910831350888837,0.25031706828649625,0.12184317056219746
25,IndoMMLU,1,eng,0.25225285361457844,0.25225285361457844,0.25225285361457844,0.25225285361457844,0.24167391079333359,0.2065783006725101,0.11296346992275028,0.2583637410762032,0.25225285361457844,0.1337839045902394
26,IndoMMLU,2,eng,0.25358787797877314,0.25358787797877314,0.25358787797877314,0.25358787797877314,0.2545051543439435,0.20817299502742498,0.12108843224324066,0.2709070053925446,0.25358787797877314,0.14271646215212758
