index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.5601173020527859,0.5601173020527859,0.5601173020527859,0.5601173020527859,0.582632857009433,0.5608703130374957,0.5294907645890058,0.582761517323471,0.5601173020527859,0.5291387354227555
1,MAPS,1,eng,0.5659824046920822,0.5659824046920822,0.5659824046920822,0.5659824046920822,0.593777176538796,0.5667698658410733,0.5327037037037037,0.5939290605379584,0.5659824046920822,0.5323380036928425
2,MAPS,2,eng,0.5777126099706745,0.5777126099706745,0.5777126099706745,0.5777126099706745,0.5853305785123967,0.5781389748882009,0.5688092729188619,0.5854075276895857,0.5777126099706745,0.5686275721627023
3,MAPS,3,eng,0.5747800586510264,0.5747800586510264,0.5747800586510264,0.5747800586510264,0.6017000185288124,0.5755245958032336,0.5458970473435276,0.6018556252333082,0.5747800586510264,0.5455611983748357
4,haryoaw/COPAL,0,eng,0.481216457960644,0.481216457960644,0.481216457960644,0.481216457960644,0.4795791554865132,0.4814900153609831,0.4689375475011138,0.47956958061824345,0.481216457960644,0.46879308973100164
5,haryoaw/COPAL,1,eng,0.5044722719141324,0.5044722719141324,0.5044722719141324,0.5044722719141324,0.504427704594959,0.5043714797747056,0.5028430890941608,0.5044284120127236,0.5044722719141324,0.5028940010572849
6,haryoaw/COPAL,2,eng,0.5313059033989267,0.5313059033989267,0.5313059033989267,0.5313059033989267,0.5313725490196078,0.5313364055299539,0.5311843790012805,0.5313760566838542,0.5313059033989267,0.5311708762904308
7,haryoaw/COPAL,3,eng,0.5330948121645797,0.5330948121645797,0.5330948121645797,0.5330948121645797,0.5331752339443661,0.5331285202252944,0.5329453455875997,0.5331790635529273,0.5330948121645797,0.5329303989299018
8,MABL/id,0,eng,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.553799977347378,0.5526315789473684,0.5501893939393939,0.553799977347378,0.5526315789473685,0.5501893939393938
9,MABL/id,1,eng,0.5587719298245614,0.5587719298245614,0.5587719298245614,0.5587719298245614,0.5596459662833957,0.5587719298245615,0.5571495761249081,0.5596459662833956,0.5587719298245614,0.5571495761249081
10,MABL/id,2,eng,0.5605263157894737,0.5605263157894737,0.5605263157894737,0.5605263157894737,0.5617737694721665,0.5605263157894737,0.558296385491853,0.5617737694721664,0.5605263157894737,0.5582963854918529
11,MABL/id,3,eng,0.5570175438596491,0.5570175438596491,0.5570175438596491,0.5570175438596491,0.558377530086881,0.5570175438596491,0.5544224558079489,0.558377530086881,0.5570175438596491,0.5544224558079488
12,MABL/jv,0,eng,0.535,0.535,0.535,0.535,0.5350471189043047,0.535,0.5348436557843053,0.5350471189043047,0.535,0.5348436557843053
13,MABL/jv,1,eng,0.545,0.545,0.545,0.545,0.5450245133461551,0.5449999999999999,0.5449380610138602,0.5450245133461552,0.545,0.5449380610138602
14,MABL/jv,2,eng,0.52,0.52,0.52,0.52,0.5200320512820513,0.52,0.5198079231692677,0.5200320512820513,0.52,0.5198079231692677
15,MABL/jv,3,eng,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216861842324759,0.5216666666666667,0.521559017445592,0.5216861842324759,0.5216666666666666,0.521559017445592
16,MABL/su,0,eng,0.535,0.535,0.535,0.535,0.5449236298292902,0.535,0.5078193220608082,0.5449236298292902,0.535,0.5078193220608082
17,MABL/su,1,eng,0.525,0.525,0.525,0.525,0.5306710833026622,0.525,0.5019789782705565,0.5306710833026623,0.525,0.5019789782705565
18,MABL/su,2,eng,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5391931438127091,0.5333333333333333,0.5152130753959093,0.5391931438127091,0.5333333333333333,0.5152130753959092
19,MABL/su,3,eng,0.525,0.525,0.525,0.525,0.5296681127124566,0.525,0.5055502705015917,0.5296681127124566,0.525,0.5055502705015917
20,IndoStoryCloze,0,eng,0.38502202643171807,0.38502202643171807,0.3850220264317181,0.38502202643171807,0.5,0.19251101321585903,0.2779898218829516,1.0,0.38502202643171807,0.5559796437659033
21,IndoStoryCloze,1,eng,0.3832599118942731,0.3832599118942731,0.38325991189427316,0.3832599118942731,0.5,0.19162995594713655,0.2770700636942675,1.0,0.3832599118942731,0.554140127388535
22,IndoStoryCloze,2,eng,0.37092511013215856,0.37092511013215856,0.37092511013215856,0.37092511013215856,0.5,0.18546255506607928,0.2705655526992288,1.0,0.37092511013215856,0.5411311053984575
23,IndoStoryCloze,3,eng,0.3629955947136564,0.3629955947136564,0.3629955947136564,0.3629955947136564,0.5,0.1814977973568282,0.2663219133807369,1.0,0.3629955947136564,0.5326438267614738
