index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.4809384164222874,0.4809384164222874,0.4809384164222874,0.4809384164222874,0.4008653846153846,0.48226694186446506,0.3479500891265597,0.4006062485901195,0.4809384164222874,0.34708652855970434
1,MAPS,1,eng,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.39927298311444653,0.4852253181974544,0.3450323031255456,0.39900441808388304,0.4838709677419355,0.34414798042098266
2,MAPS,2,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5833333333333333,0.502906776745786,0.34417141822789393,0.5835777126099707,0.501466275659824,0.34322953285405006
3,MAPS,3,eng,0.4897360703812317,0.4897360703812317,0.4897360703812317,0.4897360703812317,0.42878787878787883,0.4911076711386309,0.34797802197802197,0.4285968186261441,0.4897360703812317,0.3470864619251716
4,haryoaw/COPAL,0,eng,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.4847912733375288,0.4907194060419867,0.4354635814390248,0.4847758872961208,0.49016100178890876,0.43514922844850823
5,haryoaw/COPAL,1,eng,0.4669051878354204,0.4669051878354204,0.4669051878354204,0.4669051878354204,0.4639554168774948,0.46717229902713775,0.4548875625016362,0.46393775357834555,0.4669051878354204,0.45474277183496403
6,haryoaw/COPAL,2,eng,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.4901638286893705,0.4902393753200205,0.48921947387826425,0.4901638863812166,0.49016100178890876,0.489180243548654
7,haryoaw/COPAL,3,eng,0.5062611806797853,0.5062611806797853,0.5062611806797853,0.5062611806797853,0.5063420464183823,0.5063172043010753,0.5058041205412054,0.5063443568680565,0.5062611806797853,0.5057772346507007
8,MABL/id,0,eng,0.5149122807017544,0.5149122807017544,0.5149122807017544,0.5149122807017544,0.5149753810299477,0.5149122807017544,0.514400749943577,0.5149753810299477,0.5149122807017544,0.514400749943577
9,MABL/id,1,eng,0.5184210526315789,0.5184210526315789,0.5184210526315789,0.5184210526315789,0.5185076953048899,0.518421052631579,0.5178567714291658,0.51850769530489,0.5184210526315789,0.5178567714291656
10,MABL/id,2,eng,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5159022430532307,0.5157894736842105,0.5149295149295149,0.5159022430532307,0.5157894736842106,0.5149295149295149
11,MABL/id,3,eng,0.525438596491228,0.525438596491228,0.525438596491228,0.525438596491228,0.5255981416957027,0.525438596491228,0.5246979943355876,0.5255981416957027,0.525438596491228,0.5246979943355876
12,MABL/jv,0,eng,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5217074283933163,0.5216666666666667,0.5214420102770467,0.5217074283933164,0.5216666666666666,0.5214420102770467
13,MABL/jv,1,eng,0.52,0.52,0.52,0.52,0.5200436506168991,0.52,0.5197385243076786,0.520043650616899,0.52,0.5197385243076786
14,MABL/jv,2,eng,0.515,0.515,0.515,0.515,0.5150375939849624,0.515,0.5146966854283928,0.5150375939849624,0.515,0.5146966854283928
15,MABL/jv,3,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5267094017094017,0.5266666666666666,0.5264772575696945,0.5267094017094017,0.5266666666666666,0.5264772575696944
16,MABL/su,0,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5445199935243645,0.5366666666666666,0.515290999755902,0.5445199935243645,0.5366666666666666,0.515290999755902
17,MABL/su,1,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5323781771086289,0.5266666666666666,0.5048296544268926,0.5323781771086289,0.5266666666666666,0.5048296544268926
18,MABL/su,2,eng,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5396825396825398,0.5333333333333333,0.5138888888888888,0.5396825396825398,0.5333333333333333,0.5138888888888888
19,MABL/su,3,eng,0.525,0.525,0.525,0.525,0.5304585019831869,0.525,0.502720496930535,0.5304585019831869,0.525,0.5027204969305349
20,IndoStoryCloze,0,eng,0.34273127753303967,0.34273127753303967,0.34273127753303967,0.34273127753303967,0.5,0.17136563876651983,0.25524934383202097,1.0,0.34273127753303967,0.5104986876640419
21,IndoStoryCloze,1,eng,0.34008810572687226,0.34008810572687226,0.34008810572687226,0.34008810572687226,0.5,0.17004405286343613,0.25378040762656146,1.0,0.34008810572687226,0.5075608152531229
22,IndoStoryCloze,2,eng,0.3356828193832599,0.3356828193832599,0.3356828193832599,0.3356828193832599,0.5,0.16784140969162994,0.2513192612137203,1.0,0.3356828193832599,0.5026385224274406
23,IndoStoryCloze,3,eng,0.34008810572687226,0.34008810572687226,0.34008810572687226,0.34008810572687226,0.5,0.17004405286343613,0.25378040762656146,1.0,0.34008810572687226,0.5075608152531229
24,IndoMMLU,0,eng,0.25031706828649625,0.25031706828649625,0.25031706828649625,0.25031706828649625,0.23842967959621011,0.21163424605954378,0.17358720309005654,0.24831293659101206,0.25031706828649625,0.19701035891434984
25,IndoMMLU,1,eng,0.2520525999599493,0.2520525999599493,0.2520525999599493,0.2520525999599493,0.24036290292869963,0.20836427387756923,0.1571377072141764,0.2536272306515262,0.2520525999599493,0.18497182591578962
26,IndoMMLU,2,eng,0.25218610239636874,0.25218610239636874,0.25218610239636874,0.25218610239636874,0.2417013537270915,0.2090893125811628,0.16153668525799145,0.254951924537836,0.25218610239636874,0.1893004613735935
