index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.744296788482835,0.72765737874097,0.7226551226551226,0.7444880700694654,0.7272727272727273,0.7225501770956316
1,MAPS,1,eng,0.7243401759530792,0.7243401759530792,0.7243401759530792,0.7243401759530792,0.7348256023013304,0.7246474028207774,0.72140522875817,0.7349732843625735,0.7243401759530792,0.7213213731240298
2,MAPS,2,eng,0.6950146627565983,0.6950146627565983,0.6950146627565983,0.6950146627565983,0.7186610234705656,0.6954936360509116,0.6868686868686869,0.718874053747268,0.6950146627565983,0.6867205782161795
3,MAPS,3,eng,0.6920821114369502,0.6920821114369502,0.6920821114369502,0.6920821114369502,0.712700463631527,0.6925352597179222,0.6847513140864787,0.712896828890523,0.6920821114369502,0.6846103372143544
4,haryoaw/COPAL,0,eng,0.552772808586762,0.552772808586762,0.552772808586762,0.552772808586762,0.5543589743589743,0.5529185867895545,0.5498556961372949,0.5543764047520756,0.552772808586762,0.5497908714161956
5,haryoaw/COPAL,1,eng,0.592128801431127,0.592128801431127,0.592128801431127,0.592128801431127,0.593416139404626,0.5922299027137736,0.5908705701078583,0.5934365733407134,0.592128801431127,0.5908299820006561
6,haryoaw/COPAL,2,eng,0.5456171735241503,0.5456171735241503,0.5456171735241503,0.5456171735241503,0.5458076527991782,0.5456669226830517,0.5452897622463619,0.545813797291921,0.5456171735241503,0.5452679348278426
7,haryoaw/COPAL,3,eng,0.5617173524150268,0.5617173524150268,0.5617173524150268,0.5617173524150268,0.5618382258684784,0.5617511520737327,0.5615770485400842,0.5618439817472142,0.5617173524150268,0.5615630181525897
8,MABL/id,0,eng,0.5991228070175438,0.5991228070175438,0.5991228070175438,0.5991228070175438,0.6005115305030102,0.5991228070175438,0.5977333216998388,0.6005115305030102,0.5991228070175438,0.597733321699839
9,MABL/id,1,eng,0.5877192982456141,0.5877192982456141,0.5877192982456141,0.5877192982456141,0.5888392912806573,0.5877192982456141,0.5864157887586607,0.5888392912806574,0.5877192982456141,0.5864157887586607
10,MABL/id,2,eng,0.6149122807017544,0.6149122807017544,0.6149122807017544,0.6149122807017544,0.6168284982054066,0.6149122807017544,0.6133267298734192,0.6168284982054066,0.6149122807017544,0.6133267298734192
11,MABL/id,3,eng,0.6,0.6,0.6,0.6,0.601714335804448,0.6,0.5983074264908154,0.601714335804448,0.6,0.5983074264908154
12,MABL/jv,0,eng,0.54,0.54,0.54,0.54,0.5402576489533011,0.54,0.5392628205128205,0.5402576489533012,0.54,0.5392628205128205
13,MABL/jv,1,eng,0.545,0.545,0.545,0.545,0.5453146853146853,0.5449999999999999,0.5442086956521739,0.5453146853146853,0.545,0.5442086956521739
14,MABL/jv,2,eng,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5267630135153218,0.5266666666666666,0.5262402829212959,0.5267630135153218,0.5266666666666666,0.5262402829212959
15,MABL/jv,3,eng,0.525,0.525,0.525,0.525,0.525123103205708,0.525,0.5244174113288779,0.525123103205708,0.525,0.5244174113288779
16,MABL/su,0,eng,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.551859329839167,0.5416666666666666,0.5179821857901149,0.5518593298391669,0.5416666666666666,0.5179821857901149
17,MABL/su,1,eng,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5514834086135175,0.5416666666666666,0.5187245325065118,0.5514834086135175,0.5416666666666666,0.5187245325065118
18,MABL/su,2,eng,0.55,0.55,0.55,0.55,0.5584385226741468,0.55,0.5331465919701215,0.5584385226741468,0.55,0.5331465919701215
19,MABL/su,3,eng,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5679778845282335,0.5583333333333333,0.5420915759249607,0.5679778845282335,0.5583333333333333,0.5420915759249607
20,IndoStoryCloze,0,eng,0.39559471365638765,0.39559471365638765,0.39559471365638765,0.39559471365638765,0.5,0.19779735682819383,0.2834595959595959,1.0,0.39559471365638765,0.5669191919191918
21,IndoStoryCloze,1,eng,0.3832599118942731,0.3832599118942731,0.38325991189427316,0.3832599118942731,0.5,0.19162995594713655,0.2770700636942675,1.0,0.3832599118942731,0.554140127388535
22,IndoStoryCloze,2,eng,0.3814977973568282,0.3814977973568282,0.3814977973568282,0.3814977973568282,0.5,0.1907488986784141,0.2761479591836735,1.0,0.3814977973568282,0.552295918367347
23,IndoStoryCloze,3,eng,0.3726872246696035,0.3726872246696035,0.37268722466960347,0.3726872246696035,0.5,0.18634361233480176,0.27150192554557123,1.0,0.3726872246696035,0.5430038510911425
