index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.8621700879765396,0.8621700879765396,0.8621700879765395,0.8621700879765396,0.8627532038032244,0.8622291021671826,0.8621274033291755,0.8627980588668157,0.8621700879765396,0.8621202892212815
1,MAPS,1,eng,0.8621700879765396,0.8621700879765396,0.8621700879765395,0.8621700879765396,0.8631457341885648,0.8622463020295837,0.8620941858764208,0.8632031251422133,0.8621700879765396,0.8620846981139061
2,MAPS,2,eng,0.8680351906158358,0.8680351906158358,0.8680351906158358,0.8680351906158358,0.8690254500310366,0.8681114551083591,0.8679625183923179,0.8690837005848719,0.8680351906158358,0.8679534343643782
3,MAPS,3,eng,0.8592375366568915,0.8592375366568915,0.8592375366568915,0.8592375366568915,0.8599986213552078,0.8593051255589955,0.859178195333471,0.8600493603350956,0.8592375366568915,0.8591697180015538
4,haryoaw/COPAL,0,eng,0.7066189624329159,0.7066189624329159,0.7066189624329159,0.7066189624329159,0.7070062060829871,0.7066564260112647,0.7065053143808426,0.707023042763425,0.7066189624329159,0.7064949827397451
5,haryoaw/COPAL,1,eng,0.7191413237924866,0.7191413237924866,0.7191413237924866,0.7191413237924866,0.724986866298923,0.719284434203789,0.7173903943067832,0.7250525465518043,0.7191413237924866,0.7173506004548352
6,haryoaw/COPAL,2,eng,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5654210998589925,0.5653289810547875,0.5651560114091446,0.5654270965215001,0.5652951699463328,0.5651420955554258
7,haryoaw/COPAL,3,eng,0.590339892665474,0.590339892665474,0.590339892665474,0.590339892665474,0.5903551220011778,0.5903481822836661,0.5903346486301391,0.5903581678683185,0.590339892665474,0.5903320266124716
8,MABL/id,0,eng,0.6517543859649123,0.6517543859649123,0.6517543859649123,0.6517543859649123,0.6545751808158109,0.6517543859649123,0.6501583478334136,0.6545751808158109,0.6517543859649123,0.6501583478334136
9,MABL/id,1,eng,0.6307017543859649,0.6307017543859649,0.6307017543859649,0.6307017543859649,0.632761623090174,0.630701754385965,0.6292637106535894,0.6327616230901741,0.6307017543859649,0.6292637106535894
10,MABL/id,2,eng,0.6640350877192982,0.6640350877192982,0.6640350877192982,0.6640350877192982,0.6675885425346921,0.6640350877192982,0.6622446935161842,0.6675885425346921,0.6640350877192982,0.6622446935161842
11,MABL/id,3,eng,0.6368421052631579,0.6368421052631579,0.6368421052631579,0.6368421052631579,0.6401833797878647,0.6368421052631579,0.6346651639191985,0.6401833797878647,0.6368421052631579,0.6346651639191985
12,MABL/jv,0,eng,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5530827977488327,0.5516666666666666,0.5486564559744295,0.5530827977488328,0.5516666666666666,0.5486564559744295
13,MABL/jv,1,eng,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5551191952597492,0.5533333333333333,0.5496857882178983,0.5551191952597493,0.5533333333333333,0.5496857882178984
14,MABL/jv,2,eng,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5433333333333333,0.5446755865102639,0.5433333333333333,0.5398773006134969,0.5446755865102639,0.5433333333333333,0.539877300613497
15,MABL/jv,3,eng,0.545,0.545,0.545,0.545,0.5462334044909188,0.545,0.5419450278104804,0.5462334044909188,0.545,0.5419450278104804
16,MABL/su,0,eng,0.56,0.56,0.56,0.56,0.5744047619047619,0.56,0.537620849096259,0.5744047619047619,0.56,0.537620849096259
17,MABL/su,1,eng,0.565,0.565,0.565,0.565,0.5797448165869219,0.565,0.5439175906267202,0.5797448165869219,0.565,0.5439175906267201
18,MABL/su,2,eng,0.555,0.555,0.555,0.555,0.5705942754460275,0.555,0.5289883834775476,0.5705942754460275,0.555,0.5289883834775476
19,MABL/su,3,eng,0.555,0.555,0.555,0.555,0.5730099264000944,0.5549999999999999,0.525753480620132,0.5730099264000944,0.555,0.525753480620132
20,IndoStoryCloze,0,eng,0.4290748898678414,0.4290748898678414,0.4290748898678414,0.4290748898678414,0.5,0.2145374449339207,0.3002466091245376,1.0,0.4290748898678414,0.6004932182490752
21,IndoStoryCloze,1,eng,0.4211453744493392,0.4211453744493392,0.4211453744493392,0.4211453744493392,0.5,0.2105726872246696,0.296342219466832,1.0,0.4211453744493392,0.592684438933664
22,IndoStoryCloze,2,eng,0.4211453744493392,0.4211453744493392,0.4211453744493392,0.4211453744493392,0.5,0.2105726872246696,0.296342219466832,1.0,0.4211453744493392,0.592684438933664
23,IndoStoryCloze,3,eng,0.4211453744493392,0.4211453744493392,0.4211453744493392,0.4211453744493392,0.5,0.2105726872246696,0.296342219466832,1.0,0.4211453744493392,0.592684438933664
24,IndoMMLU,0,eng,0.40297710433215406,0.40297710433215406,0.40297710433215406,0.40297710433215406,0.5086050322023791,0.38527418490361465,0.3624826563798484,0.5265288785624521,0.40297710433215406,0.37326018819689255
25,IndoMMLU,1,eng,0.39570122154729326,0.39570122154729326,0.39570122154729326,0.39570122154729326,0.5386225187623955,0.36926779348659633,0.34892456868148136,0.5566466302643056,0.39570122154729326,0.3613184534909318
26,IndoMMLU,2,eng,0.40584740671517255,0.40584740671517255,0.4058474067151725,0.40584740671517255,0.529649161142494,0.38428091999910513,0.36390293871604545,0.549479936065405,0.40584740671517255,0.37554782404012244
