index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.54720406681191,0.5089439284485724,0.3847890671420083,0.5470837406321277,0.5102639296187683,0.38560383897627293
1,MAPS,1,eng,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5451612903225806,0.5149294805641554,0.4180345672882987,0.545057232049948,0.5161290322580645,0.4187352420380827
2,MAPS,2,eng,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5207551594746717,0.5030443756449948,0.36891268876550914,0.5207032346096075,0.5043988269794721,0.36977019596939503
3,MAPS,3,eng,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5290671971706454,0.509047127622979,0.40752416325936097,0.5290007545291193,0.5102639296187683,0.4082476827407652
4,haryoaw/COPAL,0,eng,0.5062611806797853,0.5062611806797853,0.5062611806797853,0.5062611806797853,0.5154289299566507,0.5069252432155658,0.427797887491099,0.5154510209187636,0.5062611806797853,0.42741883776554973
5,haryoaw/COPAL,1,eng,0.5044722719141324,0.5044722719141324,0.5044722719141324,0.5044722719141324,0.5060763334397955,0.5048707117255504,0.4788273505999563,0.5060827754539549,0.5044722719141324,0.4786205367183903
6,haryoaw/COPAL,2,eng,0.6171735241502684,0.6171735241502684,0.6171735241502684,0.6171735241502684,0.617236521961839,0.6171915002560164,0.6171428937194356,0.6172422490356181,0.6171735241502684,0.6171367676332691
7,haryoaw/COPAL,3,eng,0.6028622540250447,0.6028622540250447,0.6028622540250447,0.6028622540250447,0.6029302480524805,0.6028353814644137,0.6027592829705506,0.6029262484038079,0.6028622540250447,0.6027707241988277
8,MABL/id,0,eng,0.5912280701754385,0.5912280701754385,0.5912280701754385,0.5912280701754385,0.5937784752455199,0.5912280701754387,0.5884297981660473,0.5937784752455199,0.5912280701754385,0.5884297981660475
9,MABL/id,1,eng,0.593859649122807,0.593859649122807,0.593859649122807,0.593859649122807,0.5978423036817198,0.593859649122807,0.5896841900689924,0.5978423036817198,0.593859649122807,0.5896841900689924
10,MABL/id,2,eng,0.6140350877192983,0.6140350877192983,0.6140350877192983,0.6140350877192983,0.6187865497076024,0.6140350877192983,0.6101364522417154,0.6187865497076024,0.6140350877192983,0.6101364522417154
11,MABL/id,3,eng,0.5973684210526315,0.5973684210526315,0.5973684210526315,0.5973684210526315,0.600272274010986,0.5973684210526315,0.5944321422177026,0.600272274010986,0.5973684210526315,0.5944321422177027
12,MABL/jv,0,eng,0.53,0.53,0.53,0.53,0.5307223157798917,0.53,0.5272211107509697,0.5307223157798918,0.53,0.5272211107509697
13,MABL/jv,1,eng,0.52,0.52,0.52,0.52,0.5203619909502263,0.52,0.5178571428571428,0.5203619909502263,0.52,0.5178571428571428
14,MABL/jv,2,eng,0.51,0.51,0.51,0.51,0.5102198401162791,0.51,0.5073506412261496,0.5102198401162791,0.51,0.5073506412261495
15,MABL/jv,3,eng,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5185312054268354,0.5183333333333333,0.5170441094142977,0.5185312054268354,0.5183333333333333,0.5170441094142977
16,MABL/su,0,eng,0.51,0.51,0.51,0.51,0.5121418164157359,0.51,0.4873940788785438,0.5121418164157358,0.51,0.48739407887854386
17,MABL/su,1,eng,0.51,0.51,0.51,0.51,0.512311901504788,0.51,0.4858641795394929,0.512311901504788,0.51,0.4858641795394929
18,MABL/su,2,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5369699166364625,0.5283333333333333,0.49907810310494877,0.5369699166364625,0.5283333333333333,0.4990781031049488
19,MABL/su,3,eng,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.529368986350414,0.5233333333333333,0.4975168665667167,0.529368986350414,0.5233333333333333,0.4975168665667167
20,IndoStoryCloze,0,eng,0.49162995594713654,0.49162995594713654,0.49162995594713654,0.49162995594713654,0.5,0.24581497797356827,0.3295924394565859,1.0,0.49162995594713654,0.6591848789131718
21,IndoStoryCloze,1,eng,0.49251101321585905,0.49251101321585905,0.49251101321585905,0.49251101321585905,0.5,0.24625550660792953,0.3299881936245573,1.0,0.49251101321585905,0.6599763872491146
22,IndoStoryCloze,2,eng,0.4440528634361233,0.4440528634361233,0.4440528634361233,0.4440528634361233,0.5,0.22202643171806166,0.30750457596095176,1.0,0.4440528634361233,0.6150091519219035
23,IndoStoryCloze,3,eng,0.4325991189427313,0.4325991189427313,0.4325991189427313,0.4325991189427313,0.5,0.21629955947136564,0.30196801968019676,1.0,0.4325991189427313,0.6039360393603935
24,IndoMMLU,0,eng,0.2455109805753955,0.2455109805753955,0.2455109805753955,0.2455109805753955,0.2312482589745141,0.20709742544438997,0.1765016242164931,0.24106167248149116,0.2455109805753955,0.20629665298182304
25,IndoMMLU,1,eng,0.2498498097590281,0.2498498097590281,0.2498498097590281,0.2498498097590281,0.23981767535394707,0.20602491900372252,0.16829513907295468,0.24825847208959784,0.2498498097590281,0.20182001445147785
26,IndoMMLU,2,eng,0.24577798544823443,0.24577798544823443,0.24577798544823443,0.24577798544823443,0.1931442796020712,0.20270263443041941,0.1745878998182118,0.22466940474224956,0.24577798544823443,0.2101733452205447
