index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,eng,0.5219941348973607,0.5219941348973607,0.5219941348973607,0.5219941348973607,0.5238858363858364,0.5215342277261782,0.5096987606404093,0.5238681569326731,0.5219941348973607,0.5099264527562787
1,MAPS,1,eng,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5008771929824561,0.5004815961472309,0.4374902965378047,0.5008797653958945,0.501466275659824,0.4380466093997352
2,MAPS,2,eng,0.5219941348973607,0.5219941348973607,0.5219941348973607,0.5219941348973607,0.5253936526066738,0.5214138286893705,0.5021986977977199,0.5253684709940122,0.5219941348973607,0.5024898071668322
3,MAPS,3,eng,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5099272571673086,0.5079807361541108,0.4822874493927125,0.5099444484180912,0.5073313782991202,0.4819535303406271
4,haryoaw/COPAL,0,eng,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5118490732568403,0.503437019969278,0.39592468202879616,0.5118685333632274,0.5026833631484794,0.39547038976871246
5,haryoaw/COPAL,1,eng,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5196737242577123,0.5121799795186892,0.4605563155494755,0.5196970454672224,0.5116279069767442,0.4602593876923402
6,haryoaw/COPAL,2,eng,0.6189624329159212,0.6189624329159212,0.6189624329159212,0.6189624329159212,0.6190997847478474,0.6189900153609831,0.6188843756901834,0.6191078642673725,0.6189624329159212,0.618874618536966
7,haryoaw/COPAL,3,eng,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153865847414235,0.6153865847414235,0.6153846153846154,0.6153885540982316,0.6153846153846154,0.6153846153846154
8,MABL/id,0,eng,0.6008771929824561,0.6008771929824561,0.6008771929824561,0.6008771929824561,0.6042823370697856,0.6008771929824561,0.5975922252366386,0.6042823370697856,0.6008771929824561,0.5975922252366387
9,MABL/id,1,eng,0.6078947368421053,0.6078947368421053,0.6078947368421053,0.6078947368421053,0.6113921556789186,0.6078947368421053,0.604792620437894,0.6113921556789186,0.6078947368421052,0.604792620437894
10,MABL/id,2,eng,0.6157894736842106,0.6157894736842106,0.6157894736842106,0.6157894736842106,0.619776874976121,0.6157894736842104,0.6125650225328682,0.6197768749761211,0.6157894736842106,0.6125650225328682
11,MABL/id,3,eng,0.6035087719298246,0.6035087719298246,0.6035087719298246,0.6035087719298246,0.6055886970172685,0.6035087719298246,0.6015465511908444,0.6055886970172685,0.6035087719298246,0.6015465511908443
12,MABL/jv,0,eng,0.525,0.525,0.525,0.525,0.5252698255820483,0.525,0.5237286200106395,0.5252698255820483,0.525,0.5237286200106396
13,MABL/jv,1,eng,0.53,0.53,0.53,0.53,0.5302636298421808,0.53,0.528974210502873,0.5302636298421808,0.53,0.528974210502873
14,MABL/jv,2,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5369441583449017,0.5366666666666666,0.5357949928198507,0.5369441583449017,0.5366666666666666,0.5357949928198505
15,MABL/jv,3,eng,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5335135618213503,0.5333333333333333,0.5327050812759376,0.5335135618213503,0.5333333333333333,0.5327050812759375
16,MABL/su,0,eng,0.52,0.52,0.52,0.52,0.5236605499763394,0.52,0.5006877102139414,0.5236605499763395,0.52,0.5006877102139414
17,MABL/su,1,eng,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5226526997899477,0.5183333333333333,0.4942232359795705,0.5226526997899477,0.5183333333333333,0.4942232359795706
18,MABL/su,2,eng,0.53,0.53,0.53,0.53,0.5380517503805176,0.53,0.5037482842360891,0.5380517503805176,0.53,0.5037482842360891
19,MABL/su,3,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5439320517599446,0.5366666666666666,0.5166842452972334,0.5439320517599446,0.5366666666666666,0.5166842452972334
20,IndoStoryCloze,0,eng,0.4881057268722467,0.4881057268722467,0.4881057268722467,0.4881057268722467,0.5,0.24405286343612334,0.32800473653049145,1.0,0.4881057268722467,0.6560094730609829
21,IndoStoryCloze,1,eng,0.4881057268722467,0.4881057268722467,0.4881057268722467,0.4881057268722467,0.5,0.24405286343612334,0.32800473653049145,1.0,0.4881057268722467,0.6560094730609829
22,IndoStoryCloze,2,eng,0.426431718061674,0.426431718061674,0.426431718061674,0.426431718061674,0.5,0.213215859030837,0.2989499691167387,1.0,0.426431718061674,0.5978999382334774
23,IndoStoryCloze,3,eng,0.4352422907488987,0.4352422907488987,0.43524229074889875,0.4352422907488987,0.5,0.21762114537444935,0.3032535297728668,1.0,0.4352422907488987,0.6065070595457336
24,IndoMMLU,0,eng,0.23135972231493224,0.23135972231493224,0.23135972231493224,0.23135972231493224,0.2257620295510189,0.2136569703055779,0.204281870378184,0.23345171617800328,0.23135972231493224,0.22161188359576287
25,IndoMMLU,1,eng,0.24631199519391228,0.24631199519391228,0.24631199519391228,0.24631199519391228,0.2442341764139063,0.2164053490383499,0.19838419704255011,0.24891991832104227,0.24631199519391228,0.22182385012852218
26,IndoMMLU,2,eng,0.23823509779053467,0.23823509779053467,0.23823509779053467,0.23823509779053467,0.21465181008122292,0.2138970886453489,0.18885144779929666,0.2322571726397746,0.23823509779053467,0.21241013389756497
