index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5408424908424908,0.5115067079463365,0.4039771835260872,0.5409482990128152,0.5102639296187683,0.40323908112266577
1,MAPS,1,ind,0.5249266862170088,0.5249266862170088,0.5249266862170088,0.5249266862170088,0.5746753246753247,0.526109391124871,0.43348510952498154,0.5748562288151731,0.5249266862170088,0.43281765276080625
2,MAPS,2,ind,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5435990967517805,0.5172686618507052,0.43084455324357407,0.5437027573725115,0.5161290322580645,0.43019845870558554
3,MAPS,3,ind,0.530791788856305,0.530791788856305,0.530791788856305,0.530791788856305,0.5605673480083857,0.5318025455796354,0.46818465377417345,0.5606940525154158,0.530791788856305,0.4676495500555228
4,haryoaw/COPAL,0,ind,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.4742965367965368,0.4908794162826421,0.3926345285068908,0.4742612039123667,0.49016100178890876,0.39219914246545323
5,haryoaw/COPAL,1,ind,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.4962388665835987,0.4979134664618535,0.4347337927559962,0.4962359771190735,0.49731663685152055,0.4343973258522568
6,haryoaw/COPAL,2,ind,0.5885509838998211,0.5885509838998211,0.5885509838998211,0.5885509838998211,0.5886424817331111,0.5885176651305684,0.5883915994365475,0.5886381246934307,0.5885509838998211,0.5884060889332088
7,haryoaw/COPAL,3,ind,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5582691319979456,0.5580901177675371,0.5577772439746976,0.5582649514458737,0.5581395348837209,0.5577998871565116
8,MABL/id,0,ind,0.5710526315789474,0.5710526315789474,0.5710526315789474,0.5710526315789474,0.5714593051871066,0.5710526315789474,0.5704414791435337,0.5714593051871066,0.5710526315789474,0.5704414791435336
9,MABL/id,1,ind,0.5692982456140351,0.5692982456140351,0.5692982456140351,0.5692982456140351,0.569902605164379,0.5692982456140351,0.5683652955642042,0.5699026051643791,0.5692982456140351,0.5683652955642042
10,MABL/id,2,ind,0.5728070175438597,0.5728070175438597,0.5728070175438597,0.5728070175438597,0.5735955248445176,0.5728070175438597,0.5716597009996767,0.5735955248445176,0.5728070175438597,0.5716597009996767
11,MABL/id,3,ind,0.5552631578947368,0.5552631578947368,0.5552631578947368,0.5552631578947368,0.5557451155108339,0.5552631578947369,0.5542998062139544,0.5557451155108338,0.5552631578947368,0.5542998062139544
12,MABL/jv,0,ind,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5118672227308174,0.5116666666666667,0.5095947042923017,0.5118672227308174,0.5116666666666667,0.5095947042923016
13,MABL/jv,1,ind,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5119602237131369,0.5116666666666667,0.5086516988968419,0.5119602237131369,0.5116666666666667,0.508651698896842
14,MABL/jv,2,ind,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5136264534883721,0.5133333333333333,0.5107019974082846,0.5136264534883721,0.5133333333333333,0.5107019974082846
15,MABL/jv,3,ind,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.517182917888563,0.5166666666666667,0.5130088218172048,0.517182917888563,0.5166666666666667,0.5130088218172048
16,MABL/su,0,ind,0.525,0.525,0.525,0.525,0.5294846090340842,0.525,0.5062241742249018,0.5294846090340842,0.525,0.506224174224902
17,MABL/su,1,ind,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5116666666666667,0.5140241214889609,0.5116666666666667,0.4902441782579574,0.5140241214889609,0.5116666666666667,0.49024417825795735
18,MABL/su,2,ind,0.515,0.515,0.515,0.515,0.5188087774294671,0.515,0.489137590520079,0.5188087774294671,0.515,0.489137590520079
19,MABL/su,3,ind,0.51,0.51,0.51,0.51,0.5125867084358917,0.51,0.4834613943028486,0.5125867084358917,0.51,0.48346139430284857
20,IndoStoryCloze,0,ind,0.507488986784141,0.507488986784141,0.507488986784141,0.507488986784141,0.5,0.2537444933920705,0.33664523670368207,1.0,0.507488986784141,0.6732904734073641
21,IndoStoryCloze,1,ind,0.505726872246696,0.505726872246696,0.505726872246696,0.505726872246696,0.5,0.252863436123348,0.33586892919836164,1.0,0.505726872246696,0.6717378583967233
22,IndoStoryCloze,2,ind,0.4590308370044053,0.4590308370044053,0.4590308370044053,0.4590308370044053,0.5,0.22951541850220264,0.3146135265700483,1.0,0.4590308370044053,0.6292270531400966
23,IndoStoryCloze,3,ind,0.4555066079295154,0.4555066079295154,0.4555066079295154,0.4555066079295154,0.5,0.2277533039647577,0.312953995157385,1.0,0.4555066079295154,0.62590799031477
24,IndoMMLU,0,ind,0.3641946465522996,0.3641946465522996,0.36419464655229966,0.3641946465522996,0.3743988470708154,0.3373092923562805,0.3367979258476387,0.38321193634784645,0.3641946465522996,0.3542676277771705
25,IndoMMLU,1,ind,0.36038982711434486,0.36038982711434486,0.36038982711434486,0.36038982711434486,0.35897112022041827,0.3313393996520626,0.3292544428415465,0.37197318958371095,0.36038982711434486,0.3497573432695563
26,IndoMMLU,2,ind,0.3517121687470796,0.3517121687470796,0.3517121687470796,0.3517121687470796,0.36049843392579206,0.3246324692808248,0.32146206220185436,0.36828575713753764,0.3517121687470796,0.3384290260369357
