index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.7771260997067448,0.7771260997067448,0.7771260997067448,0.7771260997067448,0.7848396914148206,0.7768833849329205,0.7755024255024254,0.7847043652445034,0.7771260997067448,0.7755584142680917
1,MAPS,1,ind,0.7771260997067448,0.7771260997067448,0.7771260997067448,0.7771260997067448,0.7916666666666667,0.7767973856209149,0.7741721854304635,0.7914778281347196,0.7771260997067448,0.774247926822163
2,MAPS,2,ind,0.7800586510263929,0.7800586510263929,0.7800586510263929,0.7800586510263929,0.780146603345034,0.7800309597523221,0.7800283834343956,0.7801340387280854,0.7800586510263929,0.780035950332395
3,MAPS,3,ind,0.7888563049853372,0.7888563049853372,0.7888563049853372,0.7888563049853372,0.8008787661406026,0.788562091503268,0.7866082603254068,0.8007045275731348,0.7888563049853372,0.7866724901728334
4,haryoaw/COPAL,0,ind,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.5495337995337994,0.5353622631848438,0.4993110100592531,0.5495827964522061,0.5348837209302325,0.49907226703327334
5,haryoaw/COPAL,1,ind,0.5509838998211091,0.5509838998211091,0.5509838998211091,0.5509838998211091,0.5544751321021953,0.5512032770097286,0.544239695702875,0.5545006155495025,0.5509838998211091,0.544140516230548
6,haryoaw/COPAL,2,ind,0.5867620751341681,0.5867620751341681,0.5867620751341681,0.5867620751341681,0.586778076578307,0.5867447516641064,0.5867144617452671,0.5867766219015672,0.5867620751341681,0.5867223973100839
7,haryoaw/COPAL,3,ind,0.5724508050089445,0.5724508050089445,0.5724508050089445,0.5724508050089445,0.5725368005334154,0.5724142345110087,0.5722536875234121,0.5725330615975689,0.5724508050089445,0.5722701139805398
8,MABL/id,0,ind,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6578947368421053,0.6612315196620738,0.6578947368421053,0.6561155130113021,0.6612315196620738,0.6578947368421053,0.6561155130113021
9,MABL/id,1,ind,0.6385964912280702,0.6385964912280702,0.6385964912280702,0.6385964912280702,0.6419806026056578,0.6385964912280702,0.6364300665089607,0.6419806026056577,0.6385964912280702,0.6364300665089606
10,MABL/id,2,ind,0.612280701754386,0.612280701754386,0.612280701754386,0.612280701754386,0.6154196618406398,0.612280701754386,0.6096265467583539,0.6154196618406398,0.612280701754386,0.609626546758354
11,MABL/id,3,ind,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6115272808586762,0.6105263157894737,0.6096504622560315,0.6115272808586761,0.6105263157894737,0.6096504622560315
12,MABL/jv,0,ind,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183580146641595,0.5183333333333333,0.5181713853823091,0.5183580146641596,0.5183333333333333,0.5181713853823091
13,MABL/jv,1,ind,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5268108494570803,0.5266666666666666,0.5260294395798796,0.5268108494570803,0.5266666666666666,0.5260294395798796
14,MABL/jv,2,ind,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5318881118881119,0.5316666666666667,0.5308521739130435,0.5318881118881119,0.5316666666666666,0.5308521739130435
15,MABL/jv,3,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233842590530489,0.5233333333333333,0.5230736734444308,0.5233842590530488,0.5233333333333333,0.5230736734444308
16,MABL/su,0,ind,0.52,0.52,0.52,0.52,0.5232390002065689,0.52,0.5026708417756494,0.5232390002065689,0.52,0.5026708417756492
17,MABL/su,1,ind,0.53,0.53,0.53,0.53,0.5369357045143639,0.53,0.5068493150684932,0.536935704514364,0.53,0.5068493150684932
18,MABL/su,2,ind,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5391931438127091,0.5333333333333333,0.5152130753959093,0.5391931438127091,0.5333333333333333,0.5152130753959092
19,MABL/su,3,ind,0.53,0.53,0.53,0.53,0.5372023809523809,0.53,0.5060949978982765,0.5372023809523809,0.53,0.5060949978982765
20,IndoStoryCloze,0,ind,0.5066079295154186,0.5066079295154186,0.5066079295154186,0.5066079295154186,0.5,0.2533039647577093,0.3362573099415205,1.0,0.5066079295154186,0.672514619883041
21,IndoStoryCloze,1,ind,0.520704845814978,0.520704845814978,0.520704845814978,0.520704845814978,0.5,0.260352422907489,0.3424101969872538,1.0,0.520704845814978,0.6848203939745076
22,IndoStoryCloze,2,ind,0.4960352422907489,0.4960352422907489,0.4960352422907489,0.4960352422907489,0.5,0.24801762114537446,0.33156654888103654,1.0,0.4960352422907489,0.6631330977620731
23,IndoStoryCloze,3,ind,0.4731277533039648,0.4731277533039648,0.4731277533039648,0.4731277533039648,0.5,0.2365638766519824,0.3211722488038278,1.0,0.4731277533039648,0.6423444976076556
24,IndoMMLU,0,ind,0.4636539616848008,0.4636539616848008,0.4636539616848008,0.4636539616848008,0.462125482986794,0.4396119989102565,0.4442001082440906,0.4717363938494982,0.4636539616848008,0.46268324151602713
25,IndoMMLU,1,ind,0.46632401041319005,0.46632401041319005,0.46632401041319005,0.46632401041319005,0.4584273201536771,0.43853590186952707,0.44419832339286913,0.4695559215218248,0.46632401041319005,0.464636947950109
26,IndoMMLU,2,ind,0.45831386422802217,0.45831386422802217,0.45831386422802217,0.45831386422802217,0.4493744017405321,0.4308763635474745,0.4360132232089214,0.460294650443805,0.45831386422802217,0.4568172116954187
