index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.6158357771260997,0.6158357771260997,0.6158357771260997,0.6158357771260997,0.6514390442573988,0.6151186790505676,0.5910185397116046,0.6512258510410437,0.6158357771260997,0.591313983014158
1,MAPS,1,ind,0.5982404692082112,0.5982404692082112,0.5982404692082112,0.5982404692082112,0.6145883777239709,0.5976780185758515,0.5826044226044227,0.6144635845291941,0.5982404692082112,0.5828413324014496
2,MAPS,2,ind,0.592375366568915,0.592375366568915,0.592375366568915,0.592375366568915,0.596242358863718,0.5920708634330926,0.5877810149149889,0.5961878941835096,0.592375366568915,0.5879086357942647
3,MAPS,3,ind,0.5953079178885631,0.5953079178885631,0.5953079178885631,0.5953079178885631,0.6200890518596124,0.5946336429308565,0.5723555070883315,0.6199312102419624,0.5953079178885631,0.5726460439339041
4,haryoaw/COPAL,0,ind,0.516994633273703,0.516994633273703,0.516994633273703,0.516994633273703,0.5266307309099401,0.5175179211469534,0.4721102996726266,0.5266601990984302,0.516994633273703,0.471834935662804
5,haryoaw/COPAL,1,ind,0.5313059033989267,0.5313059033989267,0.5313059033989267,0.5313059033989267,0.5496864014062001,0.531842037890425,0.48537555518074993,0.5497412685644307,0.5313059033989267,0.48510052315549146
6,haryoaw/COPAL,2,ind,0.6350626118067979,0.6350626118067979,0.6350626118067979,0.6350626118067979,0.6353285120787813,0.6350998463901689,0.6349212447176336,0.6353400729601719,0.6350626118067979,0.6349083931640732
7,haryoaw/COPAL,3,ind,0.6171735241502684,0.6171735241502684,0.6171735241502684,0.6171735241502684,0.6173054736572234,0.6171402969790066,0.6170252273018312,0.6172991903473685,0.6171735241502684,0.6170387088335073
8,MABL/id,0,ind,0.6517543859649123,0.6517543859649123,0.6517543859649123,0.6517543859649123,0.6581936311863319,0.6517543859649123,0.6481741327373434,0.658193631186332,0.6517543859649123,0.6481741327373434
9,MABL/id,1,ind,0.6719298245614035,0.6719298245614035,0.6719298245614035,0.6719298245614035,0.6776175213675214,0.6719298245614036,0.6692822503327656,0.6776175213675214,0.6719298245614035,0.6692822503327656
10,MABL/id,2,ind,0.6324561403508772,0.6324561403508772,0.6324561403508772,0.6324561403508772,0.6380765220181279,0.6324561403508772,0.6286774851812263,0.6380765220181278,0.6324561403508772,0.6286774851812263
11,MABL/id,3,ind,0.6403508771929824,0.6403508771929824,0.6403508771929824,0.6403508771929824,0.6461988304093567,0.6403508771929824,0.6367180577706893,0.6461988304093568,0.6403508771929824,0.6367180577706893
12,MABL/jv,0,ind,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5425406404918833,0.5416666666666666,0.5393004626540203,0.5425406404918832,0.5416666666666666,0.5393004626540202
13,MABL/jv,1,ind,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5343658357771262,0.5333333333333333,0.5298016210648874,0.5343658357771262,0.5333333333333333,0.5298016210648875
14,MABL/jv,2,ind,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5188358314592632,0.5183333333333333,0.5150993151546844,0.5188358314592632,0.5183333333333333,0.5150993151546844
15,MABL/jv,3,ind,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5423829383243481,0.5416666666666667,0.5397219920832182,0.5423829383243481,0.5416666666666666,0.5397219920832182
16,MABL/su,0,ind,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5199691144363384,0.5166666666666666,0.49582169473452403,0.5199691144363384,0.5166666666666667,0.49582169473452403
17,MABL/su,1,ind,0.525,0.525,0.525,0.525,0.5318340666959069,0.525,0.4980612247893178,0.5318340666959069,0.525,0.4980612247893178
18,MABL/su,2,ind,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5338237781160156,0.5266666666666667,0.5002287685214515,0.5338237781160156,0.5266666666666666,0.5002287685214516
19,MABL/su,3,ind,0.52,0.52,0.52,0.52,0.5246238030095759,0.52,0.496356747303993,0.5246238030095759,0.52,0.49635674730399293
20,IndoStoryCloze,0,ind,0.5348017621145374,0.5348017621145374,0.5348017621145374,0.5348017621145374,0.5,0.2674008810572687,0.3484500574052813,1.0,0.5348017621145374,0.6969001148105626
21,IndoStoryCloze,1,ind,0.5550660792951542,0.5550660792951542,0.5550660792951542,0.5550660792951542,0.5,0.2775330396475771,0.3569405099150142,1.0,0.5550660792951542,0.7138810198300284
22,IndoStoryCloze,2,ind,0.5083700440528635,0.5083700440528635,0.5083700440528635,0.5083700440528635,0.5,0.25418502202643173,0.33703271028037385,1.0,0.5083700440528635,0.6740654205607477
23,IndoStoryCloze,3,ind,0.5022026431718062,0.5022026431718062,0.5022026431718062,0.5022026431718062,0.5,0.2511013215859031,0.33431085043988273,1.0,0.5022026431718062,0.6686217008797655
24,IndoMMLU,0,ind,0.3402309592150057,0.3402309592150057,0.3402309592150057,0.3402309592150057,0.32885722604387196,0.324974716772971,0.3217133136318261,0.34433281574180075,0.3402309592150057,0.3359952340186298
25,IndoMMLU,1,ind,0.34830785661838326,0.34830785661838326,0.34830785661838326,0.34830785661838326,0.3299785132595016,0.31757713939957255,0.31832297910273283,0.34777250127064807,0.34830785661838326,0.34297995225563876
26,IndoMMLU,2,ind,0.33348908617582274,0.33348908617582274,0.33348908617582274,0.33348908617582274,0.3191447196576649,0.30323511658259134,0.3042999544434904,0.33290881990544824,0.33348908617582274,0.32699629487573345
