index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.507019829208279,0.5033367733058135,0.4288786482334869,0.5070092178632232,0.5043988269794721,0.42948768193305137
1,MAPS,1,ind,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5008305647840532,0.500343997248022,0.41515334947538335,0.5008330004579067,0.501466275659824,0.4158122267745012
2,MAPS,2,ind,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.47451982651796776,0.4830237358101135,0.43636363636363634,0.4745672942399169,0.4838709677419355,0.43684350839776054
3,MAPS,3,ind,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5139894419306184,0.5127622979016168,0.5020584095707248,0.5139815908316857,0.5131964809384164,0.502276803126954
4,haryoaw/COPAL,0,ind,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5131218174696435,0.5085765488991295,0.4617189278148362,0.5131372330563433,0.5080500894454383,0.4614364207317228
5,haryoaw/COPAL,1,ind,0.516994633273703,0.516994633273703,0.516994633273703,0.516994633273703,0.5193625623673797,0.5172875064004097,0.5038461538461538,0.5193755018706239,0.516994633273703,0.5037016650612357
6,haryoaw/COPAL,2,ind,0.627906976744186,0.627906976744186,0.627906976744186,0.627906976744186,0.627909209616714,0.6278993855606758,0.6278962595048516,0.6279087630422084,0.627906976744186,0.6278998319179632
7,haryoaw/COPAL,3,ind,0.631484794275492,0.631484794275492,0.631484794275492,0.631484794275492,0.6320039085602612,0.631426011264721,0.6310585672177367,0.6319898784444566,0.631484794275492,0.6310810002207765
8,MABL/id,0,ind,0.6508771929824562,0.6508771929824562,0.6508771929824562,0.6508771929824562,0.6554729524002841,0.6508771929824562,0.6482779791565245,0.6554729524002841,0.6508771929824562,0.6482779791565244
9,MABL/id,1,ind,0.6543859649122807,0.6543859649122807,0.6543859649122807,0.6543859649122807,0.6587020350308799,0.6543859649122807,0.6520200439429671,0.6587020350308799,0.6543859649122807,0.6520200439429671
10,MABL/id,2,ind,0.6473684210526316,0.6473684210526316,0.6473684210526316,0.6473684210526316,0.6520482692918387,0.6473684210526316,0.6446339950372209,0.6520482692918388,0.6473684210526316,0.6446339950372209
11,MABL/id,3,ind,0.6622807017543859,0.6622807017543859,0.6622807017543859,0.6622807017543859,0.6669172932330827,0.6622807017543859,0.6599190283400811,0.6669172932330828,0.6622807017543859,0.659919028340081
12,MABL/jv,0,ind,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5221653878942882,0.5216666666666667,0.5189608212864028,0.5221653878942881,0.5216666666666666,0.5189608212864028
13,MABL/jv,1,ind,0.52,0.52,0.52,0.52,0.5202922077922079,0.52,0.5182657567242072,0.5202922077922078,0.52,0.5182657567242072
14,MABL/jv,2,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5238462936046512,0.5233333333333333,0.5207560659546897,0.5238462936046511,0.5233333333333333,0.5207560659546897
15,MABL/jv,3,ind,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5186484928627131,0.5183333333333333,0.5162896571347275,0.5186484928627131,0.5183333333333333,0.5162896571347275
16,MABL/su,0,ind,0.5016666666666667,0.5016666666666667,0.5016666666666667,0.5016666666666667,0.5020305667988791,0.5016666666666667,0.47829273186747356,0.5020305667988791,0.5016666666666667,0.4782927318674735
17,MABL/su,1,ind,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5165343915343916,0.5133333333333333,0.4885806361216197,0.5165343915343915,0.5133333333333333,0.4885806361216197
18,MABL/su,2,ind,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5164158686730507,0.5133333333333333,0.48936170212765956,0.5164158686730506,0.5133333333333333,0.48936170212765956
19,MABL/su,3,ind,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5164158686730507,0.5133333333333333,0.48936170212765956,0.5164158686730506,0.5133333333333333,0.48936170212765956
20,IndoStoryCloze,0,ind,0.5506607929515418,0.5506607929515418,0.5506607929515418,0.5506607929515418,0.5,0.2753303964757709,0.3551136363636363,1.0,0.5506607929515418,0.7102272727272726
21,IndoStoryCloze,1,ind,0.5568281938325991,0.5568281938325991,0.5568281938325991,0.5568281938325991,0.5,0.27841409691629954,0.35766836445953587,1.0,0.5568281938325991,0.7153367289190717
22,IndoStoryCloze,2,ind,0.5136563876651983,0.5136563876651983,0.5136563876651983,0.5136563876651983,0.5,0.25682819383259914,0.3393480791618161,1.0,0.5136563876651983,0.6786961583236322
23,IndoStoryCloze,3,ind,0.47841409691629955,0.47841409691629955,0.47841409691629955,0.47841409691629955,0.5,0.23920704845814977,0.3235995232419547,1.0,0.47841409691629955,0.6471990464839094
24,IndoMMLU,0,ind,0.25098458046859357,0.25098458046859357,0.25098458046859357,0.25098458046859357,0.23987570570336425,0.23393545644143918,0.23434821800018457,0.2510144407351414,0.25098458046859357,0.248606519850326
25,IndoMMLU,1,ind,0.2485815366130432,0.2485815366130432,0.2485815366130432,0.2485815366130432,0.24023896173273052,0.22901070265433593,0.19262344617545815,0.251031213650419,0.2485815366130432,0.20009633669876495
26,IndoMMLU,2,ind,0.2519858487417395,0.2519858487417395,0.2519858487417395,0.2519858487417395,0.2417864246209674,0.22370455110330162,0.19350920058813706,0.2500619153485389,0.2519858487417395,0.21212545656314724
