index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5249266862170088,0.5249266862170088,0.5249266862170088,0.5249266862170088,0.5292628914900348,0.5254557963536292,0.5092217484008529,0.5292981451914416,0.5249266862170088,0.5089642904038667
1,MAPS,1,ind,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5464570788404985,0.5456484348125215,0.5435546689465185,0.5464793573601864,0.5454545454545454,0.5434683109234264
2,MAPS,2,ind,0.5542521994134897,0.5542521994134897,0.5542521994134897,0.5542521994134897,0.5588333333333333,0.5546439628482972,0.5463520515333986,0.5588836754643206,0.5542521994134897,0.5461764926916188
3,MAPS,3,ind,0.4868035190615836,0.4868035190615836,0.48680351906158353,0.4868035190615836,0.4836956521739131,0.4875128998968008,0.45530637019998726,0.4836768166170181,0.4868035190615836,0.4549222586285044
4,haryoaw/COPAL,0,ind,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.4957159023549065,0.4979646697388633,0.4218170842581447,0.49571194992405065,0.49731663685152055,0.42144332409679136
5,haryoaw/COPAL,1,ind,0.4776386404293381,0.4776386404293381,0.4776386404293381,0.4776386404293381,0.4715828053998474,0.4780657962109575,0.44629433634562676,0.47156012436977446,0.4776386404293381,0.44605866488635076
6,haryoaw/COPAL,2,ind,0.6332737030411449,0.6332737030411449,0.6332737030411449,0.6332737030411449,0.6332834024683771,0.633262928827445,0.6332549245515499,0.6332820168359155,0.6332737030411449,0.6332596191739486
7,haryoaw/COPAL,3,ind,0.6064400715563506,0.6064400715563506,0.6064400715563506,0.6064400715563506,0.606511377613776,0.6064132104454685,0.606338028169014,0.6065071831398099,0.6064400715563506,0.6063493663231626
8,MABL/id,0,ind,0.6464912280701754,0.6464912280701754,0.6464912280701754,0.6464912280701754,0.6518419146852299,0.6464912280701754,0.6433492657304927,0.6518419146852298,0.6464912280701754,0.6433492657304928
9,MABL/id,1,ind,0.6228070175438597,0.6228070175438597,0.6228070175438597,0.6228070175438597,0.6262402551381998,0.6228070175438596,0.6202249210545072,0.6262402551381998,0.6228070175438597,0.6202249210545072
10,MABL/id,2,ind,0.6149122807017544,0.6149122807017544,0.6149122807017544,0.6149122807017544,0.6194418051116677,0.6149122807017544,0.6112264707184689,0.6194418051116677,0.6149122807017544,0.611226470718469
11,MABL/id,3,ind,0.6078947368421053,0.6078947368421053,0.6078947368421053,0.6078947368421053,0.610845499302769,0.6078947368421053,0.6052677444767463,0.610845499302769,0.6078947368421053,0.6052677444767463
12,MABL/jv,0,ind,0.53,0.53,0.53,0.53,0.5305429864253394,0.53,0.5279017857142858,0.5305429864253394,0.53,0.5279017857142857
13,MABL/jv,1,ind,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5168350168350169,0.5166666666666666,0.5154553049289892,0.5168350168350168,0.5166666666666667,0.5154553049289892
14,MABL/jv,2,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233592880978866,0.5233333333333334,0.5232008891358713,0.5233592880978866,0.5233333333333333,0.5232008891358713
15,MABL/jv,3,ind,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5217947714902036,0.5216666666666667,0.5209627480380894,0.5217947714902035,0.5216666666666666,0.5209627480380893
16,MABL/su,0,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5277777777777778,0.5233333333333333,0.5034722222222222,0.5277777777777778,0.5233333333333333,0.5034722222222222
17,MABL/su,1,ind,0.525,0.525,0.525,0.525,0.5284900284900285,0.5249999999999999,0.5099935525467441,0.5284900284900285,0.525,0.5099935525467441
18,MABL/su,2,ind,0.525,0.525,0.525,0.525,0.5306710833026622,0.525,0.5019789782705565,0.5306710833026623,0.525,0.5019789782705565
19,MABL/su,3,ind,0.53,0.53,0.53,0.53,0.5357142857142858,0.53,0.5104166666666667,0.5357142857142857,0.53,0.5104166666666666
20,IndoStoryCloze,0,ind,0.5215859030837005,0.5215859030837005,0.5215859030837005,0.5215859030837005,0.5,0.2607929515418502,0.34279096699478867,1.0,0.5215859030837005,0.6855819339895773
21,IndoStoryCloze,1,ind,0.5092511013215859,0.5092511013215859,0.5092511013215859,0.5092511013215859,0.5,0.25462555066079295,0.3374197314652656,1.0,0.5092511013215859,0.6748394629305312
22,IndoStoryCloze,2,ind,0.46960352422907486,0.46960352422907486,0.46960352422907486,0.46960352422907486,0.5,0.23480176211453743,0.3195443645083933,1.0,0.46960352422907486,0.6390887290167866
23,IndoStoryCloze,3,ind,0.452863436123348,0.452863436123348,0.452863436123348,0.452863436123348,0.5,0.226431718061674,0.3117040630685264,1.0,0.452863436123348,0.6234081261370528
24,IndoMMLU,0,ind,0.24704625859421933,0.24704625859421933,0.24704625859421933,0.24704625859421933,0.23481043240351793,0.20781115825865623,0.1577301957804082,0.2439089667684495,0.24704625859421933,0.18004575816146548
25,IndoMMLU,1,ind,0.24317468793805486,0.24317468793805486,0.24317468793805486,0.24317468793805486,0.22745323088791602,0.21664310538875015,0.1835439363352025,0.23868455794693222,0.24317468793805486,0.19731459957677996
26,IndoMMLU,2,ind,0.24684600493959014,0.24684600493959014,0.24684600493959014,0.24684600493959014,0.2326413492803802,0.2115014912984615,0.16921656036876648,0.2431925917059724,0.24684600493959014,0.18828416936936745
