index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.507262917617763,0.5072239422084623,0.5066143034311699,0.5072656560450173,0.5073313782991202,0.5066694630363969
1,MAPS,1,ind,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.4955787228186072,0.49557963536291705,0.49556213017751477,0.4955832128589914,0.49560117302052786,0.4955751444585192
2,MAPS,2,ind,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5162737508796622,0.5159098727210183,0.5132995977682626,0.5162709132596309,0.5161290322580645,0.5134084221717164
3,MAPS,3,ind,0.4809384164222874,0.4809384164222874,0.4809384164222874,0.4809384164222874,0.47697740112994347,0.480374957000344,0.4607371007371007,0.4770076378879003,0.4809384164222874,0.4610431812777853
4,haryoaw/COPAL,0,ind,0.5313059033989267,0.5313059033989267,0.5313059033989267,0.5313059033989267,0.5364357545194491,0.5316308243727599,0.515488950641789,0.5364610247220133,0.5313059033989267,0.5153323471491441
5,haryoaw/COPAL,1,ind,0.554561717352415,0.554561717352415,0.554561717352415,0.554561717352415,0.5567313306087787,0.5547299027137736,0.5506735490368878,0.5567519935921726,0.554561717352415,0.5505987765692815
6,haryoaw/COPAL,2,ind,0.554561717352415,0.554561717352415,0.554561717352415,0.554561717352415,0.5545584884405643,0.5545570916538658,0.5545560153227278,0.5545595647445146,0.554561717352415,0.5545588663375713
7,haryoaw/COPAL,3,ind,0.554561717352415,0.554561717352415,0.554561717352415,0.554561717352415,0.5545943867743176,0.554531490015361,0.554419122801963,0.5545926673310596,0.554561717352415,0.5544333822570081
8,MABL/id,0,ind,0.5868421052631579,0.5868421052631579,0.5868421052631579,0.5868421052631579,0.5878482092540297,0.5868421052631578,0.5856557595269312,0.5878482092540297,0.5868421052631579,0.585655759526931
9,MABL/id,1,ind,0.5771929824561404,0.5771929824561404,0.5771929824561404,0.5771929824561404,0.5781785763269784,0.5771929824561404,0.5758561918759031,0.5781785763269786,0.5771929824561404,0.575856191875903
10,MABL/id,2,ind,0.5885964912280702,0.5885964912280702,0.5885964912280702,0.5885964912280702,0.589491405280879,0.5885964912280701,0.5875654047399199,0.5894914052808791,0.5885964912280702,0.58756540473992
11,MABL/id,3,ind,0.5842105263157895,0.5842105263157895,0.5842105263157895,0.5842105263157895,0.5850915605095541,0.5842105263157895,0.5831314668007986,0.5850915605095541,0.5842105263157895,0.5831314668007986
12,MABL/jv,0,ind,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5284043441938179,0.5283333333333333,0.52803835730665,0.5284043441938179,0.5283333333333333,0.52803835730665
13,MABL/jv,1,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233592880978866,0.5233333333333334,0.5232008891358713,0.5233592880978866,0.5233333333333333,0.5232008891358713
14,MABL/jv,2,ind,0.525,0.525,0.525,0.525,0.5250002777808642,0.5249999999999999,0.5249986805518905,0.5250002777808642,0.525,0.5249986805518904
15,MABL/jv,3,ind,0.525,0.525,0.525,0.525,0.525002500250025,0.525,0.5249881247031176,0.525002500250025,0.525,0.5249881247031176
16,MABL/su,0,ind,0.505,0.505,0.505,0.505,0.5058969218068168,0.505,0.4854336131396346,0.5058969218068169,0.505,0.4854336131396347
17,MABL/su,1,ind,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5183333333333333,0.5210054614199692,0.5183333333333333,0.5025118275374336,0.5210054614199692,0.5183333333333333,0.5025118275374335
18,MABL/su,2,ind,0.54,0.54,0.54,0.54,0.5482418524871355,0.54,0.5194762988068156,0.5482418524871355,0.54,0.5194762988068156
19,MABL/su,3,ind,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.519479507558049,0.5166666666666666,0.49856485804198225,0.519479507558049,0.5166666666666667,0.4985648580419823
20,IndoStoryCloze,0,ind,0.4343612334801762,0.4343612334801762,0.4343612334801762,0.4343612334801762,0.5,0.2171806167400881,0.30282555282555285,1.0,0.4343612334801762,0.6056511056511057
21,IndoStoryCloze,1,ind,0.4325991189427313,0.4325991189427313,0.4325991189427313,0.4325991189427313,0.5,0.21629955947136564,0.30196801968019676,1.0,0.4325991189427313,0.6039360393603935
22,IndoStoryCloze,2,ind,0.4026431718061674,0.4026431718061674,0.4026431718061674,0.4026431718061674,0.5,0.2013215859030837,0.2870603015075377,1.0,0.4026431718061674,0.5741206030150754
23,IndoStoryCloze,3,ind,0.3964757709251101,0.3964757709251101,0.3964757709251101,0.3964757709251101,0.5,0.19823788546255505,0.28391167192429023,1.0,0.3964757709251101,0.5678233438485805
24,IndoMMLU,0,ind,0.22708764434950937,0.22708764434950937,0.22708764434950937,0.22708764434950937,0.25126423311327517,0.3134212747194682,0.21656105739937917,0.2671260491200844,0.22708764434950937,0.20580352875833843
25,IndoMMLU,1,ind,0.2455109805753955,0.2455109805753955,0.2455109805753955,0.2455109805753955,0.256845810236304,0.26170150373426304,0.1926396947380516,0.2728907097302128,0.2455109805753955,0.18877471403159493
26,IndoMMLU,2,ind,0.23916961484547092,0.23916961484547092,0.23916961484547092,0.23916961484547092,0.252003879949978,0.2691947186024819,0.19066179417906795,0.2679457725794668,0.23916961484547092,0.1844632571711069
