index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5865102639296188,0.5865102639296188,0.5865102639296188,0.5865102639296188,0.5892490622124709,0.5867561059511524,0.5837034728174757,0.5892971113051524,0.5865102639296188,0.5836032302777564
1,MAPS,1,ind,0.6598240469208211,0.6598240469208211,0.6598240469208211,0.6598240469208211,0.6713518286849658,0.6601995184038527,0.6543274608501118,0.671484331923634,0.6598240469208211,0.6541996332670721
2,MAPS,2,ind,0.6041055718475073,0.6041055718475073,0.6041055718475073,0.6041055718475073,0.6088593974175036,0.6044031647746818,0.6001302931596091,0.6089282934402571,0.6041055718475073,0.6000133731982004
3,MAPS,3,ind,0.5777126099706745,0.5777126099706745,0.5777126099706745,0.5777126099706745,0.5815533980582523,0.5780185758513932,0.5732165206508135,0.5816074936651197,0.5777126099706745,0.5730880609559603
4,haryoaw/COPAL,0,ind,0.5295169946332737,0.5295169946332737,0.5295169946332737,0.5295169946332737,0.5304307853953244,0.5296594982078853,0.526583908934293,0.5304410527072575,0.5295169946332737,0.5265172478956797
5,haryoaw/COPAL,1,ind,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.5652951699463328,0.566546856279627,0.5654121863799283,0.5634847438019184,0.5665640026677544,0.5652951699463328,0.5634344541867958
6,haryoaw/COPAL,2,ind,0.590339892665474,0.590339892665474,0.590339892665474,0.590339892665474,0.59034178187404,0.59034178187404,0.590339892665474,0.5903436710826058,0.590339892665474,0.590339892665474
7,haryoaw/COPAL,3,ind,0.590339892665474,0.590339892665474,0.590339892665474,0.590339892665474,0.5906392165934151,0.590284178187404,0.5899146903641437,0.5906306644811882,0.590339892665474,0.5899383127142176
8,MABL/id,0,ind,0.6307017543859649,0.6307017543859649,0.6307017543859649,0.6307017543859649,0.6325329030526418,0.630701754385965,0.6294217252420835,0.6325329030526418,0.6307017543859649,0.6294217252420836
9,MABL/id,1,ind,0.6026315789473684,0.6026315789473684,0.6026315789473684,0.6026315789473684,0.6046416388678807,0.6026315789473684,0.6007141095395787,0.6046416388678808,0.6026315789473684,0.6007141095395787
10,MABL/id,2,ind,0.606140350877193,0.606140350877193,0.606140350877193,0.606140350877193,0.6079102922355282,0.606140350877193,0.6045186827179162,0.6079102922355283,0.606140350877193,0.6045186827179163
11,MABL/id,3,ind,0.593859649122807,0.593859649122807,0.593859649122807,0.593859649122807,0.5955132722574583,0.593859649122807,0.5920941285573523,0.5955132722574583,0.593859649122807,0.5920941285573523
12,MABL/jv,0,ind,0.55,0.55,0.55,0.55,0.5503783977430478,0.55,0.5491534102926607,0.5503783977430478,0.55,0.5491534102926607
13,MABL/jv,1,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233998930290604,0.5233333333333333,0.5229941291585127,0.5233998930290604,0.5233333333333333,0.5229941291585127
14,MABL/jv,2,ind,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283866371297213,0.5283333333333333,0.5281118080432203,0.5283866371297213,0.5283333333333333,0.5281118080432204
15,MABL/jv,3,ind,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166785269524996,0.5166666666666666,0.5165807254623045,0.5166785269524996,0.5166666666666667,0.5165807254623044
16,MABL/su,0,ind,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5258761395453762,0.5216666666666667,0.5013884103208546,0.5258761395453762,0.5216666666666666,0.5013884103208546
17,MABL/su,1,ind,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5319505830981415,0.5266666666666666,0.5062529700158787,0.5319505830981416,0.5266666666666666,0.5062529700158788
18,MABL/su,2,ind,0.535,0.535,0.535,0.535,0.5449236298292902,0.535,0.5078193220608082,0.5449236298292902,0.535,0.5078193220608082
19,MABL/su,3,ind,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5317460317460317,0.5266666666666666,0.5069444444444444,0.5317460317460317,0.5266666666666666,0.5069444444444445
20,IndoStoryCloze,0,ind,0.4185022026431718,0.4185022026431718,0.4185022026431718,0.4185022026431718,0.5,0.2092511013215859,0.2950310559006211,1.0,0.4185022026431718,0.5900621118012422
21,IndoStoryCloze,1,ind,0.4035242290748899,0.4035242290748899,0.4035242290748899,0.4035242290748899,0.5,0.20176211453744494,0.28750784682988073,1.0,0.4035242290748899,0.5750156936597615
22,IndoStoryCloze,2,ind,0.44140969162995597,0.44140969162995597,0.44140969162995597,0.44140969162995597,0.5,0.22070484581497798,0.3062347188264059,1.0,0.44140969162995597,0.6124694376528118
23,IndoStoryCloze,3,ind,0.43876651982378856,0.43876651982378856,0.4387665198237885,0.43876651982378856,0.5,0.21938325991189428,0.3049601959583588,1.0,0.43876651982378856,0.6099203919167177
24,IndoMMLU,0,ind,0.3141979841132101,0.3141979841132101,0.3141979841132101,0.3141979841132101,0.3102083507878876,0.30833266249870767,0.29455536549640565,0.3271996325421045,0.3141979841132101,0.3033153483467384
25,IndoMMLU,1,ind,0.35237968092917693,0.35237968092917693,0.35237968092917693,0.35237968092917693,0.349216360690427,0.32255318159812535,0.3220816411246307,0.3602683759938569,0.35237968092917693,0.34208109781842944
26,IndoMMLU,2,ind,0.3429677591616047,0.3429677591616047,0.3429677591616047,0.3429677591616047,0.3357170937104329,0.3213244570740687,0.3155651910162239,0.3517602944358187,0.3429677591616047,0.3325051052304422
