index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5183558558558559,0.5084107327141383,0.43085360038149734,0.5183997780771974,0.5073313782991202,0.43024177815815634
1,MAPS,1,ind,0.4868035190615836,0.4868035190615836,0.48680351906158353,0.4868035190615836,0.47200987418378726,0.4879084967320262,0.40263471375516785,0.47195231136325105,0.4868035190615836,0.40197714496371145
2,MAPS,2,ind,0.4809384164222874,0.4809384164222874,0.4809384164222874,0.4809384164222874,0.44437299035369776,0.4821465428276574,0.37570980854562946,0.4442428642822793,0.4809384164222874,0.3749581756322247
3,MAPS,3,ind,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.47202797202797203,0.48486412108703125,0.4176370128861977,0.4719767036482579,0.4838709677419355,0.4170610654526696
4,haryoaw/COPAL,0,ind,0.4919499105545617,0.4919499105545617,0.4919499105545617,0.4919499105545617,0.49145443301287456,0.4922171018945212,0.4804968716458546,0.4914514660814872,0.4919499105545617,0.48035888322526776
5,haryoaw/COPAL,1,ind,0.5044722719141324,0.5044722719141324,0.5044722719141324,0.5044722719141324,0.5048099888540949,0.5046402969790067,0.5001468798522809,0.504813205205904,0.5044722719141324,0.5000636992357068
6,haryoaw/COPAL,2,ind,0.5438282647584973,0.5438282647584973,0.5438282647584973,0.5438282647584973,0.5440345288254034,0.5438812083973374,0.5434542397309632,0.5440407792516733,0.5438282647584973,0.5434308631667423
7,haryoaw/COPAL,3,ind,0.5366726296958855,0.5366726296958855,0.5366726296958855,0.5366726296958855,0.5366671787781021,0.5366615463389657,0.536648904677324,0.5366679574806427,0.5366726296958855,0.5366548359319644
8,MABL/id,0,ind,0.537719298245614,0.537719298245614,0.537719298245614,0.537719298245614,0.5381278020278826,0.537719298245614,0.5364777462563237,0.5381278020278826,0.537719298245614,0.5364777462563237
9,MABL/id,1,ind,0.5447368421052632,0.5447368421052632,0.5447368421052632,0.5447368421052632,0.5452213465912097,0.5447368421052632,0.5435141372049943,0.5452213465912097,0.5447368421052632,0.5435141372049944
10,MABL/id,2,ind,0.55,0.55,0.55,0.55,0.5510305052161375,0.55,0.5477166581982446,0.5510305052161375,0.55,0.5477166581982446
11,MABL/id,3,ind,0.5403508771929825,0.5403508771929825,0.5403508771929825,0.5403508771929825,0.5410426267281105,0.5403508771929825,0.5384059023710247,0.5410426267281105,0.5403508771929825,0.5384059023710247
12,MABL/jv,0,ind,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5217947714902036,0.5216666666666667,0.5209627480380894,0.5217947714902035,0.5216666666666666,0.5209627480380893
13,MABL/jv,1,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233592880978866,0.5233333333333334,0.5232008891358713,0.5233592880978866,0.5233333333333333,0.5232008891358713
14,MABL/jv,2,ind,0.53,0.53,0.53,0.53,0.5300120048019208,0.53,0.5299529952995299,0.5300120048019208,0.53,0.52995299529953
15,MABL/jv,3,ind,0.515,0.515,0.515,0.515,0.5150081711153851,0.5149999999999999,0.5149339771246642,0.515008171115385,0.515,0.5149339771246642
16,MABL/su,0,ind,0.505,0.505,0.505,0.505,0.5056391684106317,0.505,0.4905645813738747,0.5056391684106317,0.505,0.49056458137387476
17,MABL/su,1,ind,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5092621179376351,0.5083333333333333,0.49569057625186985,0.5092621179376351,0.5083333333333333,0.49569057625186985
18,MABL/su,2,ind,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5658438339186118,0.5566666666666666,0.5406612635844539,0.5658438339186119,0.5566666666666666,0.5406612635844539
19,MABL/su,3,ind,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5522414050450271,0.5466666666666666,0.5342412584618546,0.5522414050450272,0.5466666666666666,0.5342412584618547
20,IndoStoryCloze,0,ind,0.3903083700440529,0.3903083700440529,0.3903083700440529,0.3903083700440529,0.5,0.19515418502202644,0.2807351077313055,1.0,0.3903083700440529,0.561470215462611
21,IndoStoryCloze,1,ind,0.3788546255506608,0.3788546255506608,0.3788546255506608,0.3788546255506608,0.5,0.1894273127753304,0.2747603833865815,1.0,0.3788546255506608,0.549520766773163
22,IndoStoryCloze,2,ind,0.38237885462555066,0.38237885462555066,0.38237885462555066,0.38237885462555066,0.5,0.19118942731277533,0.2766093052899936,1.0,0.38237885462555066,0.5532186105799872
23,IndoStoryCloze,3,ind,0.3674008810572687,0.3674008810572687,0.36740088105726876,0.3674008810572687,0.5,0.18370044052863435,0.26868556701030927,1.0,0.3674008810572687,0.5373711340206185
24,IndoMMLU,0,ind,0.22101328349242375,0.22101328349242375,0.22101328349242375,0.22101328349242375,0.23700816539317357,0.29011425311833394,0.19621589290667646,0.2504851436686022,0.22101328349242375,0.17957240202274527
25,IndoMMLU,1,ind,0.2182764835458247,0.2182764835458247,0.2182764835458247,0.2182764835458247,0.23437179135725633,0.2868999041066635,0.19565193732518887,0.2484324146124285,0.2182764835458247,0.18121439338449288
26,IndoMMLU,2,ind,0.21427141045324077,0.21427141045324077,0.2142714104532408,0.21427141045324077,0.22767944857256445,0.2862644599492651,0.1868999094430533,0.23985682625357466,0.21427141045324077,0.16926338209757047
