index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5098057644110277,0.5053835569315446,0.44203901825047204,0.5098293754915147,0.5043988269794721,0.4414920023844282
1,MAPS,1,ind,0.4868035190615836,0.4868035190615836,0.48680351906158353,0.4868035190615836,0.48624953857512,0.4871861025111799,0.47811447811447816,0.48624331407527205,0.4868035190615836,0.4779169999111348
2,MAPS,2,ind,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5289348616158792,0.5142414860681115,0.44307359307359306,0.528999628614552,0.5131964809384164,0.44249406507471023
3,MAPS,3,ind,0.5249266862170088,0.5249266862170088,0.5249266862170088,0.5249266862170088,0.5673897581792319,0.5260749914000687,0.439690847127556,0.5675487959019369,0.5249266862170088,0.4390499761569586
4,haryoaw/COPAL,0,ind,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5083313760797515,0.5081733230926779,0.505766195018599,0.5083350291529245,0.5080500894454383,0.5057060925336823
5,haryoaw/COPAL,1,ind,0.5098389982110912,0.5098389982110912,0.5098389982110912,0.5098389982110912,0.5103211312276992,0.5099974398361495,0.5060436016511868,0.5103260012581701,0.5098389982110912,0.5059661445785356
6,haryoaw/COPAL,2,ind,0.5491949910554562,0.5491949910554562,0.5491949910554562,0.5491949910554562,0.5492012084282751,0.549199948796723,0.5491935483870968,0.5492032808858816,0.5491949910554562,0.5491921057187373
7,haryoaw/COPAL,3,ind,0.5670840787119857,0.5670840787119857,0.5670840787119857,0.5670840787119857,0.5672656972561916,0.567031490015361,0.5666833230832308,0.5672601936639429,0.5670840787119857,0.5667068969437458
8,MABL/id,0,ind,0.606140350877193,0.606140350877193,0.606140350877193,0.606140350877193,0.6082191307949878,0.606140350877193,0.6042398127666023,0.6082191307949878,0.606140350877193,0.6042398127666023
9,MABL/id,1,ind,0.5824561403508772,0.5824561403508772,0.5824561403508772,0.5824561403508772,0.5833188196656052,0.5824561403508772,0.5813725278421522,0.5833188196656052,0.5824561403508772,0.5813725278421521
10,MABL/id,2,ind,0.5964912280701754,0.5964912280701754,0.5964912280701754,0.5964912280701754,0.5984301412872841,0.5964912280701754,0.5944942777605938,0.5984301412872842,0.5964912280701754,0.5944942777605938
11,MABL/id,3,ind,0.6096491228070176,0.6096491228070176,0.6096491228070176,0.6096491228070176,0.6111853213528874,0.6096491228070176,0.608296122880587,0.6111853213528874,0.6096491228070176,0.6082961228805871
12,MABL/jv,0,ind,0.505,0.505,0.505,0.505,0.5050859525989218,0.505,0.5028997514498758,0.5050859525989218,0.505,0.5028997514498758
13,MABL/jv,1,ind,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5136836343732896,0.5133333333333334,0.510198604401503,0.5136836343732896,0.5133333333333333,0.510198604401503
14,MABL/jv,2,ind,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5288203980605568,0.5283333333333333,0.5263320863983664,0.5288203980605567,0.5283333333333333,0.5263320863983664
15,MABL/jv,3,ind,0.55,0.55,0.55,0.55,0.5512038596331528,0.55,0.5473393613573113,0.5512038596331528,0.55,0.5473393613573113
16,MABL/su,0,ind,0.54,0.54,0.54,0.54,0.5452284034373587,0.54,0.5263103696838636,0.5452284034373586,0.54,0.5263103696838637
17,MABL/su,1,ind,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5668355590635383,0.5583333333333333,0.5438257242125256,0.5668355590635383,0.5583333333333333,0.5438257242125256
18,MABL/su,2,ind,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5373471714431732,0.5316666666666667,0.5131543612533243,0.5373471714431733,0.5316666666666666,0.5131543612533243
19,MABL/su,3,ind,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5369022801724697,0.5316666666666666,0.5144442748487319,0.5369022801724697,0.5316666666666666,0.5144442748487319
20,IndoStoryCloze,0,ind,0.46255506607929514,0.46255506607929514,0.46255506607929514,0.46255506607929514,0.5,0.23127753303964757,0.31626506024096385,1.0,0.46255506607929514,0.6325301204819277
21,IndoStoryCloze,1,ind,0.46784140969162996,0.46784140969162996,0.46784140969162996,0.46784140969162996,0.5,0.23392070484581498,0.3187274909963986,1.0,0.46784140969162996,0.6374549819927972
22,IndoStoryCloze,2,ind,0.43083700440528633,0.43083700440528633,0.43083700440528633,0.43083700440528633,0.5,0.21541850220264316,0.30110837438423643,1.0,0.43083700440528633,0.6022167487684729
23,IndoStoryCloze,3,ind,0.42466960352422906,0.42466960352422906,0.42466960352422906,0.42466960352422906,0.5,0.21233480176211453,0.2980828695114409,1.0,0.42466960352422906,0.5961657390228818
24,IndoMMLU,0,ind,0.24457646352045925,0.24457646352045925,0.24457646352045923,0.24457646352045925,0.23126655698841064,0.22853090462290232,0.21930349678839317,0.24329874999428686,0.24457646352045925,0.2310552553964611
25,IndoMMLU,1,ind,0.2639343168012816,0.2639343168012816,0.2639343168012816,0.2639343168012816,0.24569165735122653,0.23612920579014088,0.22813897159609636,0.25999699061022136,0.2639343168012816,0.24846548993717563
26,IndoMMLU,2,ind,0.2509178292503838,0.2509178292503838,0.2509178292503838,0.2509178292503838,0.23659598939673637,0.22733221863231656,0.22043437502742091,0.24632580180098668,0.2509178292503838,0.2364567547860696
