index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5166666666666666,0.5028035775713795,0.37163978494623656,0.5167155425219941,0.501466275659824,0.37080219468356823
1,MAPS,1,ind,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5072078544061303,0.5051771585827314,0.4672909290910603,0.5072233738946753,0.5043988269794721,0.4668786191145224
2,MAPS,2,ind,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.585612968591692,0.5116271069831442,0.37638117765585816,0.5858506627209441,0.5102639296187683,0.3755338184662195
3,MAPS,3,ind,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.49266862170087977,0.44773413897280967,0.49404884760921913,0.34944475689504967,0.44759415616057263,0.49266862170087977,0.34854960774001326
4,haryoaw/COPAL,0,ind,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5117762259386194,0.511699948796723,0.5108702968297772,0.5117795219155499,0.5116279069767442,0.5108358600049151
5,haryoaw/COPAL,1,ind,0.5152057245080501,0.5152057245080501,0.5152057245080501,0.5152057245080501,0.5154024767801858,0.515284178187404,0.5143104470912617,0.5154064921326784,0.5152057245080501,0.5142731438655622
6,haryoaw/COPAL,2,ind,0.5366726296958855,0.5366726296958855,0.5366726296958855,0.5366726296958855,0.5367892976588629,0.536610343061956,0.5360787744207434,0.5367863061726327,0.5366726296958855,0.5361084671845004
7,haryoaw/COPAL,3,ind,0.556350626118068,0.556350626118068,0.556350626118068,0.556350626118068,0.556423477502437,0.556310803891449,0.5561105561105562,0.5564205634470623,0.556350626118068,0.556129023034211
8,MABL/id,0,ind,0.5701754385964912,0.5701754385964912,0.5701754385964912,0.5701754385964912,0.5708109719737626,0.5701754385964912,0.5692088434807556,0.5708109719737627,0.5701754385964912,0.5692088434807555
9,MABL/id,1,ind,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5579061434077504,0.5578947368421052,0.5578729638886495,0.5579061434077504,0.5578947368421052,0.5578729638886495
10,MABL/id,2,ind,0.5868421052631579,0.5868421052631579,0.5868421052631579,0.5868421052631579,0.5875429337354444,0.5868421052631578,0.5860135589927209,0.5875429337354444,0.5868421052631579,0.5860135589927208
11,MABL/id,3,ind,0.5675438596491228,0.5675438596491228,0.5675438596491228,0.5675438596491228,0.5677442357974805,0.5675438596491228,0.5672238397275917,0.5677442357974805,0.5675438596491228,0.5672238397275917
12,MABL/jv,0,ind,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5217947714902036,0.5216666666666667,0.5209627480380894,0.5217947714902035,0.5216666666666666,0.5209627480380893
13,MABL/jv,1,ind,0.525,0.525,0.525,0.525,0.525386151572249,0.525,0.5231867853029994,0.525386151572249,0.525,0.5231867853029994
14,MABL/jv,2,ind,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5216666666666666,0.5222118440386827,0.5216666666666667,0.5187134388511729,0.5222118440386828,0.5216666666666666,0.5187134388511729
15,MABL/jv,3,ind,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5319653652463576,0.5316666666666666,0.530570026088724,0.5319653652463576,0.5316666666666666,0.530570026088724
16,MABL/su,0,ind,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5360873694207028,0.5316666666666667,0.5168708360197722,0.5360873694207029,0.5316666666666666,0.5168708360197721
17,MABL/su,1,ind,0.56,0.56,0.56,0.56,0.5701262272089762,0.56,0.5435211121485631,0.5701262272089762,0.56,0.5435211121485631
18,MABL/su,2,ind,0.575,0.575,0.575,0.575,0.5859314330816922,0.575,0.5610398478271472,0.5859314330816922,0.575,0.5610398478271473
19,MABL/su,3,ind,0.555,0.555,0.555,0.555,0.5644741126668837,0.555,0.5380289813279504,0.5644741126668837,0.555,0.5380289813279504
20,IndoStoryCloze,0,ind,0.41762114537444933,0.41762114537444933,0.41762114537444933,0.41762114537444933,0.5,0.20881057268722467,0.2945929148539465,1.0,0.41762114537444933,0.589185829707893
21,IndoStoryCloze,1,ind,0.41145374449339206,0.41145374449339206,0.41145374449339206,0.41145374449339206,0.5,0.20572687224669603,0.2915106117353308,1.0,0.41145374449339206,0.5830212234706617
22,IndoStoryCloze,2,ind,0.4237885462555066,0.4237885462555066,0.42378854625550655,0.4237885462555066,0.5,0.2118942731277533,0.29764851485148514,1.0,0.4237885462555066,0.5952970297029703
23,IndoStoryCloze,3,ind,0.4211453744493392,0.4211453744493392,0.4211453744493392,0.4211453744493392,0.5,0.2105726872246696,0.296342219466832,1.0,0.4211453744493392,0.592684438933664
24,IndoMMLU,0,ind,0.23095921500567385,0.23095921500567385,0.23095921500567385,0.23095921500567385,0.22253904222637316,0.2332172335915375,0.2117392592147742,0.23530775044954205,0.23095921500567385,0.21487907693197458
25,IndoMMLU,1,ind,0.2438422001201522,0.2438422001201522,0.2438422001201522,0.2438422001201522,0.22762908592573586,0.23376702068668065,0.21203537656895893,0.23922502704528537,0.2438422001201522,0.21867609809213556
26,IndoMMLU,2,ind,0.2438422001201522,0.2438422001201522,0.2438422001201522,0.2438422001201522,0.23556231556912138,0.23672322575090962,0.2144296332053984,0.2501334843105332,0.2438422001201522,0.2207186317253161
