index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.47835325365205844,0.48317853457172344,0.4530076558512578,0.47838752516814464,0.4838709677419355,0.45338868439311797
1,MAPS,1,ind,0.4868035190615836,0.4868035190615836,0.48680351906158353,0.4868035190615836,0.4827770646127514,0.4861541107671139,0.459979186462151,0.48280372987400194,0.4868035190615836,0.46033213820688035
2,MAPS,2,ind,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5164821776663882,0.5162882696938424,0.5147770294160766,0.5164917221368834,0.5161290322580645,0.5147019181470772
3,MAPS,3,ind,0.4604105571847507,0.4604105571847507,0.4604105571847507,0.4604105571847507,0.4437978927203065,0.4596319229446164,0.41903703703703704,0.44388967539690566,0.4604105571847507,0.4194916911045944
4,haryoaw/COPAL,0,ind,0.5205724508050089,0.5205724508050089,0.5205724508050089,0.5205724508050089,0.520939217923452,0.5206733230926779,0.5190934771443246,0.5209450396237447,0.5205724508050089,0.5190457683165606
5,haryoaw/COPAL,1,ind,0.5134168157423972,0.5134168157423972,0.5134168157423972,0.5134168157423972,0.5134529437598492,0.5133320532514081,0.5122789909928405,0.5134522620991425,0.5134168157423972,0.5123211326502314
6,haryoaw/COPAL,2,ind,0.6135957066189625,0.6135957066189625,0.6135957066189625,0.6135957066189625,0.6138557309716339,0.6135496671786994,0.6133172781307645,0.6138467646146452,0.6135957066189625,0.6133358400299778
7,haryoaw/COPAL,3,ind,0.5974955277280859,0.5974955277280859,0.5974955277280859,0.5974955277280859,0.5974974398361494,0.5974974398361494,0.5974955277280859,0.5974993519442131,0.5974955277280859,0.5974955277280859
8,MABL/id,0,ind,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.6350984085249466,0.631578947368421,0.6291637751561416,0.6350984085249466,0.631578947368421,0.6291637751561416
9,MABL/id,1,ind,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6127472527472527,0.6105263157894737,0.6085988246210949,0.6127472527472527,0.6105263157894737,0.6085988246210949
10,MABL/id,2,ind,0.6131578947368421,0.6131578947368421,0.6131578947368421,0.6131578947368421,0.6162525968297333,0.6131578947368421,0.610566164013971,0.6162525968297333,0.6131578947368421,0.6105661640139711
11,MABL/id,3,ind,0.6035087719298246,0.6035087719298246,0.6035087719298246,0.6035087719298246,0.6061553030303031,0.6035087719298246,0.6010220673635307,0.6061553030303031,0.6035087719298246,0.6010220673635307
