index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5274646330680813,0.5085483316133471,0.4057261410788382,0.5275357753110812,0.5073313782991202,0.4050055365595454
1,MAPS,1,ind,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5523364485981308,0.5115583075335397,0.392766125334556,0.5524762244086935,0.5102639296187683,0.39198280663932794
2,MAPS,2,ind,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5043988269794721,0.5285517715858273,0.5057103543171655,0.3815104585895661,0.5286309615681433,0.5043988269794721,0.38070198248173776
3,MAPS,3,ind,0.4868035190615836,0.4868035190615836,0.48680351906158353,0.4868035190615836,0.4543901156677182,0.48806329549363603,0.37161059337650715,0.4542794897175685,0.4868035190615836,0.37082160073482856
4,haryoaw/COPAL,0,ind,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5081472181842209,0.5078917050691244,0.5040825082827657,0.5081462370858493,0.5080500894454383,0.5041618599060191
5,haryoaw/COPAL,1,ind,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5089666242320252,0.508294930875576,0.4987854779022188,0.508972614655467,0.5080500894454383,0.4986635751187554
6,haryoaw/COPAL,2,ind,0.5134168157423972,0.5134168157423972,0.5134168157423972,0.5134168157423972,0.5135079609655882,0.5134664618535586,0.5130662020905923,0.5135109011340782,0.5134168157423972,0.5130428278471387
7,haryoaw/COPAL,3,ind,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5080500894454383,0.5081449767286379,0.5081093189964158,0.5075394753281202,0.5081475412498054,0.5080500894454383,0.5075111078771581
8,MABL/id,0,ind,0.5149122807017544,0.5149122807017544,0.5149122807017544,0.5149122807017544,0.5149200415112816,0.5149122807017543,0.514849191684668,0.5149200415112817,0.5149122807017544,0.5148491916846681
9,MABL/id,1,ind,0.5096491228070176,0.5096491228070176,0.5096491228070176,0.5096491228070176,0.5096515290053845,0.5096491228070176,0.5096185588667808,0.5096515290053845,0.5096491228070176,0.5096185588667808
10,MABL/id,2,ind,0.5008771929824561,0.5008771929824561,0.5008771929824561,0.5008771929824561,0.5008776495006636,0.5008771929824561,0.5008122786050202,0.5008776495006636,0.5008771929824561,0.5008122786050202
11,MABL/id,3,ind,0.5008771929824561,0.5008771929824561,0.5008771929824561,0.5008771929824561,0.5008779739441978,0.5008771929824561,0.5007661753036802,0.5008779739441978,0.5008771929824561,0.5007661753036802
12,MABL/jv,0,ind,0.5033333333333333,0.5033333333333333,0.5033333333333333,0.5033333333333333,0.5033386752136753,0.5033333333333333,0.5031345871682006,0.5033386752136751,0.5033333333333333,0.5031345871682006
13,MABL/jv,1,ind,0.535,0.535,0.535,0.535,0.5350035003500351,0.535,0.5349883747093678,0.535003500350035,0.535,0.5349883747093678
14,MABL/jv,2,ind,0.505,0.505,0.505,0.505,0.5050005000500051,0.505,0.5049876246906173,0.5050005000500051,0.505,0.5049876246906173
15,MABL/jv,3,ind,0.515,0.515,0.515,0.515,0.515001500150015,0.515,0.5149878746968675,0.515001500150015,0.515,0.5149878746968675
16,MABL/su,0,ind,0.5,0.5,0.5,0.5,0.5,0.5,0.4529274460221746,0.5,0.5,0.4529274460221746
17,MABL/su,1,ind,0.5,0.5,0.5,0.5,0.5,0.5,0.4529274460221746,0.5,0.5,0.4529274460221746
18,MABL/su,2,ind,0.51,0.51,0.51,0.51,0.5147299509001637,0.51,0.4672304439746301,0.5147299509001636,0.51,0.46723044397463015
19,MABL/su,3,ind,0.515,0.515,0.515,0.515,0.5227368421052632,0.515,0.4699051233396584,0.5227368421052632,0.515,0.46990512333965845
20,IndoStoryCloze,0,ind,0.2687224669603524,0.2687224669603524,0.2687224669603524,0.2687224669603524,0.5,0.1343612334801762,0.21180555555555552,1.0,0.2687224669603524,0.42361111111111105
21,IndoStoryCloze,1,ind,0.2687224669603524,0.2687224669603524,0.2687224669603524,0.2687224669603524,0.5,0.1343612334801762,0.21180555555555552,1.0,0.2687224669603524,0.42361111111111105
22,IndoStoryCloze,2,ind,0.2643171806167401,0.2643171806167401,0.2643171806167401,0.2643171806167401,0.5,0.13215859030837004,0.20905923344947736,1.0,0.2643171806167401,0.4181184668989547
23,IndoStoryCloze,3,ind,0.2669603524229075,0.2669603524229075,0.2669603524229075,0.2669603524229075,0.5,0.13348017621145375,0.2107093184979138,1.0,0.2669603524229075,0.4214186369958276
24,IndoMMLU,0,ind,0.21547293238101595,0.21547293238101595,0.21547293238101595,0.21547293238101595,0.20483507274378213,0.20336364681198854,0.20304691047657125,0.21479468206430233,0.21547293238101595,0.2140028007988712
25,IndoMMLU,1,ind,0.2170082103998398,0.2170082103998398,0.2170082103998398,0.2170082103998398,0.20020838107744274,0.19571100210663783,0.1814315671876315,0.21089696116683754,0.2170082103998398,0.19463221979619824
26,IndoMMLU,2,ind,0.2176089713637274,0.2176089713637274,0.2176089713637274,0.2176089713637274,0.2025576570209109,0.20017606705724203,0.18640048328891035,0.21199724092193306,0.2176089713637274,0.19686651681678566
