index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5278592375366569,0.5278592375366569,0.5278592375366569,0.5278592375366569,0.5762987012987013,0.5266769865841073,0.43538982074724647,0.5761225577941121,0.5278592375366569,0.4360598889848509
1,MAPS,1,ind,0.5190615835777126,0.5190615835777126,0.5190615835777126,0.5190615835777126,0.5632478632478632,0.5178190574475404,0.41290837322583346,0.5630949695465824,0.5190615835777126,0.41364046433170854
2,MAPS,2,ind,0.501466275659824,0.501466275659824,0.501466275659824,0.501466275659824,0.5008090614886731,0.5002751977984177,0.4021245874587459,0.5008114341030094,0.501466275659824,0.40283927586307017
3,MAPS,3,ind,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5456098843322819,0.511936704506364,0.40208298124049346,0.5454992583821321,0.5131964809384164,0.4028388553880984
4,haryoaw/COPAL,0,ind,0.5008944543828264,0.5008944543828264,0.5008944543828264,0.5008944543828264,0.5020325203252032,0.5013952892985152,0.45874125874125876,0.5020361563186293,0.5008944543828264,0.4584710459486846
5,haryoaw/COPAL,1,ind,0.518783542039356,0.518783542039356,0.518783542039356,0.518783542039356,0.5312319080307666,0.5193356374807988,0.4684602523179815,0.5312679902510317,0.518783542039356,0.46816767505215945
6,haryoaw/COPAL,2,ind,0.5688729874776386,0.5688729874776386,0.5688729874776386,0.5688729874776386,0.5688864992190901,0.5688812083973374,0.5688674686456924,0.5688892015673803,0.5688729874776386,0.5688647092297192
7,haryoaw/COPAL,3,ind,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384600614439323,0.5384600614439323,0.5384600614439323,0.5384615384615384,0.5384615384615384,0.5384615384615384
8,MABL/id,0,ind,0.6070175438596491,0.6070175438596491,0.6070175438596491,0.6070175438596491,0.6082988637496263,0.6070175438596491,0.6058517189964777,0.6082988637496263,0.6070175438596491,0.6058517189964778
9,MABL/id,1,ind,0.5824561403508772,0.5824561403508772,0.5824561403508772,0.5824561403508772,0.5830955334987593,0.5824561403508772,0.581651376146789,0.5830955334987593,0.5824561403508772,0.581651376146789
10,MABL/id,2,ind,0.5622807017543859,0.5622807017543859,0.5622807017543859,0.5622807017543859,0.5630022510811727,0.562280701754386,0.5610238301569823,0.5630022510811727,0.5622807017543859,0.5610238301569822
11,MABL/id,3,ind,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5842358416895082,0.5833333333333333,0.5822142874226826,0.5842358416895082,0.5833333333333334,0.5822142874226826
12,MABL/jv,0,ind,0.53,0.53,0.53,0.53,0.5300120048019208,0.53,0.5299529952995299,0.5300120048019208,0.53,0.52995299529953
13,MABL/jv,1,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233998930290604,0.5233333333333333,0.5229941291585127,0.5233998930290604,0.5233333333333333,0.5229941291585127
14,MABL/jv,2,ind,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383333333333333,0.5383678644113035,0.5383333333333333,0.5382294349561985,0.5383678644113034,0.5383333333333333,0.5382294349561985
15,MABL/jv,3,ind,0.525,0.525,0.525,0.525,0.5250136185256418,0.5249999999999999,0.5249353384210628,0.5250136185256418,0.525,0.5249353384210628
16,MABL/su,0,ind,0.545,0.545,0.545,0.545,0.5491320013101867,0.5449999999999999,0.535228172323093,0.5491320013101867,0.545,0.535228172323093
17,MABL/su,1,ind,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.605027307099846,0.5916666666666667,0.5782539714417689,0.605027307099846,0.5916666666666667,0.5782539714417689
18,MABL/su,2,ind,0.565,0.565,0.565,0.565,0.576659983488619,0.565,0.5478052963954365,0.5766599834886189,0.565,0.5478052963954366
19,MABL/su,3,ind,0.5816666666666667,0.5816666666666667,0.5816666666666667,0.5816666666666667,0.6001922054553633,0.5816666666666667,0.5613920124417884,0.6001922054553633,0.5816666666666667,0.5613920124417884
20,IndoStoryCloze,0,ind,0.41585903083700443,0.41585903083700443,0.41585903083700443,0.41585903083700443,0.5,0.20792951541850221,0.2937149968886123,1.0,0.41585903083700443,0.5874299937772246
21,IndoStoryCloze,1,ind,0.3947136563876652,0.3947136563876652,0.3947136563876652,0.3947136563876652,0.5,0.1973568281938326,0.2830069488313329,1.0,0.3947136563876652,0.5660138976626659
22,IndoStoryCloze,2,ind,0.4052863436123348,0.4052863436123348,0.4052863436123348,0.4052863436123348,0.5,0.2026431718061674,0.2884012539184953,1.0,0.4052863436123348,0.5768025078369906
23,IndoStoryCloze,3,ind,0.4,0.4,0.4000000000000001,0.4,0.5,0.2,0.28571428571428575,1.0,0.4,0.5714285714285715
24,IndoMMLU,0,ind,0.24717976103063882,0.24717976103063882,0.24717976103063882,0.24717976103063882,0.23403959193571935,0.22399123084322245,0.22471067454641241,0.24524082552633344,0.24717976103063882,0.24354465477028853
25,IndoMMLU,1,ind,0.24043788799145585,0.24043788799145585,0.24043788799145588,0.24043788799145585,0.22948121994191392,0.21884750505974293,0.2158295521532921,0.23930705839755229,0.24043788799145585,0.23183075229255812
26,IndoMMLU,2,ind,0.24671250250317067,0.24671250250317067,0.24671250250317067,0.24671250250317067,0.23468697182310017,0.22190092094859093,0.21751872324877483,0.24403413445965702,0.24671250250317067,0.23536886951149683
