index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.49853372434017595,0.4991166077738516,0.4995012039903681,0.4378958327308482,0.4991191983668901,0.49853372434017595,0.43735442298433636
1,MAPS,1,ind,0.5190615835777126,0.5190615835777126,0.5190615835777126,0.5190615835777126,0.5308770247229326,0.5199346405228757,0.4728129713423831,0.5309352288665051,0.5190615835777126,0.47235506429054813
2,MAPS,2,ind,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.49298017079172096,0.4966632266941864,0.4201597595697564,0.4929695594466651,0.49560117302052786,0.41954641474495336
3,MAPS,3,ind,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.520854630954815,0.5140350877192983,0.47033834867879337,0.5208939035190017,0.5131964809384164,0.46989651226374574
4,haryoaw/COPAL,0,ind,0.5062611806797853,0.5062611806797853,0.5062611806797853,0.5062611806797853,0.5112637362637362,0.5068228366615464,0.4526141008174388,0.5112779885588472,0.5062611806797853,0.4523075460753682
5,haryoaw/COPAL,1,ind,0.5098389982110912,0.5098389982110912,0.5098389982110912,0.5098389982110912,0.5209132280002046,0.5104710701484896,0.4403300301090357,0.5209412640249871,0.5098389982110912,0.4399771927075024
6,haryoaw/COPAL,2,ind,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.49016100178890876,0.4901791205412054,0.49018817204301074,0.4900565590220763,0.4901801863501641,0.49016100178890876,0.4900435036762222
7,haryoaw/COPAL,3,ind,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116295442908345,0.5116295442908345,0.5116279069767442,0.5116311816049249,0.5116279069767442,0.5116279069767442
8,MABL/id,0,ind,0.5385964912280702,0.5385964912280702,0.5385964912280702,0.5385964912280702,0.5389204086953283,0.5385964912280702,0.5376344749309119,0.5389204086953283,0.5385964912280702,0.5376344749309119
9,MABL/id,1,ind,0.5491228070175439,0.5491228070175439,0.5491228070175439,0.5491228070175439,0.549832019882851,0.5491228070175439,0.5475128496589898,0.549832019882851,0.5491228070175439,0.5475128496589899
10,MABL/id,2,ind,0.5508771929824562,0.5508771929824562,0.5508771929824562,0.5508771929824562,0.5516117348786671,0.5508771929824561,0.5492735000494218,0.5516117348786671,0.5508771929824562,0.5492735000494218
11,MABL/id,3,ind,0.5385964912280702,0.5385964912280702,0.5385964912280702,0.5385964912280702,0.5395389019914489,0.5385964912280702,0.5358306188925082,0.539538901991449,0.5385964912280702,0.5358306188925083
12,MABL/jv,0,ind,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5371437575975868,0.5366666666666666,0.5351740589225402,0.5371437575975868,0.5366666666666666,0.5351740589225401
13,MABL/jv,1,ind,0.535,0.535,0.535,0.535,0.5353301405354479,0.535,0.5339111646930746,0.5353301405354479,0.535,0.5339111646930746
14,MABL/jv,2,ind,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5316666666666666,0.5320084457372611,0.5316666666666667,0.5304131306069815,0.5320084457372612,0.5316666666666666,0.5304131306069815
15,MABL/jv,3,ind,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5421163759700804,0.5416666666666667,0.5404398965014943,0.5421163759700804,0.5416666666666666,0.5404398965014943
16,MABL/su,0,ind,0.52,0.52,0.52,0.52,0.5262069768796227,0.52,0.48978989264328987,0.5262069768796226,0.52,0.48978989264328987
17,MABL/su,1,ind,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5366637431525068,0.5283333333333333,0.4999278458906026,0.5366637431525069,0.5283333333333333,0.4999278458906026
18,MABL/su,2,ind,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5233333333333333,0.5305748063595597,0.5233333333333334,0.4933330183888227,0.5305748063595598,0.5233333333333334,0.4933330183888227
19,MABL/su,3,ind,0.54,0.54,0.54,0.54,0.5548245614035088,0.54,0.5066495066495066,0.5548245614035088,0.54,0.5066495066495065
20,IndoStoryCloze,0,ind,0.345374449339207,0.345374449339207,0.345374449339207,0.345374449339207,0.5,0.1726872246696035,0.25671250818598557,1.0,0.345374449339207,0.5134250163719711
21,IndoStoryCloze,1,ind,0.35594713656387666,0.35594713656387666,0.35594713656387666,0.35594713656387666,0.5,0.17797356828193833,0.26250812215724495,1.0,0.35594713656387666,0.5250162443144899
22,IndoStoryCloze,2,ind,0.35330396475770925,0.35330396475770925,0.35330396475770925,0.35330396475770925,0.5,0.17665198237885463,0.26106770833333337,1.0,0.35330396475770925,0.5221354166666667
23,IndoStoryCloze,3,ind,0.3524229074889868,0.3524229074889868,0.3524229074889868,0.3524229074889868,0.5,0.1762114537444934,0.26058631921824105,1.0,0.3524229074889868,0.5211726384364821
24,IndoMMLU,0,ind,0.243641946465523,0.243641946465523,0.243641946465523,0.243641946465523,0.21869369599179614,0.20374003481697933,0.12114945849403295,0.23251785948763862,0.243641946465523,0.13686491823386235
25,IndoMMLU,1,ind,0.24557773179360523,0.24557773179360523,0.24557773179360523,0.24557773179360523,0.21816405339319708,0.20084579346604864,0.11312683646640494,0.23566388911415503,0.24557773179360523,0.134823545783156
26,IndoMMLU,2,ind,0.2449102196115079,0.2449102196115079,0.2449102196115079,0.2449102196115079,0.21070513639205793,0.20031370678778707,0.11217386297032399,0.22489307349991447,0.2449102196115079,0.1336282919827769
