index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.49560117302052786,0.4938691525993113,0.4949776401788786,0.4713750090129065,0.4938810975677335,0.49560117302052786,0.4717068742732849
1,MAPS,1,ind,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5134505021520803,0.5128998968008256,0.5080134890835767,0.5134468206852156,0.5131964809384164,0.5081615745651435
2,MAPS,2,ind,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161486580447783,0.5159786721706227,0.5147770294160767,0.5161480973080149,0.5161290322580645,0.514852140685076
3,MAPS,3,ind,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5102639296187683,0.5290671971706454,0.509047127622979,0.40752416325936097,0.5290007545291193,0.5102639296187683,0.4082476827407652
4,haryoaw/COPAL,0,ind,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5045456211737966,0.5031746031746032,0.462410748879172,0.5045516871608497,0.5026833631484794,0.46214752917806545
5,haryoaw/COPAL,1,ind,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5026833631484794,0.5056443401655673,0.5032642089093702,0.4444372944372944,0.505652497127047,0.5026833631484794,0.44411549295270225
6,haryoaw/COPAL,2,ind,0.5152057245080501,0.5152057245080501,0.5152057245080501,0.5152057245080501,0.5152470274702747,0.5152329749103943,0.5151064122630971,0.5152494570562879,0.5152057245080501,0.5150939982324779
7,haryoaw/COPAL,3,ind,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.522381562099872,0.5223758320532514,0.5223369017329942,0.5223838068253398,0.5223613595706619,0.5223307872735772
8,MABL/id,0,ind,0.5508771929824562,0.5508771929824562,0.5508771929824562,0.5508771929824562,0.5511289823693164,0.5508771929824562,0.5503235747303545,0.5511289823693165,0.5508771929824562,0.5503235747303544
9,MABL/id,1,ind,0.5385964912280702,0.5385964912280702,0.5385964912280702,0.5385964912280702,0.5389460345855694,0.5385964912280702,0.5375588809609744,0.5389460345855693,0.5385964912280702,0.5375588809609744
10,MABL/id,2,ind,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.5614035087719298,0.561879652605459,0.5614035087719298,0.560558168221417,0.561879652605459,0.5614035087719298,0.560558168221417
11,MABL/id,3,ind,0.5429824561403509,0.5429824561403509,0.5429824561403509,0.5429824561403509,0.54365986262697,0.5429824561403509,0.5412028343242757,0.54365986262697,0.5429824561403509,0.5412028343242757
12,MABL/jv,0,ind,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5341359064221018,0.5333333333333333,0.5305741525186932,0.534135906422102,0.5333333333333333,0.5305741525186931
13,MABL/jv,1,ind,0.545,0.545,0.545,0.545,0.5458564974694007,0.5449999999999999,0.5428654355476545,0.5458564974694007,0.545,0.5428654355476544
14,MABL/jv,2,ind,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5291099213461341,0.5283333333333333,0.5251664574006079,0.529109921346134,0.5283333333333333,0.5251664574006079
15,MABL/jv,3,ind,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.547427616423506,0.5466666666666666,0.5448409732370956,0.547427616423506,0.5466666666666666,0.5448409732370956
16,MABL/su,0,ind,0.55,0.55,0.55,0.55,0.5691924472599791,0.55,0.5164698718943637,0.5691924472599791,0.55,0.5164698718943637
17,MABL/su,1,ind,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.567987567987568,0.5466666666666666,0.5081018518518519,0.5679875679875679,0.5466666666666666,0.5081018518518519
18,MABL/su,2,ind,0.54,0.54,0.54,0.54,0.554311749441796,0.54,0.5075590869622104,0.5543117494417958,0.54,0.5075590869622105
19,MABL/su,3,ind,0.5633333333333334,0.5633333333333334,0.5633333333333334,0.5633333333333334,0.5922688422688422,0.5633333333333334,0.5261863425925926,0.5922688422688422,0.5633333333333334,0.5261863425925926
20,IndoStoryCloze,0,ind,0.3524229074889868,0.3524229074889868,0.3524229074889868,0.3524229074889868,0.5,0.1762114537444934,0.26058631921824105,1.0,0.3524229074889868,0.5211726384364821
21,IndoStoryCloze,1,ind,0.3594713656387665,0.3594713656387665,0.3594713656387665,0.3594713656387665,0.5,0.17973568281938326,0.2644199611147116,1.0,0.3594713656387665,0.5288399222294232
22,IndoStoryCloze,2,ind,0.3497797356828194,0.3497797356828194,0.3497797356828194,0.3497797356828194,0.5,0.1748898678414097,0.2591383812010444,1.0,0.3497797356828194,0.5182767624020888
23,IndoStoryCloze,3,ind,0.36123348017621143,0.36123348017621143,0.36123348017621143,0.36123348017621143,0.5,0.18061674008810572,0.26537216828478966,1.0,0.36123348017621143,0.5307443365695793
24,IndoMMLU,0,ind,0.24057139042787531,0.24057139042787531,0.24057139042787531,0.24057139042787531,0.2213076002057725,0.19961045616564477,0.14321531969525225,0.23112401320019152,0.24057139042787531,0.16642973610243128
25,IndoMMLU,1,ind,0.2411721513917629,0.2411721513917629,0.2411721513917629,0.2411721513917629,0.19104101856501093,0.19683854940366502,0.1101893372785605,0.2065546797575124,0.2411721513917629,0.13214599418349296
26,IndoMMLU,2,ind,0.2440424537747814,0.2440424537747814,0.2440424537747814,0.2440424537747814,0.22107095854598952,0.1997790196829352,0.12269220329368993,0.22735660682374695,0.2440424537747814,0.1461876687310361
