index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,MAPS,0,ind,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5118724996773777,0.5063295493636051,0.44159388646288206,0.5118530098860548,0.5073313782991202,0.44215574536746527
1,MAPS,1,ind,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5131964809384164,0.5250995449374289,0.5121431028551772,0.44038674470104394,0.5250509610027391,0.5131964809384164,0.4409786937761445
2,MAPS,2,ind,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5073313782991202,0.5076899296699899,0.5068455452356382,0.4931700757307665,0.5076867566490089,0.5073313782991202,0.49341851963547445
3,MAPS,3,ind,0.4868035190615836,0.4868035190615836,0.48680351906158353,0.4868035190615836,0.48676784362309866,0.4867733058135535,0.48673289468025627,0.4867729401143107,0.4868035190615836,0.4867505507755881
4,haryoaw/COPAL,0,ind,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.49731663685152055,0.49708572749488145,0.4977406554019458,0.4676316779469729,0.49708485613881864,0.49731663685152055,0.4674067918946657
5,haryoaw/COPAL,1,ind,0.48300536672629696,0.48300536672629696,0.48300536672629696,0.48300536672629696,0.474804151978065,0.48353174603174603,0.4343155277763188,0.47477922427366304,0.48300536672629696,0.43401863851442873
6,haryoaw/COPAL,2,ind,0.516994633273703,0.516994633273703,0.516994633273703,0.516994633273703,0.5169831385813859,0.5169674859190988,0.5168693982074264,0.5169838147397574,0.516994633273703,0.5168833132147904
7,haryoaw/COPAL,3,ind,0.5205724508050089,0.5205724508050089,0.5205724508050089,0.5205724508050089,0.5205660957062754,0.5205645161290322,0.5205586420543281,0.5205673667260221,0.5205724508050089,0.5205632449712218
8,MABL/id,0,ind,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5669336596581006,0.5666666666666667,0.5662341023365867,0.5669336596581006,0.5666666666666667,0.5662341023365868
9,MABL/id,1,ind,0.5543859649122806,0.5543859649122806,0.5543859649122806,0.5543859649122806,0.5553703262681591,0.5543859649122808,0.5523966165413534,0.5553703262681592,0.5543859649122806,0.5523966165413534
10,MABL/id,2,ind,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.5694088848368283,0.5684210526315789,0.5668800039537412,0.5694088848368283,0.5684210526315789,0.5668800039537412
11,MABL/id,3,ind,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5672146560968017,0.5657894736842105,0.5634755177297942,0.5672146560968017,0.5657894736842105,0.5634755177297941
12,MABL/jv,0,ind,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5519210799584631,0.5516666666666667,0.5511167847279583,0.5519210799584632,0.5516666666666666,0.5511167847279584
13,MABL/jv,1,ind,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5421770084691433,0.5416666666666667,0.5402760015714202,0.5421770084691433,0.5416666666666666,0.5402760015714202
14,MABL/jv,2,ind,0.555,0.555,0.555,0.555,0.5556736511792693,0.5549999999999999,0.5536497906166152,0.5556736511792691,0.555,0.5536497906166153
15,MABL/jv,3,ind,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5483333333333333,0.5487280303794065,0.5483333333333333,0.547416852459564,0.5487280303794065,0.5483333333333333,0.547416852459564
16,MABL/su,0,ind,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5795755968169761,0.5583333333333333,0.5267505022695141,0.5795755968169761,0.5583333333333333,0.5267505022695141
17,MABL/su,1,ind,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5745341614906833,0.5533333333333333,0.5191387559808612,0.5745341614906833,0.5533333333333333,0.5191387559808612
18,MABL/su,2,ind,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5516666666666666,0.5679914023775058,0.5516666666666666,0.5230369602028422,0.5679914023775058,0.5516666666666666,0.5230369602028423
19,MABL/su,3,ind,0.5716666666666667,0.5716666666666667,0.5716666666666667,0.5716666666666667,0.5968599360273912,0.5716666666666667,0.54187723379413,0.5968599360273911,0.5716666666666667,0.54187723379413
20,IndoStoryCloze,0,ind,0.38237885462555066,0.38237885462555066,0.38237885462555066,0.38237885462555066,0.5,0.19118942731277533,0.2766093052899936,1.0,0.38237885462555066,0.5532186105799872
21,IndoStoryCloze,1,ind,0.38502202643171807,0.38502202643171807,0.3850220264317181,0.38502202643171807,0.5,0.19251101321585903,0.2779898218829516,1.0,0.38502202643171807,0.5559796437659033
22,IndoStoryCloze,2,ind,0.3859030837004405,0.3859030837004405,0.3859030837004405,0.3859030837004405,0.5,0.19295154185022026,0.2784488239033694,1.0,0.3859030837004405,0.5568976478067388
23,IndoStoryCloze,3,ind,0.38502202643171807,0.38502202643171807,0.3850220264317181,0.38502202643171807,0.5,0.19251101321585903,0.2779898218829516,1.0,0.38502202643171807,0.5559796437659033
24,IndoMMLU,0,ind,0.24397570255657167,0.24397570255657167,0.24397570255657167,0.24397570255657167,0.22018384193038737,0.1991287838949614,0.11933979976161509,0.21494534211235558,0.24397570255657167,0.1433505701581408
25,IndoMMLU,1,ind,0.24457646352045925,0.24457646352045925,0.24457646352045923,0.24457646352045925,0.22156436314644123,0.19895230380199844,0.1244696781256718,0.23041507213051035,0.24457646352045925,0.15137357200602924
26,IndoMMLU,2,ind,0.2438422001201522,0.2438422001201522,0.2438422001201522,0.2438422001201522,0.16910185534408628,0.19775924998254696,0.12064075064838642,0.19608934684518212,0.2438422001201522,0.1480485133666364
